underlying,x_metric,y_metric,x_low,x_high,y_low,y_high,count,occupancy_frac
BTC,adx_14d,chop_factor_7d,7.5,13.0,0.3688,0.5063,3,0.033333
BTC,adx_14d,chop_factor_7d,13.0,18.5,0.3688,0.5063,1,0.011111
BTC,adx_14d,chop_factor_7d,18.5,24.0,0.3688,0.5063,4,0.044444
BTC,adx_14d,chop_factor_7d,24.0,29.5,0.3688,0.5063,0,0.0
BTC,adx_14d,chop_factor_7d,29.5,35.0,0.3688,0.5063,0,0.0
BTC,adx_14d,chop_factor_7d,35.0,40.5,0.3688,0.5063,0,0.0
BTC,adx_14d,chop_factor_7d,40.5,46.0,0.3688,0.5063,0,0.0
BTC,adx_14d,chop_factor_7d,46.0,51.5,0.3688,0.5063,0,0.0
BTC,adx_14d,chop_factor_7d,51.5,57.0,0.3688,0.5063,0,0.0
BTC,adx_14d,chop_factor_7d,57.0,62.5,0.3688,0.5063,0,0.0
BTC,adx_14d,chop_factor_7d,7.5,13.0,0.5063,0.6438,4,0.044444
BTC,adx_14d,chop_factor_7d,13.0,18.5,0.5063,0.6438,2,0.022222
BTC,adx_14d,chop_factor_7d,18.5,24.0,0.5063,0.6438,2,0.022222
BTC,adx_14d,chop_factor_7d,24.0,29.5,0.5063,0.6438,1,0.011111
BTC,adx_14d,chop_factor_7d,29.5,35.0,0.5063,0.6438,2,0.022222
BTC,adx_14d,chop_factor_7d,35.0,40.5,0.5063,0.6438,1,0.011111
BTC,adx_14d,chop_factor_7d,40.5,46.0,0.5063,0.6438,1,0.011111
BTC,adx_14d,chop_factor_7d,46.0,51.5,0.5063,0.6438,0,0.0
BTC,adx_14d,chop_factor_7d,51.5,57.0,0.5063,0.6438,0,0.0
BTC,adx_14d,chop_factor_7d,57.0,62.5,0.5063,0.6438,0,0.0
BTC,adx_14d,chop_factor_7d,7.5,13.0,0.6438,0.7814,4,0.044444
BTC,adx_14d,chop_factor_7d,13.0,18.5,0.6438,0.7814,2,0.022222
BTC,adx_14d,chop_factor_7d,18.5,24.0,0.6438,0.7814,4,0.044444
BTC,adx_14d,chop_factor_7d,24.0,29.5,0.6438,0.7814,5,0.055556
BTC,adx_14d,chop_factor_7d,29.5,35.0,0.6438,0.7814,3,0.033333
BTC,adx_14d,chop_factor_7d,35.0,40.5,0.6438,0.7814,3,0.033333
BTC,adx_14d,chop_factor_7d,40.5,46.0,0.6438,0.7814,0,0.0
BTC,adx_14d,chop_factor_7d,46.0,51.5,0.6438,0.7814,0,0.0
BTC,adx_14d,chop_factor_7d,51.5,57.0,0.6438,0.7814,0,0.0
BTC,adx_14d,chop_factor_7d,57.0,62.5,0.6438,0.7814,1,0.011111
BTC,adx_14d,chop_factor_7d,7.5,13.0,0.7814,0.9189,3,0.033333
BTC,adx_14d,chop_factor_7d,13.0,18.5,0.7814,0.9189,4,0.044444
