underlying,x_metric,y_metric,x_low,x_high,y_low,y_high,count,occupancy_frac
BTC,adx_14d,iv_rank_6m,8.0101,12.3878,0.0585,0.1127,0,0.0
BTC,adx_14d,iv_rank_6m,12.3878,16.7656,0.0585,0.1127,0,0.0
BTC,adx_14d,iv_rank_6m,16.7656,21.1433,0.0585,0.1127,0,0.0
BTC,adx_14d,iv_rank_6m,21.1433,25.521,0.0585,0.1127,0,0.0
BTC,adx_14d,iv_rank_6m,25.521,29.8987,0.0585,0.1127,0,0.0
BTC,adx_14d,iv_rank_6m,29.8987,34.2764,0.0585,0.1127,1,0.011111
BTC,adx_14d,iv_rank_6m,34.2764,38.6542,0.0585,0.1127,0,0.0
BTC,adx_14d,iv_rank_6m,38.6542,43.0319,0.0585,0.1127,0,0.0
BTC,adx_14d,iv_rank_6m,43.0319,47.4096,0.0585,0.1127,0,0.0
BTC,adx_14d,iv_rank_6m,47.4096,51.7873,0.0585,0.1127,0,0.0
BTC,adx_14d,iv_rank_6m,8.0101,12.3878,0.1127,0.1669,1,0.011111
BTC,adx_14d,iv_rank_6m,12.3878,16.7656,0.1127,0.1669,0,0.0
BTC,adx_14d,iv_rank_6m,16.7656,21.1433,0.1127,0.1669,2,0.022222
BTC,adx_14d,iv_rank_6m,21.1433,25.521,0.1127,0.1669,3,0.033333
BTC,adx_14d,iv_rank_6m,25.521,29.8987,0.1127,0.1669,0,0.0
BTC,adx_14d,iv_rank_6m,29.8987,34.2764,0.1127,0.1669,1,0.011111
BTC,adx_14d,iv_rank_6m,34.2764,38.6542,0.1127,0.1669,0,0.0
BTC,adx_14d,iv_rank_6m,38.6542,43.0319,0.1127,0.1669,0,0.0
BTC,adx_14d,iv_rank_6m,43.0319,47.4096,0.1127,0.1669,0,0.0
BTC,adx_14d,iv_rank_6m,47.4096,51.7873,0.1127,0.1669,0,0.0
BTC,adx_14d,iv_rank_6m,8.0101,12.3878,0.1669,0.2211,1,0.011111
BTC,adx_14d,iv_rank_6m,12.3878,16.7656,0.1669,0.2211,2,0.022222
BTC,adx_14d,iv_rank_6m,16.7656,21.1433,0.1669,0.2211,0,0.0
BTC,adx_14d,iv_rank_6m,21.1433,25.521,0.1669,0.2211,2,0.022222
BTC,adx_14d,iv_rank_6m,25.521,29.8987,0.1669,0.2211,2,0.022222
BTC,adx_14d,iv_rank_6m,29.8987,34.2764,0.1669,0.2211,1,0.011111
BTC,adx_14d,iv_rank_6m,34.2764,38.6542,0.1669,0.2211,1,0.011111
BTC,adx_14d,iv_rank_6m,38.6542,43.0319,0.1669,0.2211,2,0.022222
BTC,adx_14d,iv_rank_6m,43.0319,47.4096,0.1669,0.2211,1,0.011111
BTC,adx_14d,iv_rank_6m,47.4096,51.7873,0.1669,0.2211,0,0.0
BTC,adx_14d,iv_rank_6m,8.0101,12.3878,0.2211,0.2752,0,0.0
BTC,adx_14d,iv_rank_6m,12.3878,16.7656,0.2211,0.2752,1,0.011111
BTC,adx_14d,iv_rank_6m,16.7656,21.1433,0.2211,0.2752,0,0.0
BTC,adx_14d,iv_rank_6m,21.1433,25.521,0.2211,0.2752,0,0.0
BTC,adx_14d,iv_rank_6m,25.521,29.8987,0.2211,0.2752,1,0.011111
BTC,adx_14d,iv_rank_6m,29.8987,34.2764,0.2211,0.2752,3,0.033333
BTC,adx_14d,iv_rank_6m,34.2764,38.6542,0.2211,0.2752,1,0.011111
BTC,adx_14d,iv_rank_6m,38.6542,43.0319,0.2211,0.2752,1,0.011111
BTC,adx_14d,iv_rank_6m,43.0319,47.4096,0.2211,0.2752,0,0.0
BTC,adx_14d,iv_rank_6m,47.4096,51.7873,0.2211,0.2752,1,0.011111
BTC,adx_14d,iv_rank_6m,8.0101,12.3878,0.2752,0.3294,0,0.0
BTC,adx_14d,iv_rank_6m,12.3878,16.7656,0.2752,0.3294,0,0.0
BTC,adx_14d,iv_rank_6m,16.7656,21.1433,0.2752,0.3294,2,0.022222
BTC,adx_14d,iv_rank_6m,21.1433,25.521,0.2752,0.3294,2,0.022222
BTC,adx_14d,iv_rank_6m,25.521,29.8987,0.2752,0.3294,1,0.011111
BTC,adx_14d,iv_rank_6m,29.8987,34.2764,0.2752,0.3294,0,0.0
BTC,adx_14d,iv_rank_6m,34.2764,38.6542,0.2752,0.3294,0,0.0
BTC,adx_14d,iv_rank_6m,38.6542,43.0319,0.2752,0.3294,1,0.011111
BTC,adx_14d,iv_rank_6m,43.0319,47.4096,0.2752,0.3294,0,0.0
BTC,adx_14d,iv_rank_6m,47.4096,51.7873,0.2752,0.3294,1,0.011111
BTC,adx_14d,iv_rank_6m,8.0101,12.3878,0.3294,0.3836,2,0.022222
BTC,adx_14d,iv_rank_6m,12.3878,16.7656,0.3294,0.3836,3,0.033333
BTC,adx_14d,iv_rank_6m,16.7656,21.1433,0.3294,0.3836,3,0.033333
BTC,adx_14d,iv_rank_6m,21.1433,25.521,0.3294,0.3836,1,0.011111
BTC,adx_14d,iv_rank_6m,25.521,29.8987,0.3294,0.3836,4,0.044444
BTC,adx_14d,iv_rank_6m,29.8987,34.2764,0.3294,0.3836,1,0.011111
BTC,adx_14d,iv_rank_6m,34.2764,38.6542,0.3294,0.3836,2,0.022222
BTC,adx_14d,iv_rank_6m,38.6542,43.0319,0.3294,0.3836,0,0.0
BTC,adx_14d,iv_rank_6m,43.0319,47.4096,0.3294,0.3836,0,0.0
BTC,adx_14d,iv_rank_6m,47.4096,51.7873,0.3294,0.3836,0,0.0
BTC,adx_14d,iv_rank_6m,8.0101,12.3878,0.3836,0.4378,4,0.044444
BTC,adx_14d,iv_rank_6m,12.3878,16.7656,0.3836,0.4378,4,0.044444
BTC,adx_14d,iv_rank_6m,16.7656,21.1433,0.3836,0.4378,2,0.022222
BTC,adx_14d,iv_rank_6m,21.1433,25.521,0.3836,0.4378,1,0.011111
BTC,adx_14d,iv_rank_6m,25.521,29.8987,0.3836,0.4378,4,0.044444
BTC,adx_14d,iv_rank_6m,29.8987,34.2764,0.3836,0.4378,3,0.033333
BTC,adx_14d,iv_rank_6m,34.2764,38.6542,0.3836,0.4378,1,0.011111
BTC,adx_14d,iv_rank_6m,38.6542,43.0319,0.3836,0.4378,0,0.0
BTC,adx_14d,iv_rank_6m,43.0319,47.4096,0.3836,0.4378,0,0.0
BTC,adx_14d,iv_rank_6m,47.4096,51.7873,0.3836,0.4378,1,0.011111
BTC,adx_14d,iv_rank_6m,8.0101,12.3878,0.4378,0.4919,1,0.011111
BTC,adx_14d,iv_rank_6m,12.3878,16.7656,0.4378,0.4919,0,0.0
BTC,adx_14d,iv_rank_6m,16.7656,21.1433,0.4378,0.4919,0,0.0
BTC,adx_14d,iv_rank_6m,21.1433,25.521,0.4378,0.4919,2,0.022222
BTC,adx_14d,iv_rank_6m,25.521,29.8987,0.4378,0.4919,2,0.022222
BTC,adx_14d,iv_rank_6m,29.8987,34.2764,0.4378,0.4919,3,0.033333
BTC,adx_14d,iv_rank_6m,34.2764,38.6542,0.4378,0.4919,0,0.0
BTC,adx_14d,iv_rank_6m,38.6542,43.0319,0.4378,0.4919,2,0.022222
BTC,adx_14d,iv_rank_6m,43.0319,47.4096,0.4378,0.4919,0,0.0
BTC,adx_14d,iv_rank_6m,47.4096,51.7873,0.4378,0.4919,0,0.0
BTC,adx_14d,iv_rank_6m,8.0101,12.3878,0.4919,0.5461,1,0.011111
BTC,adx_14d,iv_rank_6m,12.3878,16.7656,0.4919,0.5461,2,0.022222
BTC,adx_14d,iv_rank_6m,16.7656,21.1433,0.4919,0.5461,1,0.011111
BTC,adx_14d,iv_rank_6m,21.1433,25.521,0.4919,0.5461,0,0.0
BTC,adx_14d,iv_rank_6m,25.521,29.8987,0.4919,0.5461,2,0.022222
BTC,adx_14d,iv_rank_6m,29.8987,34.2764,0.4919,0.5461,0,0.0
BTC,adx_14d,iv_rank_6m,34.2764,38.6542,0.4919,0.5461,1,0.011111
BTC,adx_14d,iv_rank_6m,38.6542,43.0319,0.4919,0.5461,1,0.011111
BTC,adx_14d,iv_rank_6m,43.0319,47.4096,0.4919,0.5461,0,0.0
BTC,adx_14d,iv_rank_6m,47.4096,51.7873,0.4919,0.5461,0,0.0
BTC,adx_14d,iv_rank_6m,8.0101,12.3878,0.5461,0.6003,0,0.0
BTC,adx_14d,iv_rank_6m,12.3878,16.7656,0.5461,0.6003,1,0.011111
BTC,adx_14d,iv_rank_6m,16.7656,21.1433,0.5461,0.6003,0,0.0
BTC,adx_14d,iv_rank_6m,21.1433,25.521,0.5461,0.6003,0,0.0
