underlying,x_metric,y_metric,x_low,x_high,y_low,y_high,count,occupancy_frac
BTC,adx_14d,price_vs_ma200,8.0101,12.3878,-33.535,-26.3327,1,0.011111
BTC,adx_14d,price_vs_ma200,12.3878,16.7656,-33.535,-26.3327,0,0.0
BTC,adx_14d,price_vs_ma200,16.7656,21.1433,-33.535,-26.3327,0,0.0
BTC,adx_14d,price_vs_ma200,21.1433,25.521,-33.535,-26.3327,0,0.0
BTC,adx_14d,price_vs_ma200,25.521,29.8987,-33.535,-26.3327,1,0.011111
BTC,adx_14d,price_vs_ma200,29.8987,34.2764,-33.535,-26.3327,0,0.0
BTC,adx_14d,price_vs_ma200,34.2764,38.6542,-33.535,-26.3327,0,0.0
BTC,adx_14d,price_vs_ma200,38.6542,43.0319,-33.535,-26.3327,1,0.011111
BTC,adx_14d,price_vs_ma200,43.0319,47.4096,-33.535,-26.3327,0,0.0
BTC,adx_14d,price_vs_ma200,47.4096,51.7873,-33.535,-26.3327,0,0.0
BTC,adx_14d,price_vs_ma200,8.0101,12.3878,-26.3327,-19.1304,0,0.0
BTC,adx_14d,price_vs_ma200,12.3878,16.7656,-26.3327,-19.1304,1,0.011111
BTC,adx_14d,price_vs_ma200,16.7656,21.1433,-26.3327,-19.1304,0,0.0
BTC,adx_14d,price_vs_ma200,21.1433,25.521,-26.3327,-19.1304,0,0.0
BTC,adx_14d,price_vs_ma200,25.521,29.8987,-26.3327,-19.1304,0,0.0
BTC,adx_14d,price_vs_ma200,29.8987,34.2764,-26.3327,-19.1304,2,0.022222
BTC,adx_14d,price_vs_ma200,34.2764,38.6542,-26.3327,-19.1304,1,0.011111
BTC,adx_14d,price_vs_ma200,38.6542,43.0319,-26.3327,-19.1304,0,0.0
BTC,adx_14d,price_vs_ma200,43.0319,47.4096,-26.3327,-19.1304,0,0.0
BTC,adx_14d,price_vs_ma200,47.4096,51.7873,-26.3327,-19.1304,0,0.0
BTC,adx_14d,price_vs_ma200,8.0101,12.3878,-19.1304,-11.9281,1,0.011111
BTC,adx_14d,price_vs_ma200,12.3878,16.7656,-19.1304,-11.9281,2,0.022222
BTC,adx_14d,price_vs_ma200,16.7656,21.1433,-19.1304,-11.9281,1,0.011111
BTC,adx_14d,price_vs_ma200,21.1433,25.521,-19.1304,-11.9281,0,0.0
BTC,adx_14d,price_vs_ma200,25.521,29.8987,-19.1304,-11.9281,3,0.033333
BTC,adx_14d,price_vs_ma200,29.8987,34.2764,-19.1304,-11.9281,0,0.0
BTC,adx_14d,price_vs_ma200,34.2764,38.6542,-19.1304,-11.9281,2,0.022222
BTC,adx_14d,price_vs_ma200,38.6542,43.0319,-19.1304,-11.9281,0,0.0
BTC,adx_14d,price_vs_ma200,43.0319,47.4096,-19.1304,-11.9281,0,0.0
BTC,adx_14d,price_vs_ma200,47.4096,51.7873,-19.1304,-11.9281,0,0.0
BTC,adx_14d,price_vs_ma200,8.0101,12.3878,-11.9281,-4.7258,2,0.022222
BTC,adx_14d,price_vs_ma200,12.3878,16.7656,-11.9281,-4.7258,1,0.011111
BTC,adx_14d,price_vs_ma200,16.7656,21.1433,-11.9281,-4.7258,3,0.033333
BTC,adx_14d,price_vs_ma200,21.1433,25.521,-11.9281,-4.7258,2,0.022222
BTC,adx_14d,price_vs_ma200,25.521,29.8987,-11.9281,-4.7258,0,0.0
BTC,adx_14d,price_vs_ma200,29.8987,34.2764,-11.9281,-4.7258,0,0.0
BTC,adx_14d,price_vs_ma200,34.2764,38.6542,-11.9281,-4.7258,1,0.011111
BTC,adx_14d,price_vs_ma200,38.6542,43.0319,-11.9281,-4.7258,2,0.022222
BTC,adx_14d,price_vs_ma200,43.0319,47.4096,-11.9281,-4.7258,1,0.011111
BTC,adx_14d,price_vs_ma200,47.4096,51.7873,-11.9281,-4.7258,0,0.0
BTC,adx_14d,price_vs_ma200,8.0101,12.3878,-4.7258,2.4765,2,0.022222
BTC,adx_14d,price_vs_ma200,12.3878,16.7656,-4.7258,2.4765,2,0.022222
BTC,adx_14d,price_vs_ma200,16.7656,21.1433,-4.7258,2.4765,0,0.0
BTC,adx_14d,price_vs_ma200,21.1433,25.521,-4.7258,2.4765,2,0.022222
BTC,adx_14d,price_vs_ma200,25.521,29.8987,-4.7258,2.4765,1,0.011111
BTC,adx_14d,price_vs_ma200,29.8987,34.2764,-4.7258,2.4765,2,0.022222
BTC,adx_14d,price_vs_ma200,34.2764,38.6542,-4.7258,2.4765,0,0.0
BTC,adx_14d,price_vs_ma200,38.6542,43.0319,-4.7258,2.4765,0,0.0
BTC,adx_14d,price_vs_ma200,43.0319,47.4096,-4.7258,2.4765,0,0.0
BTC,adx_14d,price_vs_ma200,47.4096,51.7873,-4.7258,2.4765,0,0.0
BTC,adx_14d,price_vs_ma200,8.0101,12.3878,2.4765,9.6789,0,0.0
BTC,adx_14d,price_vs_ma200,12.3878,16.7656,2.4765,9.6789,1,0.011111
BTC,adx_14d,price_vs_ma200,16.7656,21.1433,2.4765,9.6789,3,0.033333
BTC,adx_14d,price_vs_ma200,21.1433,25.521,2.4765,9.6789,4,0.044444
BTC,adx_14d,price_vs_ma200,25.521,29.8987,2.4765,9.6789,3,0.033333
BTC,adx_14d,price_vs_ma200,29.8987,34.2764,2.4765,9.6789,6,0.066667
BTC,adx_14d,price_vs_ma200,34.2764,38.6542,2.4765,9.6789,1,0.011111
BTC,adx_14d,price_vs_ma200,38.6542,43.0319,2.4765,9.6789,3,0.033333
BTC,adx_14d,price_vs_ma200,43.0319,47.4096,2.4765,9.6789,0,0.0
BTC,adx_14d,price_vs_ma200,47.4096,51.7873,2.4765,9.6789,1,0.011111
BTC,adx_14d,price_vs_ma200,8.0101,12.3878,9.6789,16.8812,2,0.022222
BTC,adx_14d,price_vs_ma200,12.3878,16.7656,9.6789,16.8812,3,0.033333
BTC,adx_14d,price_vs_ma200,16.7656,21.1433,9.6789,16.8812,2,0.022222
BTC,adx_14d,price_vs_ma200,21.1433,25.521,9.6789,16.8812,0,0.0
BTC,adx_14d,price_vs_ma200,25.521,29.8987,9.6789,16.8812,2,0.022222
BTC,adx_14d,price_vs_ma200,29.8987,34.2764,9.6789,16.8812,1,0.011111
BTC,adx_14d,price_vs_ma200,34.2764,38.6542,9.6789,16.8812,0,0.0
BTC,adx_14d,price_vs_ma200,38.6542,43.0319,9.6789,16.8812,0,0.0
