underlying,x_metric,y_metric,x_low,x_high,y_low,y_high,count,occupancy_frac
BTC,adx_14d,rsi_14d,8.0101,12.3878,6.0,14.8,0,0.0
BTC,adx_14d,rsi_14d,12.3878,16.7656,6.0,14.8,2,0.022222
BTC,adx_14d,rsi_14d,16.7656,21.1433,6.0,14.8,1,0.011111
BTC,adx_14d,rsi_14d,21.1433,25.521,6.0,14.8,0,0.0
BTC,adx_14d,rsi_14d,25.521,29.8987,6.0,14.8,1,0.011111
BTC,adx_14d,rsi_14d,29.8987,34.2764,6.0,14.8,0,0.0
BTC,adx_14d,rsi_14d,34.2764,38.6542,6.0,14.8,0,0.0
BTC,adx_14d,rsi_14d,38.6542,43.0319,6.0,14.8,0,0.0
BTC,adx_14d,rsi_14d,43.0319,47.4096,6.0,14.8,0,0.0
BTC,adx_14d,rsi_14d,47.4096,51.7873,6.0,14.8,0,0.0
BTC,adx_14d,rsi_14d,8.0101,12.3878,14.8,23.6,0,0.0
BTC,adx_14d,rsi_14d,12.3878,16.7656,14.8,23.6,1,0.011111
BTC,adx_14d,rsi_14d,16.7656,21.1433,14.8,23.6,0,0.0
BTC,adx_14d,rsi_14d,21.1433,25.521,14.8,23.6,1,0.011111
BTC,adx_14d,rsi_14d,25.521,29.8987,14.8,23.6,0,0.0
BTC,adx_14d,rsi_14d,29.8987,34.2764,14.8,23.6,0,0.0
BTC,adx_14d,rsi_14d,34.2764,38.6542,14.8,23.6,1,0.011111
BTC,adx_14d,rsi_14d,38.6542,43.0319,14.8,23.6,0,0.0
BTC,adx_14d,rsi_14d,43.0319,47.4096,14.8,23.6,0,0.0
BTC,adx_14d,rsi_14d,47.4096,51.7873,14.8,23.6,0,0.0
BTC,adx_14d,rsi_14d,8.0101,12.3878,23.6,32.4,0,0.0
BTC,adx_14d,rsi_14d,12.3878,16.7656,23.6,32.4,1,0.011111
BTC,adx_14d,rsi_14d,16.7656,21.1433,23.6,32.4,1,0.011111
BTC,adx_14d,rsi_14d,21.1433,25.521,23.6,32.4,0,0.0
BTC,adx_14d,rsi_14d,25.521,29.8987,23.6,32.4,0,0.0
BTC,adx_14d,rsi_14d,29.8987,34.2764,23.6,32.4,1,0.011111
BTC,adx_14d,rsi_14d,34.2764,38.6542,23.6,32.4,1,0.011111
BTC,adx_14d,rsi_14d,38.6542,43.0319,23.6,32.4,0,0.0
BTC,adx_14d,rsi_14d,43.0319,47.4096,23.6,32.4,0,0.0
BTC,adx_14d,rsi_14d,47.4096,51.7873,23.6,32.4,0,0.0
BTC,adx_14d,rsi_14d,8.0101,12.3878,32.4,41.2,2,0.022222
BTC,adx_14d,rsi_14d,12.3878,16.7656,32.4,41.2,2,0.022222
BTC,adx_14d,rsi_14d,16.7656,21.1433,32.4,41.2,0,0.0
BTC,adx_14d,rsi_14d,21.1433,25.521,32.4,41.2,2,0.022222
BTC,adx_14d,rsi_14d,25.521,29.8987,32.4,41.2,0,0.0
BTC,adx_14d,rsi_14d,29.8987,34.2764,32.4,41.2,0,0.0
BTC,adx_14d,rsi_14d,34.2764,38.6542,32.4,41.2,2,0.022222
BTC,adx_14d,rsi_14d,38.6542,43.0319,32.4,41.2,2,0.022222
BTC,adx_14d,rsi_14d,43.0319,47.4096,32.4,41.2,1,0.011111
BTC,adx_14d,rsi_14d,47.4096,51.7873,32.4,41.2,0,0.0
BTC,adx_14d,rsi_14d,8.0101,12.3878,41.2,50.0,3,0.033333
BTC,adx_14d,rsi_14d,12.3878,16.7656,41.2,50.0,1,0.011111
BTC,adx_14d,rsi_14d,16.7656,21.1433,41.2,50.0,4,0.044444
BTC,adx_14d,rsi_14d,21.1433,25.521,41.2,50.0,1,0.011111
BTC,adx_14d,rsi_14d,25.521,29.8987,41.2,50.0,2,0.022222
BTC,adx_14d,rsi_14d,29.8987,34.2764,41.2,50.0,1,0.011111
BTC,adx_14d,rsi_14d,34.2764,38.6542,41.2,50.0,2,0.022222
BTC,adx_14d,rsi_14d,38.6542,43.0319,41.2,50.0,2,0.022222
BTC,adx_14d,rsi_14d,43.0319,47.4096,41.2,50.0,0,0.0
BTC,adx_14d,rsi_14d,47.4096,51.7873,41.2,50.0,1,0.011111
BTC,adx_14d,rsi_14d,8.0101,12.3878,50.0,58.8,2,0.022222
BTC,adx_14d,rsi_14d,12.3878,16.7656,50.0,58.8,1,0.011111
BTC,adx_14d,rsi_14d,16.7656,21.1433,50.0,58.8,0,0.0
BTC,adx_14d,rsi_14d,21.1433,25.521,50.0,58.8,4,0.044444
BTC,adx_14d,rsi_14d,25.521,29.8987,50.0,58.8,2,0.022222
BTC,adx_14d,rsi_14d,29.8987,34.2764,50.0,58.8,2,0.022222
BTC,adx_14d,rsi_14d,34.2764,38.6542,50.0,58.8,0,0.0
BTC,adx_14d,rsi_14d,38.6542,43.0319,50.0,58.8,1,0.011111
BTC,adx_14d,rsi_14d,43.0319,47.4096,50.0,58.8,0,0.0
BTC,adx_14d,rsi_14d,47.4096,51.7873,50.0,58.8,1,0.011111
BTC,adx_14d,rsi_14d,8.0101,12.3878,58.8,67.6,2,0.022222
BTC,adx_14d,rsi_14d,12.3878,16.7656,58.8,67.6,1,0.011111
BTC,adx_14d,rsi_14d,16.7656,21.1433,58.8,67.6,1,0.011111
BTC,adx_14d,rsi_14d,21.1433,25.521,58.8,67.6,0,0.0
BTC,adx_14d,rsi_14d,25.521,29.8987,58.8,67.6,5,0.055556
BTC,adx_14d,rsi_14d,29.8987,34.2764,58.8,67.6,2,0.022222
