underlying,x_metric,y_metric,x_low,x_high,y_low,y_high,count,occupancy_frac
BTC,adx_14d,skew_25d,7.5,13.0,-9.6805,-7.3304,0,0.0
BTC,adx_14d,skew_25d,13.0,18.5,-9.6805,-7.3304,0,0.0
BTC,adx_14d,skew_25d,18.5,24.0,-9.6805,-7.3304,0,0.0
BTC,adx_14d,skew_25d,24.0,29.5,-9.6805,-7.3304,0,0.0
BTC,adx_14d,skew_25d,29.5,35.0,-9.6805,-7.3304,1,0.011111
BTC,adx_14d,skew_25d,35.0,40.5,-9.6805,-7.3304,0,0.0
BTC,adx_14d,skew_25d,40.5,46.0,-9.6805,-7.3304,0,0.0
BTC,adx_14d,skew_25d,46.0,51.5,-9.6805,-7.3304,0,0.0
BTC,adx_14d,skew_25d,51.5,57.0,-9.6805,-7.3304,0,0.0
BTC,adx_14d,skew_25d,57.0,62.5,-9.6805,-7.3304,0,0.0
BTC,adx_14d,skew_25d,7.5,13.0,-7.3304,-4.9803,0,0.0
BTC,adx_14d,skew_25d,13.0,18.5,-7.3304,-4.9803,1,0.011111
BTC,adx_14d,skew_25d,18.5,24.0,-7.3304,-4.9803,0,0.0
BTC,adx_14d,skew_25d,24.0,29.5,-7.3304,-4.9803,0,0.0
BTC,adx_14d,skew_25d,29.5,35.0,-7.3304,-4.9803,1,0.011111
BTC,adx_14d,skew_25d,35.0,40.5,-7.3304,-4.9803,0,0.0
BTC,adx_14d,skew_25d,40.5,46.0,-7.3304,-4.9803,0,0.0
BTC,adx_14d,skew_25d,46.0,51.5,-7.3304,-4.9803,0,0.0
BTC,adx_14d,skew_25d,51.5,57.0,-7.3304,-4.9803,0,0.0
BTC,adx_14d,skew_25d,57.0,62.5,-7.3304,-4.9803,1,0.011111
BTC,adx_14d,skew_25d,7.5,13.0,-4.9803,-2.6302,1,0.011111
BTC,adx_14d,skew_25d,13.0,18.5,-4.9803,-2.6302,1,0.011111
BTC,adx_14d,skew_25d,18.5,24.0,-4.9803,-2.6302,8,0.088889
BTC,adx_14d,skew_25d,24.0,29.5,-4.9803,-2.6302,1,0.011111
BTC,adx_14d,skew_25d,29.5,35.0,-4.9803,-2.6302,0,0.0
BTC,adx_14d,skew_25d,35.0,40.5,-4.9803,-2.6302,0,0.0
BTC,adx_14d,skew_25d,40.5,46.0,-4.9803,-2.6302,1,0.011111
BTC,adx_14d,skew_25d,46.0,51.5,-4.9803,-2.6302,0,0.0
BTC,adx_14d,skew_25d,51.5,57.0,-4.9803,-2.6302,0,0.0
BTC,adx_14d,skew_25d,57.0,62.5,-4.9803,-2.6302,0,0.0
BTC,adx_14d,skew_25d,7.5,13.0,-2.6302,-0.2801,0,0.0
BTC,adx_14d,skew_25d,13.0,18.5,-2.6302,-0.2801,2,0.022222
BTC,adx_14d,skew_25d,18.5,24.0,-2.6302,-0.2801,4,0.044444
BTC,adx_14d,skew_25d,24.0,29.5,-2.6302,-0.2801,1,0.011111
BTC,adx_14d,skew_25d,29.5,35.0,-2.6302,-0.2801,1,0.011111
BTC,adx_14d,skew_25d,35.0,40.5,-2.6302,-0.2801,3,0.033333
BTC,adx_14d,skew_25d,40.5,46.0,-2.6302,-0.2801,1,0.011111
BTC,adx_14d,skew_25d,46.0,51.5,-2.6302,-0.2801,0,0.0
BTC,adx_14d,skew_25d,51.5,57.0,-2.6302,-0.2801,0,0.0
BTC,adx_14d,skew_25d,57.0,62.5,-2.6302,-0.2801,0,0.0
BTC,adx_14d,skew_25d,7.5,13.0,-0.2801,2.07,4,0.044444
BTC,adx_14d,skew_25d,13.0,18.5,-0.2801,2.07,2,0.022222
BTC,adx_14d,skew_25d,18.5,24.0,-0.2801,2.07,4,0.044444
BTC,adx_14d,skew_25d,24.0,29.5,-0.2801,2.07,3,0.033333
BTC,adx_14d,skew_25d,29.5,35.0,-0.2801,2.07,4,0.044444
BTC,adx_14d,skew_25d,35.0,40.5,-0.2801,2.07,1,0.011111
BTC,adx_14d,skew_25d,40.5,46.0,-0.2801,2.07,2,0.022222
BTC,adx_14d,skew_25d,46.0,51.5,-0.2801,2.07,0,0.0
BTC,adx_14d,skew_25d,51.5,57.0,-0.2801,2.07,1,0.011111
BTC,adx_14d,skew_25d,57.0,62.5,-0.2801,2.07,0,0.0
BTC,adx_14d,skew_25d,7.5,13.0,2.07,4.4201,3,0.033333
BTC,adx_14d,skew_25d,13.0,18.5,2.07,4.4201,0,0.0
BTC,adx_14d,skew_25d,18.5,24.0,2.07,4.4201,3,0.033333
