underlying,x_metric,y_metric,x_low,x_high,y_low,y_high,count,occupancy_frac
BTC,adx_14d,term_structure_spread,7.5,13.0,-9.0259,-7.305,0,0.0
BTC,adx_14d,term_structure_spread,13.0,18.5,-9.0259,-7.305,0,0.0
BTC,adx_14d,term_structure_spread,18.5,24.0,-9.0259,-7.305,1,0.011111
BTC,adx_14d,term_structure_spread,24.0,29.5,-9.0259,-7.305,1,0.011111
BTC,adx_14d,term_structure_spread,29.5,35.0,-9.0259,-7.305,0,0.0
BTC,adx_14d,term_structure_spread,35.0,40.5,-9.0259,-7.305,0,0.0
BTC,adx_14d,term_structure_spread,40.5,46.0,-9.0259,-7.305,0,0.0
BTC,adx_14d,term_structure_spread,46.0,51.5,-9.0259,-7.305,0,0.0
BTC,adx_14d,term_structure_spread,51.5,57.0,-9.0259,-7.305,0,0.0
BTC,adx_14d,term_structure_spread,57.0,62.5,-9.0259,-7.305,0,0.0
BTC,adx_14d,term_structure_spread,7.5,13.0,-7.305,-5.584,1,0.011111
BTC,adx_14d,term_structure_spread,13.0,18.5,-7.305,-5.584,0,0.0
BTC,adx_14d,term_structure_spread,18.5,24.0,-7.305,-5.584,0,0.0
BTC,adx_14d,term_structure_spread,24.0,29.5,-7.305,-5.584,0,0.0
BTC,adx_14d,term_structure_spread,29.5,35.0,-7.305,-5.584,2,0.022222
BTC,adx_14d,term_structure_spread,35.0,40.5,-7.305,-5.584,2,0.022222
BTC,adx_14d,term_structure_spread,40.5,46.0,-7.305,-5.584,0,0.0
BTC,adx_14d,term_structure_spread,46.0,51.5,-7.305,-5.584,0,0.0
BTC,adx_14d,term_structure_spread,51.5,57.0,-7.305,-5.584,0,0.0
BTC,adx_14d,term_structure_spread,57.0,62.5,-7.305,-5.584,0,0.0
BTC,adx_14d,term_structure_spread,7.5,13.0,-5.584,-3.8631,2,0.022222
BTC,adx_14d,term_structure_spread,13.0,18.5,-5.584,-3.8631,2,0.022222
BTC,adx_14d,term_structure_spread,18.5,24.0,-5.584,-3.8631,1,0.011111
BTC,adx_14d,term_structure_spread,24.0,29.5,-5.584,-3.8631,0,0.0
BTC,adx_14d,term_structure_spread,29.5,35.0,-5.584,-3.8631,1,0.011111
BTC,adx_14d,term_structure_spread,35.0,40.5,-5.584,-3.8631,2,0.022222
BTC,adx_14d,term_structure_spread,40.5,46.0,-5.584,-3.8631,1,0.011111
