underlying,x_metric,y_metric,x_low,x_high,y_low,y_high,count,occupancy_frac
BTC,chop_factor_7d,price_vs_ma200,0.3688,0.5063,-28.6495,-22.003,0,0.0
BTC,chop_factor_7d,price_vs_ma200,0.5063,0.6438,-28.6495,-22.003,1,0.011111
BTC,chop_factor_7d,price_vs_ma200,0.6438,0.7814,-28.6495,-22.003,0,0.0
BTC,chop_factor_7d,price_vs_ma200,0.7814,0.9189,-28.6495,-22.003,0,0.0
BTC,chop_factor_7d,price_vs_ma200,0.9189,1.0564,-28.6495,-22.003,0,0.0
BTC,chop_factor_7d,price_vs_ma200,1.0564,1.194,-28.6495,-22.003,0,0.0
BTC,chop_factor_7d,price_vs_ma200,1.194,1.3315,-28.6495,-22.003,2,0.022222
BTC,chop_factor_7d,price_vs_ma200,1.3315,1.469,-28.6495,-22.003,0,0.0
BTC,chop_factor_7d,price_vs_ma200,1.469,1.6065,-28.6495,-22.003,0,0.0
BTC,chop_factor_7d,price_vs_ma200,1.6065,1.7441,-28.6495,-22.003,1,0.011111
BTC,chop_factor_7d,price_vs_ma200,0.3688,0.5063,-22.003,-15.3566,2,0.022222
BTC,chop_factor_7d,price_vs_ma200,0.5063,0.6438,-22.003,-15.3566,0,0.0
BTC,chop_factor_7d,price_vs_ma200,0.6438,0.7814,-22.003,-15.3566,0,0.0
BTC,chop_factor_7d,price_vs_ma200,0.7814,0.9189,-22.003,-15.3566,2,0.022222
BTC,chop_factor_7d,price_vs_ma200,0.9189,1.0564,-22.003,-15.3566,1,0.011111
BTC,chop_factor_7d,price_vs_ma200,1.0564,1.194,-22.003,-15.3566,0,0.0
BTC,chop_factor_7d,price_vs_ma200,1.194,1.3315,-22.003,-15.3566,0,0.0
BTC,chop_factor_7d,price_vs_ma200,1.3315,1.469,-22.003,-15.3566,0,0.0
BTC,chop_factor_7d,price_vs_ma200,1.469,1.6065,-22.003,-15.3566,0,0.0
BTC,chop_factor_7d,price_vs_ma200,1.6065,1.7441,-22.003,-15.3566,0,0.0
BTC,chop_factor_7d,price_vs_ma200,0.3688,0.5063,-15.3566,-8.7101,1,0.011111
BTC,chop_factor_7d,price_vs_ma200,0.5063,0.6438,-15.3566,-8.7101,1,0.011111
BTC,chop_factor_7d,price_vs_ma200,0.6438,0.7814,-15.3566,-8.7101,3,0.033333
BTC,chop_factor_7d,price_vs_ma200,0.7814,0.9189,-15.3566,-8.7101,3,0.033333
BTC,chop_factor_7d,price_vs_ma200,0.9189,1.0564,-15.3566,-8.7101,0,0.0
BTC,chop_factor_7d,price_vs_ma200,1.0564,1.194,-15.3566,-8.7101,1,0.011111
BTC,chop_factor_7d,price_vs_ma200,1.194,1.3315,-15.3566,-8.7101,0,0.0
BTC,chop_factor_7d,price_vs_ma200,1.3315,1.469,-15.3566,-8.7101,1,0.011111
BTC,chop_factor_7d,price_vs_ma200,1.469,1.6065,-15.3566,-8.7101,0,0.0
BTC,chop_factor_7d,price_vs_ma200,1.6065,1.7441,-15.3566,-8.7101,0,0.0
BTC,chop_factor_7d,price_vs_ma200,0.3688,0.5063,-8.7101,-2.0637,0,0.0
BTC,chop_factor_7d,price_vs_ma200,0.5063,0.6438,-8.7101,-2.0637,1,0.011111
BTC,chop_factor_7d,price_vs_ma200,0.6438,0.7814,-8.7101,-2.0637,4,0.044444
BTC,chop_factor_7d,price_vs_ma200,0.7814,0.9189,-8.7101,-2.0637,2,0.022222
BTC,chop_factor_7d,price_vs_ma200,0.9189,1.0564,-8.7101,-2.0637,3,0.033333
BTC,chop_factor_7d,price_vs_ma200,1.0564,1.194,-8.7101,-2.0637,1,0.011111
BTC,chop_factor_7d,price_vs_ma200,1.194,1.3315,-8.7101,-2.0637,1,0.011111
BTC,chop_factor_7d,price_vs_ma200,1.3315,1.469,-8.7101,-2.0637,0,0.0
BTC,chop_factor_7d,price_vs_ma200,1.469,1.6065,-8.7101,-2.0637,0,0.0
BTC,chop_factor_7d,price_vs_ma200,1.6065,1.7441,-8.7101,-2.0637,0,0.0
BTC,chop_factor_7d,price_vs_ma200,0.3688,0.5063,-2.0637,4.5827,0,0.0
BTC,chop_factor_7d,price_vs_ma200,0.5063,0.6438,-2.0637,4.5827,2,0.022222
BTC,chop_factor_7d,price_vs_ma200,0.6438,0.7814,-2.0637,4.5827,2,0.022222
BTC,chop_factor_7d,price_vs_ma200,0.7814,0.9189,-2.0637,4.5827,3,0.033333
BTC,chop_factor_7d,price_vs_ma200,0.9189,1.0564,-2.0637,4.5827,2,0.022222
BTC,chop_factor_7d,price_vs_ma200,1.0564,1.194,-2.0637,4.5827,2,0.022222
BTC,chop_factor_7d,price_vs_ma200,1.194,1.3315,-2.0637,4.5827,1,0.011111
BTC,chop_factor_7d,price_vs_ma200,1.3315,1.469,-2.0637,4.5827,0,0.0
BTC,chop_factor_7d,price_vs_ma200,1.469,1.6065,-2.0637,4.5827,0,0.0
BTC,chop_factor_7d,price_vs_ma200,1.6065,1.7441,-2.0637,4.5827,0,0.0
BTC,chop_factor_7d,price_vs_ma200,0.3688,0.5063,4.5827,11.2292,1,0.011111
BTC,chop_factor_7d,price_vs_ma200,0.5063,0.6438,4.5827,11.2292,3,0.033333
BTC,chop_factor_7d,price_vs_ma200,0.6438,0.7814,4.5827,11.2292,4,0.044444
BTC,chop_factor_7d,price_vs_ma200,0.7814,0.9189,4.5827,11.2292,3,0.033333
BTC,chop_factor_7d,price_vs_ma200,0.9189,1.0564,4.5827,11.2292,2,0.022222
BTC,chop_factor_7d,price_vs_ma200,1.0564,1.194,4.5827,11.2292,1,0.011111
BTC,chop_factor_7d,price_vs_ma200,1.194,1.3315,4.5827,11.2292,0,0.0
BTC,chop_factor_7d,price_vs_ma200,1.3315,1.469,4.5827,11.2292,0,0.0
BTC,chop_factor_7d,price_vs_ma200,1.469,1.6065,4.5827,11.2292,1,0.011111
BTC,chop_factor_7d,price_vs_ma200,1.6065,1.7441,4.5827,11.2292,0,0.0
BTC,chop_factor_7d,price_vs_ma200,0.3688,0.5063,11.2292,17.8756,1,0.011111
BTC,chop_factor_7d,price_vs_ma200,0.5063,0.6438,11.2292,17.8756,2,0.022222
BTC,chop_factor_7d,price_vs_ma200,0.6438,0.7814,11.2292,17.8756,5,0.055556
BTC,chop_factor_7d,price_vs_ma200,0.7814,0.9189,11.2292,17.8756,4,0.044444
BTC,chop_factor_7d,price_vs_ma200,0.9189,1.0564,11.2292,17.8756,2,0.022222
BTC,chop_factor_7d,price_vs_ma200,1.0564,1.194,11.2292,17.8756,1,0.011111
BTC,chop_factor_7d,price_vs_ma200,1.194,1.3315,11.2292,17.8756,1,0.011111
BTC,chop_factor_7d,price_vs_ma200,1.3315,1.469,11.2292,17.8756,1,0.011111
BTC,chop_factor_7d,price_vs_ma200,1.469,1.6065,11.2292,17.8756,0,0.0
BTC,chop_factor_7d,price_vs_ma200,1.6065,1.7441,11.2292,17.8756,0,0.0
BTC,chop_factor_7d,price_vs_ma200,0.3688,0.5063,17.8756,24.5221,1,0.011111
BTC,chop_factor_7d,price_vs_ma200,0.5063,0.6438,17.8756,24.5221,0,0.0
BTC,chop_factor_7d,price_vs_ma200,0.6438,0.7814,17.8756,24.5221,1,0.011111
BTC,chop_factor_7d,price_vs_ma200,0.7814,0.9189,17.8756,24.5221,1,0.011111
BTC,chop_factor_7d,price_vs_ma200,0.9189,1.0564,17.8756,24.5221,0,0.0
BTC,chop_factor_7d,price_vs_ma200,1.0564,1.194,17.8756,24.5221,2,0.022222
