underlying,x_metric,y_metric,x_low,x_high,y_low,y_high,count,occupancy_frac
BTC,chop_factor_7d,rsi_14d,0.363,0.4569,6.0,14.8,1,0.011111
BTC,chop_factor_7d,rsi_14d,0.4569,0.5507,6.0,14.8,1,0.011111
BTC,chop_factor_7d,rsi_14d,0.5507,0.6445,6.0,14.8,0,0.0
BTC,chop_factor_7d,rsi_14d,0.6445,0.7383,6.0,14.8,1,0.011111
BTC,chop_factor_7d,rsi_14d,0.7383,0.8321,6.0,14.8,1,0.011111
BTC,chop_factor_7d,rsi_14d,0.8321,0.9259,6.0,14.8,0,0.0
BTC,chop_factor_7d,rsi_14d,0.9259,1.0197,6.0,14.8,0,0.0
BTC,chop_factor_7d,rsi_14d,1.0197,1.1135,6.0,14.8,0,0.0
BTC,chop_factor_7d,rsi_14d,1.1135,1.2073,6.0,14.8,0,0.0
BTC,chop_factor_7d,rsi_14d,1.2073,1.3011,6.0,14.8,0,0.0
BTC,chop_factor_7d,rsi_14d,0.363,0.4569,14.8,23.6,0,0.0
BTC,chop_factor_7d,rsi_14d,0.4569,0.5507,14.8,23.6,1,0.011111
BTC,chop_factor_7d,rsi_14d,0.5507,0.6445,14.8,23.6,0,0.0
BTC,chop_factor_7d,rsi_14d,0.6445,0.7383,14.8,23.6,0,0.0
BTC,chop_factor_7d,rsi_14d,0.7383,0.8321,14.8,23.6,0,0.0
BTC,chop_factor_7d,rsi_14d,0.8321,0.9259,14.8,23.6,0,0.0
BTC,chop_factor_7d,rsi_14d,0.9259,1.0197,14.8,23.6,0,0.0
BTC,chop_factor_7d,rsi_14d,1.0197,1.1135,14.8,23.6,1,0.011111
BTC,chop_factor_7d,rsi_14d,1.1135,1.2073,14.8,23.6,0,0.0
BTC,chop_factor_7d,rsi_14d,1.2073,1.3011,14.8,23.6,1,0.011111
BTC,chop_factor_7d,rsi_14d,0.363,0.4569,23.6,32.4,0,0.0
BTC,chop_factor_7d,rsi_14d,0.4569,0.5507,23.6,32.4,1,0.011111
BTC,chop_factor_7d,rsi_14d,0.5507,0.6445,23.6,32.4,0,0.0
BTC,chop_factor_7d,rsi_14d,0.6445,0.7383,23.6,32.4,0,0.0
BTC,chop_factor_7d,rsi_14d,0.7383,0.8321,23.6,32.4,1,0.011111
BTC,chop_factor_7d,rsi_14d,0.8321,0.9259,23.6,32.4,1,0.011111
BTC,chop_factor_7d,rsi_14d,0.9259,1.0197,23.6,32.4,1,0.011111
BTC,chop_factor_7d,rsi_14d,1.0197,1.1135,23.6,32.4,0,0.0
BTC,chop_factor_7d,rsi_14d,1.1135,1.2073,23.6,32.4,0,0.0
BTC,chop_factor_7d,rsi_14d,1.2073,1.3011,23.6,32.4,0,0.0
BTC,chop_factor_7d,rsi_14d,0.363,0.4569,32.4,41.2,0,0.0
BTC,chop_factor_7d,rsi_14d,0.4569,0.5507,32.4,41.2,1,0.011111
BTC,chop_factor_7d,rsi_14d,0.5507,0.6445,32.4,41.2,3,0.033333
BTC,chop_factor_7d,rsi_14d,0.6445,0.7383,32.4,41.2,2,0.022222
BTC,chop_factor_7d,rsi_14d,0.7383,0.8321,32.4,41.2,2,0.022222
BTC,chop_factor_7d,rsi_14d,0.8321,0.9259,32.4,41.2,0,0.0
BTC,chop_factor_7d,rsi_14d,0.9259,1.0197,32.4,41.2,0,0.0
BTC,chop_factor_7d,rsi_14d,1.0197,1.1135,32.4,41.2,2,0.022222
BTC,chop_factor_7d,rsi_14d,1.1135,1.2073,32.4,41.2,1,0.011111
BTC,chop_factor_7d,rsi_14d,1.2073,1.3011,32.4,41.2,0,0.0
BTC,chop_factor_7d,rsi_14d,0.363,0.4569,41.2,50.0,0,0.0
BTC,chop_factor_7d,rsi_14d,0.4569,0.5507,41.2,50.0,3,0.033333
BTC,chop_factor_7d,rsi_14d,0.5507,0.6445,41.2,50.0,0,0.0
BTC,chop_factor_7d,rsi_14d,0.6445,0.7383,41.2,50.0,3,0.033333
BTC,chop_factor_7d,rsi_14d,0.7383,0.8321,41.2,50.0,4,0.044444
BTC,chop_factor_7d,rsi_14d,0.8321,0.9259,41.2,50.0,3,0.033333
BTC,chop_factor_7d,rsi_14d,0.9259,1.0197,41.2,50.0,0,0.0
BTC,chop_factor_7d,rsi_14d,1.0197,1.1135,41.2,50.0,2,0.022222
BTC,chop_factor_7d,rsi_14d,1.1135,1.2073,41.2,50.0,2,0.022222
BTC,chop_factor_7d,rsi_14d,1.2073,1.3011,41.2,50.0,0,0.0
BTC,chop_factor_7d,rsi_14d,0.363,0.4569,50.0,58.8,0,0.0
BTC,chop_factor_7d,rsi_14d,0.4569,0.5507,50.0,58.8,2,0.022222
BTC,chop_factor_7d,rsi_14d,0.5507,0.6445,50.0,58.8,1,0.011111
BTC,chop_factor_7d,rsi_14d,0.6445,0.7383,50.0,58.8,4,0.044444
BTC,chop_factor_7d,rsi_14d,0.7383,0.8321,50.0,58.8,1,0.011111
BTC,chop_factor_7d,rsi_14d,0.8321,0.9259,50.0,58.8,0,0.0
BTC,chop_factor_7d,rsi_14d,0.9259,1.0197,50.0,58.8,1,0.011111
