underlying,x_metric,y_metric,x_low,x_high,y_low,y_high,count,occupancy_frac
BTC,iv_rank_6m,price_vs_ma200,0.0585,0.1127,-33.535,-26.3327,0,0.0
BTC,iv_rank_6m,price_vs_ma200,0.1127,0.1669,-33.535,-26.3327,0,0.0
BTC,iv_rank_6m,price_vs_ma200,0.1669,0.2211,-33.535,-26.3327,0,0.0
BTC,iv_rank_6m,price_vs_ma200,0.2211,0.2752,-33.535,-26.3327,0,0.0
BTC,iv_rank_6m,price_vs_ma200,0.2752,0.3294,-33.535,-26.3327,1,0.011111
BTC,iv_rank_6m,price_vs_ma200,0.3294,0.3836,-33.535,-26.3327,1,0.011111
BTC,iv_rank_6m,price_vs_ma200,0.3836,0.4378,-33.535,-26.3327,1,0.011111
BTC,iv_rank_6m,price_vs_ma200,0.4378,0.4919,-33.535,-26.3327,0,0.0
BTC,iv_rank_6m,price_vs_ma200,0.4919,0.5461,-33.535,-26.3327,0,0.0
BTC,iv_rank_6m,price_vs_ma200,0.5461,0.6003,-33.535,-26.3327,0,0.0
BTC,iv_rank_6m,price_vs_ma200,0.0585,0.1127,-26.3327,-19.1304,0,0.0
BTC,iv_rank_6m,price_vs_ma200,0.1127,0.1669,-26.3327,-19.1304,0,0.0
BTC,iv_rank_6m,price_vs_ma200,0.1669,0.2211,-26.3327,-19.1304,0,0.0
BTC,iv_rank_6m,price_vs_ma200,0.2211,0.2752,-26.3327,-19.1304,2,0.022222
BTC,iv_rank_6m,price_vs_ma200,0.2752,0.3294,-26.3327,-19.1304,0,0.0
BTC,iv_rank_6m,price_vs_ma200,0.3294,0.3836,-26.3327,-19.1304,0,0.0
BTC,iv_rank_6m,price_vs_ma200,0.3836,0.4378,-26.3327,-19.1304,0,0.0
BTC,iv_rank_6m,price_vs_ma200,0.4378,0.4919,-26.3327,-19.1304,1,0.011111
BTC,iv_rank_6m,price_vs_ma200,0.4919,0.5461,-26.3327,-19.1304,1,0.011111
BTC,iv_rank_6m,price_vs_ma200,0.5461,0.6003,-26.3327,-19.1304,0,0.0
BTC,iv_rank_6m,price_vs_ma200,0.0585,0.1127,-19.1304,-11.9281,0,0.0
BTC,iv_rank_6m,price_vs_ma200,0.1127,0.1669,-19.1304,-11.9281,0,0.0
BTC,iv_rank_6m,price_vs_ma200,0.1669,0.2211,-19.1304,-11.9281,2,0.022222
BTC,iv_rank_6m,price_vs_ma200,0.2211,0.2752,-19.1304,-11.9281,0,0.0
BTC,iv_rank_6m,price_vs_ma200,0.2752,0.3294,-19.1304,-11.9281,1,0.011111
BTC,iv_rank_6m,price_vs_ma200,0.3294,0.3836,-19.1304,-11.9281,1,0.011111
BTC,iv_rank_6m,price_vs_ma200,0.3836,0.4378,-19.1304,-11.9281,3,0.033333
BTC,iv_rank_6m,price_vs_ma200,0.4378,0.4919,-19.1304,-11.9281,0,0.0
BTC,iv_rank_6m,price_vs_ma200,0.4919,0.5461,-19.1304,-11.9281,2,0.022222
BTC,iv_rank_6m,price_vs_ma200,0.5461,0.6003,-19.1304,-11.9281,0,0.0
BTC,iv_rank_6m,price_vs_ma200,0.0585,0.1127,-11.9281,-4.7258,0,0.0
BTC,iv_rank_6m,price_vs_ma200,0.1127,0.1669,-11.9281,-4.7258,1,0.011111
BTC,iv_rank_6m,price_vs_ma200,0.1669,0.2211,-11.9281,-4.7258,2,0.022222
BTC,iv_rank_6m,price_vs_ma200,0.2211,0.2752,-11.9281,-4.7258,1,0.011111
BTC,iv_rank_6m,price_vs_ma200,0.2752,0.3294,-11.9281,-4.7258,0,0.0
BTC,iv_rank_6m,price_vs_ma200,0.3294,0.3836,-11.9281,-4.7258,3,0.033333
BTC,iv_rank_6m,price_vs_ma200,0.3836,0.4378,-11.9281,-4.7258,1,0.011111
BTC,iv_rank_6m,price_vs_ma200,0.4378,0.4919,-11.9281,-4.7258,2,0.022222
BTC,iv_rank_6m,price_vs_ma200,0.4919,0.5461,-11.9281,-4.7258,2,0.022222
BTC,iv_rank_6m,price_vs_ma200,0.5461,0.6003,-11.9281,-4.7258,0,0.0
BTC,iv_rank_6m,price_vs_ma200,0.0585,0.1127,-4.7258,2.4765,0,0.0
BTC,iv_rank_6m,price_vs_ma200,0.1127,0.1669,-4.7258,2.4765,0,0.0
BTC,iv_rank_6m,price_vs_ma200,0.1669,0.2211,-4.7258,2.4765,1,0.011111
BTC,iv_rank_6m,price_vs_ma200,0.2211,0.2752,-4.7258,2.4765,1,0.011111
BTC,iv_rank_6m,price_vs_ma200,0.2752,0.3294,-4.7258,2.4765,2,0.022222
BTC,iv_rank_6m,price_vs_ma200,0.3294,0.3836,-4.7258,2.4765,0,0.0
BTC,iv_rank_6m,price_vs_ma200,0.3836,0.4378,-4.7258,2.4765,2,0.022222
BTC,iv_rank_6m,price_vs_ma200,0.4378,0.4919,-4.7258,2.4765,2,0.022222
BTC,iv_rank_6m,price_vs_ma200,0.4919,0.5461,-4.7258,2.4765,1,0.011111
BTC,iv_rank_6m,price_vs_ma200,0.5461,0.6003,-4.7258,2.4765,0,0.0
BTC,iv_rank_6m,price_vs_ma200,0.0585,0.1127,2.4765,9.6789,1,0.011111
BTC,iv_rank_6m,price_vs_ma200,0.1127,0.1669,2.4765,9.6789,1,0.011111
BTC,iv_rank_6m,price_vs_ma200,0.1669,0.2211,2.4765,9.6789,3,0.033333
BTC,iv_rank_6m,price_vs_ma200,0.2211,0.2752,2.4765,9.6789,4,0.044444
BTC,iv_rank_6m,price_vs_ma200,0.2752,0.3294,2.4765,9.6789,2,0.022222
BTC,iv_rank_6m,price_vs_ma200,0.3294,0.3836,2.4765,9.6789,5,0.055556
BTC,iv_rank_6m,price_vs_ma200,0.3836,0.4378,2.4765,9.6789,2,0.022222
BTC,iv_rank_6m,price_vs_ma200,0.4378,0.4919,2.4765,9.6789,2,0.022222
BTC,iv_rank_6m,price_vs_ma200,0.4919,0.5461,2.4765,9.6789,2,0.022222
BTC,iv_rank_6m,price_vs_ma200,0.5461,0.6003,2.4765,9.6789,0,0.0
BTC,iv_rank_6m,price_vs_ma200,0.0585,0.1127,9.6789,16.8812,0,0.0
BTC,iv_rank_6m,price_vs_ma200,0.1127,0.1669,9.6789,16.8812,3,0.033333
BTC,iv_rank_6m,price_vs_ma200,0.1669,0.2211,9.6789,16.8812,0,0.0
BTC,iv_rank_6m,price_vs_ma200,0.2211,0.2752,9.6789,16.8812,0,0.0
BTC,iv_rank_6m,price_vs_ma200,0.2752,0.3294,9.6789,16.8812,0,0.0
BTC,iv_rank_6m,price_vs_ma200,0.3294,0.3836,9.6789,16.8812,2,0.022222
BTC,iv_rank_6m,price_vs_ma200,0.3836,0.4378,9.6789,16.8812,4,0.044444
BTC,iv_rank_6m,price_vs_ma200,0.4378,0.4919,9.6789,16.8812,0,0.0
BTC,iv_rank_6m,price_vs_ma200,0.4919,0.5461,9.6789,16.8812,0,0.0
BTC,iv_rank_6m,price_vs_ma200,0.5461,0.6003,9.6789,16.8812,1,0.011111
BTC,iv_rank_6m,price_vs_ma200,0.0585,0.1127,16.8812,24.0835,0,0.0
BTC,iv_rank_6m,price_vs_ma200,0.1127,0.1669,16.8812,24.0835,1,0.011111
BTC,iv_rank_6m,price_vs_ma200,0.1669,0.2211,16.8812,24.0835,2,0.022222
BTC,iv_rank_6m,price_vs_ma200,0.2211,0.2752,16.8812,24.0835,0,0.0
BTC,iv_rank_6m,price_vs_ma200,0.2752,0.3294,16.8812,24.0835,0,0.0
BTC,iv_rank_6m,price_vs_ma200,0.3294,0.3836,16.8812,24.0835,3,0.033333
BTC,iv_rank_6m,price_vs_ma200,0.3836,0.4378,16.8812,24.0835,3,0.033333
BTC,iv_rank_6m,price_vs_ma200,0.4378,0.4919,16.8812,24.0835,3,0.033333
BTC,iv_rank_6m,price_vs_ma200,0.4919,0.5461,16.8812,24.0835,0,0.0
BTC,iv_rank_6m,price_vs_ma200,0.5461,0.6003,16.8812,24.0835,0,0.0
BTC,iv_rank_6m,price_vs_ma200,0.0585,0.1127,24.0835,31.2858,0,0.0
BTC,iv_rank_6m,price_vs_ma200,0.1127,0.1669,24.0835,31.2858,1,0.011111
BTC,iv_rank_6m,price_vs_ma200,0.1669,0.2211,24.0835,31.2858,2,0.022222
BTC,iv_rank_6m,price_vs_ma200,0.2211,0.2752,24.0835,31.2858,0,0.0
BTC,iv_rank_6m,price_vs_ma200,0.2752,0.3294,24.0835,31.2858,0,0.0
BTC,iv_rank_6m,price_vs_ma200,0.3294,0.3836,24.0835,31.2858,0,0.0
BTC,iv_rank_6m,price_vs_ma200,0.3836,0.4378,24.0835,31.2858,1,0.011111
BTC,iv_rank_6m,price_vs_ma200,0.4378,0.4919,24.0835,31.2858,0,0.0
BTC,iv_rank_6m,price_vs_ma200,0.4919,0.5461,24.0835,31.2858,0,0.0
BTC,iv_rank_6m,price_vs_ma200,0.5461,0.6003,24.0835,31.2858,0,0.0
BTC,iv_rank_6m,price_vs_ma200,0.0585,0.1127,31.2858,38.4881,0,0.0
BTC,iv_rank_6m,price_vs_ma200,0.1127,0.1669,31.2858,38.4881,0,0.0
BTC,iv_rank_6m,price_vs_ma200,0.1669,0.2211,31.2858,38.4881,0,0.0
BTC,iv_rank_6m,price_vs_ma200,0.2211,0.2752,31.2858,38.4881,0,0.0
BTC,iv_rank_6m,price_vs_ma200,0.2752,0.3294,31.2858,38.4881,1,0.011111
BTC,iv_rank_6m,price_vs_ma200,0.3294,0.3836,31.2858,38.4881,1,0.011111
BTC,iv_rank_6m,price_vs_ma200,0.3836,0.4378,31.2858,38.4881,3,0.033333
BTC,iv_rank_6m,price_vs_ma200,0.4378,0.4919,31.2858,38.4881,0,0.0
BTC,iv_rank_6m,price_vs_ma200,0.4919,0.5461,31.2858,38.4881,0,0.0
BTC,iv_rank_6m,price_vs_ma200,0.5461,0.6003,31.2858,38.4881,0,0.0
