underlying,x_metric,y_metric,x_low,x_high,y_low,y_high,count,occupancy_frac
BTC,iv_rank_6m,rsi_14d,-0.0307,0.0368,6.0,14.8,0,0.0
BTC,iv_rank_6m,rsi_14d,0.0368,0.1043,6.0,14.8,0,0.0
BTC,iv_rank_6m,rsi_14d,0.1043,0.1718,6.0,14.8,0,0.0
BTC,iv_rank_6m,rsi_14d,0.1718,0.2393,6.0,14.8,2,0.022222
BTC,iv_rank_6m,rsi_14d,0.2393,0.3068,6.0,14.8,1,0.011111
BTC,iv_rank_6m,rsi_14d,0.3068,0.3743,6.0,14.8,0,0.0
BTC,iv_rank_6m,rsi_14d,0.3743,0.4418,6.0,14.8,0,0.0
BTC,iv_rank_6m,rsi_14d,0.4418,0.5093,6.0,14.8,0,0.0
BTC,iv_rank_6m,rsi_14d,0.5093,0.5768,6.0,14.8,1,0.011111
BTC,iv_rank_6m,rsi_14d,0.5768,0.6443,6.0,14.8,0,0.0
BTC,iv_rank_6m,rsi_14d,-0.0307,0.0368,14.8,23.6,0,0.0
BTC,iv_rank_6m,rsi_14d,0.0368,0.1043,14.8,23.6,0,0.0
BTC,iv_rank_6m,rsi_14d,0.1043,0.1718,14.8,23.6,0,0.0
BTC,iv_rank_6m,rsi_14d,0.1718,0.2393,14.8,23.6,2,0.022222
BTC,iv_rank_6m,rsi_14d,0.2393,0.3068,14.8,23.6,0,0.0
BTC,iv_rank_6m,rsi_14d,0.3068,0.3743,14.8,23.6,0,0.0
BTC,iv_rank_6m,rsi_14d,0.3743,0.4418,14.8,23.6,0,0.0
BTC,iv_rank_6m,rsi_14d,0.4418,0.5093,14.8,23.6,0,0.0
BTC,iv_rank_6m,rsi_14d,0.5093,0.5768,14.8,23.6,2,0.022222
BTC,iv_rank_6m,rsi_14d,0.5768,0.6443,14.8,23.6,0,0.0
BTC,iv_rank_6m,rsi_14d,-0.0307,0.0368,23.6,32.4,0,0.0
BTC,iv_rank_6m,rsi_14d,0.0368,0.1043,23.6,32.4,1,0.011111
BTC,iv_rank_6m,rsi_14d,0.1043,0.1718,23.6,32.4,3,0.033333
