underlying,x_metric,y_metric,x_low,x_high,y_low,y_high,count,occupancy_frac
BTC,iv_rank_6m,skew_25d,-0.0307,0.0368,-9.6805,-7.3304,0,0.0
BTC,iv_rank_6m,skew_25d,0.0368,0.1043,-9.6805,-7.3304,0,0.0
BTC,iv_rank_6m,skew_25d,0.1043,0.1718,-9.6805,-7.3304,0,0.0
BTC,iv_rank_6m,skew_25d,0.1718,0.2393,-9.6805,-7.3304,0,0.0
BTC,iv_rank_6m,skew_25d,0.2393,0.3068,-9.6805,-7.3304,0,0.0
BTC,iv_rank_6m,skew_25d,0.3068,0.3743,-9.6805,-7.3304,0,0.0
BTC,iv_rank_6m,skew_25d,0.3743,0.4418,-9.6805,-7.3304,1,0.011111
BTC,iv_rank_6m,skew_25d,0.4418,0.5093,-9.6805,-7.3304,0,0.0
BTC,iv_rank_6m,skew_25d,0.5093,0.5768,-9.6805,-7.3304,0,0.0
BTC,iv_rank_6m,skew_25d,0.5768,0.6443,-9.6805,-7.3304,0,0.0
BTC,iv_rank_6m,skew_25d,-0.0307,0.0368,-7.3304,-4.9803,0,0.0
BTC,iv_rank_6m,skew_25d,0.0368,0.1043,-7.3304,-4.9803,0,0.0
BTC,iv_rank_6m,skew_25d,0.1043,0.1718,-7.3304,-4.9803,0,0.0
BTC,iv_rank_6m,skew_25d,0.1718,0.2393,-7.3304,-4.9803,0,0.0
BTC,iv_rank_6m,skew_25d,0.2393,0.3068,-7.3304,-4.9803,0,0.0
BTC,iv_rank_6m,skew_25d,0.3068,0.3743,-7.3304,-4.9803,1,0.011111
BTC,iv_rank_6m,skew_25d,0.3743,0.4418,-7.3304,-4.9803,2,0.022222
BTC,iv_rank_6m,skew_25d,0.4418,0.5093,-7.3304,-4.9803,0,0.0
BTC,iv_rank_6m,skew_25d,0.5093,0.5768,-7.3304,-4.9803,0,0.0
BTC,iv_rank_6m,skew_25d,0.5768,0.6443,-7.3304,-4.9803,0,0.0
BTC,iv_rank_6m,skew_25d,-0.0307,0.0368,-4.9803,-2.6302,0,0.0
BTC,iv_rank_6m,skew_25d,0.0368,0.1043,-4.9803,-2.6302,0,0.0
BTC,iv_rank_6m,skew_25d,0.1043,0.1718,-4.9803,-2.6302,1,0.011111
BTC,iv_rank_6m,skew_25d,0.1718,0.2393,-4.9803,-2.6302,3,0.033333
BTC,iv_rank_6m,skew_25d,0.2393,0.3068,-4.9803,-2.6302,0,0.0
BTC,iv_rank_6m,skew_25d,0.3068,0.3743,-4.9803,-2.6302,0,0.0
BTC,iv_rank_6m,skew_25d,0.3743,0.4418,-4.9803,-2.6302,4,0.044444
BTC,iv_rank_6m,skew_25d,0.4418,0.5093,-4.9803,-2.6302,3,0.033333
BTC,iv_rank_6m,skew_25d,0.5093,0.5768,-4.9803,-2.6302,1,0.011111
BTC,iv_rank_6m,skew_25d,0.5768,0.6443,-4.9803,-2.6302,0,0.0
BTC,iv_rank_6m,skew_25d,-0.0307,0.0368,-2.6302,-0.2801,1,0.011111
BTC,iv_rank_6m,skew_25d,0.0368,0.1043,-2.6302,-0.2801,2,0.022222
BTC,iv_rank_6m,skew_25d,0.1043,0.1718,-2.6302,-0.2801,0,0.0
BTC,iv_rank_6m,skew_25d,0.1718,0.2393,-2.6302,-0.2801,1,0.011111
BTC,iv_rank_6m,skew_25d,0.2393,0.3068,-2.6302,-0.2801,4,0.044444
BTC,iv_rank_6m,skew_25d,0.3068,0.3743,-2.6302,-0.2801,1,0.011111
BTC,iv_rank_6m,skew_25d,0.3743,0.4418,-2.6302,-0.2801,0,0.0
BTC,iv_rank_6m,skew_25d,0.4418,0.5093,-2.6302,-0.2801,0,0.0
BTC,iv_rank_6m,skew_25d,0.5093,0.5768,-2.6302,-0.2801,2,0.022222
BTC,iv_rank_6m,skew_25d,0.5768,0.6443,-2.6302,-0.2801,1,0.011111
BTC,iv_rank_6m,skew_25d,-0.0307,0.0368,-0.2801,2.07,0,0.0
BTC,iv_rank_6m,skew_25d,0.0368,0.1043,-0.2801,2.07,0,0.0
BTC,iv_rank_6m,skew_25d,0.1043,0.1718,-0.2801,2.07,3,0.033333
BTC,iv_rank_6m,skew_25d,0.1718,0.2393,-0.2801,2.07,4,0.044444
BTC,iv_rank_6m,skew_25d,0.2393,0.3068,-0.2801,2.07,3,0.033333
BTC,iv_rank_6m,skew_25d,0.3068,0.3743,-0.2801,2.07,2,0.022222
BTC,iv_rank_6m,skew_25d,0.3743,0.4418,-0.2801,2.07,1,0.011111
BTC,iv_rank_6m,skew_25d,0.4418,0.5093,-0.2801,2.07,4,0.044444
BTC,iv_rank_6m,skew_25d,0.5093,0.5768,-0.2801,2.07,3,0.033333
BTC,iv_rank_6m,skew_25d,0.5768,0.6443,-0.2801,2.07,1,0.011111
BTC,iv_rank_6m,skew_25d,-0.0307,0.0368,2.07,4.4201,0,0.0
BTC,iv_rank_6m,skew_25d,0.0368,0.1043,2.07,4.4201,1,0.011111
BTC,iv_rank_6m,skew_25d,0.1043,0.1718,2.07,4.4201,1,0.011111
BTC,iv_rank_6m,skew_25d,0.1718,0.2393,2.07,4.4201,1,0.011111
BTC,iv_rank_6m,skew_25d,0.2393,0.3068,2.07,4.4201,2,0.022222
BTC,iv_rank_6m,skew_25d,0.3068,0.3743,2.07,4.4201,4,0.044444
BTC,iv_rank_6m,skew_25d,0.3743,0.4418,2.07,4.4201,3,0.033333
BTC,iv_rank_6m,skew_25d,0.4418,0.5093,2.07,4.4201,3,0.033333
BTC,iv_rank_6m,skew_25d,0.5093,0.5768,2.07,4.4201,1,0.011111
BTC,iv_rank_6m,skew_25d,0.5768,0.6443,2.07,4.4201,0,0.0
BTC,iv_rank_6m,skew_25d,-0.0307,0.0368,4.4201,6.7702,0,0.0
BTC,iv_rank_6m,skew_25d,0.0368,0.1043,4.4201,6.7702,0,0.0
BTC,iv_rank_6m,skew_25d,0.1043,0.1718,4.4201,6.7702,1,0.011111
BTC,iv_rank_6m,skew_25d,0.1718,0.2393,4.4201,6.7702,0,0.0
BTC,iv_rank_6m,skew_25d,0.2393,0.3068,4.4201,6.7702,1,0.011111
BTC,iv_rank_6m,skew_25d,0.3068,0.3743,4.4201,6.7702,4,0.044444
BTC,iv_rank_6m,skew_25d,0.3743,0.4418,4.4201,6.7702,5,0.055556
BTC,iv_rank_6m,skew_25d,0.4418,0.5093,4.4201,6.7702,1,0.011111
BTC,iv_rank_6m,skew_25d,0.5093,0.5768,4.4201,6.7702,1,0.011111
BTC,iv_rank_6m,skew_25d,0.5768,0.6443,4.4201,6.7702,0,0.0
BTC,iv_rank_6m,skew_25d,-0.0307,0.0368,6.7702,9.1203,0,0.0
BTC,iv_rank_6m,skew_25d,0.0368,0.1043,6.7702,9.1203,0,0.0
BTC,iv_rank_6m,skew_25d,0.1043,0.1718,6.7702,9.1203,1,0.011111
BTC,iv_rank_6m,skew_25d,0.1718,0.2393,6.7702,9.1203,0,0.0
BTC,iv_rank_6m,skew_25d,0.2393,0.3068,6.7702,9.1203,0,0.0
BTC,iv_rank_6m,skew_25d,0.3068,0.3743,6.7702,9.1203,1,0.011111
BTC,iv_rank_6m,skew_25d,0.3743,0.4418,6.7702,9.1203,0,0.0
BTC,iv_rank_6m,skew_25d,0.4418,0.5093,6.7702,9.1203,2,0.022222
BTC,iv_rank_6m,skew_25d,0.5093,0.5768,6.7702,9.1203,0,0.0
BTC,iv_rank_6m,skew_25d,0.5768,0.6443,6.7702,9.1203,0,0.0
BTC,iv_rank_6m,skew_25d,-0.0307,0.0368,9.1203,11.4704,0,0.0
BTC,iv_rank_6m,skew_25d,0.0368,0.1043,9.1203,11.4704,0,0.0
BTC,iv_rank_6m,skew_25d,0.1043,0.1718,9.1203,11.4704,1,0.011111
BTC,iv_rank_6m,skew_25d,0.1718,0.2393,9.1203,11.4704,1,0.011111
BTC,iv_rank_6m,skew_25d,0.2393,0.3068,9.1203,11.4704,0,0.0
BTC,iv_rank_6m,skew_25d,0.3068,0.3743,9.1203,11.4704,3,0.033333
BTC,iv_rank_6m,skew_25d,0.3743,0.4418,9.1203,11.4704,1,0.011111
BTC,iv_rank_6m,skew_25d,0.4418,0.5093,9.1203,11.4704,1,0.011111
BTC,iv_rank_6m,skew_25d,0.5093,0.5768,9.1203,11.4704,0,0.0
BTC,iv_rank_6m,skew_25d,0.5768,0.6443,9.1203,11.4704,0,0.0
BTC,iv_rank_6m,skew_25d,-0.0307,0.0368,11.4704,13.8205,0,0.0
BTC,iv_rank_6m,skew_25d,0.0368,0.1043,11.4704,13.8205,0,0.0
BTC,iv_rank_6m,skew_25d,0.1043,0.1718,11.4704,13.8205,0,0.0
BTC,iv_rank_6m,skew_25d,0.1718,0.2393,11.4704,13.8205,0,0.0
BTC,iv_rank_6m,skew_25d,0.2393,0.3068,11.4704,13.8205,0,0.0
BTC,iv_rank_6m,skew_25d,0.3068,0.3743,11.4704,13.8205,0,0.0
BTC,iv_rank_6m,skew_25d,0.3743,0.4418,11.4704,13.8205,0,0.0
BTC,iv_rank_6m,skew_25d,0.4418,0.5093,11.4704,13.8205,1,0.011111
BTC,iv_rank_6m,skew_25d,0.5093,0.5768,11.4704,13.8205,0,0.0
BTC,iv_rank_6m,skew_25d,0.5768,0.6443,11.4704,13.8205,0,0.0
