underlying,x_metric,y_metric,x_low,x_high,y_low,y_high,count,occupancy_frac
BTC,iv_rank_6m,term_structure_spread,0.0585,0.1127,-7.9726,-6.2147,0,0.0
BTC,iv_rank_6m,term_structure_spread,0.1127,0.1669,-7.9726,-6.2147,1,0.011111
BTC,iv_rank_6m,term_structure_spread,0.1669,0.2211,-7.9726,-6.2147,1,0.011111
BTC,iv_rank_6m,term_structure_spread,0.2211,0.2752,-7.9726,-6.2147,0,0.0
BTC,iv_rank_6m,term_structure_spread,0.2752,0.3294,-7.9726,-6.2147,0,0.0
BTC,iv_rank_6m,term_structure_spread,0.3294,0.3836,-7.9726,-6.2147,1,0.011111
BTC,iv_rank_6m,term_structure_spread,0.3836,0.4378,-7.9726,-6.2147,0,0.0
BTC,iv_rank_6m,term_structure_spread,0.4378,0.4919,-7.9726,-6.2147,1,0.011111
BTC,iv_rank_6m,term_structure_spread,0.4919,0.5461,-7.9726,-6.2147,0,0.0
BTC,iv_rank_6m,term_structure_spread,0.5461,0.6003,-7.9726,-6.2147,0,0.0
BTC,iv_rank_6m,term_structure_spread,0.0585,0.1127,-6.2147,-4.4568,0,0.0
BTC,iv_rank_6m,term_structure_spread,0.1127,0.1669,-6.2147,-4.4568,0,0.0
BTC,iv_rank_6m,term_structure_spread,0.1669,0.2211,-6.2147,-4.4568,0,0.0
BTC,iv_rank_6m,term_structure_spread,0.2211,0.2752,-6.2147,-4.4568,0,0.0
BTC,iv_rank_6m,term_structure_spread,0.2752,0.3294,-6.2147,-4.4568,3,0.033333
BTC,iv_rank_6m,term_structure_spread,0.3294,0.3836,-6.2147,-4.4568,2,0.022222
BTC,iv_rank_6m,term_structure_spread,0.3836,0.4378,-6.2147,-4.4568,1,0.011111
BTC,iv_rank_6m,term_structure_spread,0.4378,0.4919,-6.2147,-4.4568,0,0.0
BTC,iv_rank_6m,term_structure_spread,0.4919,0.5461,-6.2147,-4.4568,0,0.0
BTC,iv_rank_6m,term_structure_spread,0.5461,0.6003,-6.2147,-4.4568,0,0.0
BTC,iv_rank_6m,term_structure_spread,0.0585,0.1127,-4.4568,-2.699,1,0.011111
BTC,iv_rank_6m,term_structure_spread,0.1127,0.1669,-4.4568,-2.699,0,0.0
BTC,iv_rank_6m,term_structure_spread,0.1669,0.2211,-4.4568,-2.699,2,0.022222
BTC,iv_rank_6m,term_structure_spread,0.2211,0.2752,-4.4568,-2.699,2,0.022222
BTC,iv_rank_6m,term_structure_spread,0.2752,0.3294,-4.4568,-2.699,1,0.011111
BTC,iv_rank_6m,term_structure_spread,0.3294,0.3836,-4.4568,-2.699,1,0.011111
BTC,iv_rank_6m,term_structure_spread,0.3836,0.4378,-4.4568,-2.699,1,0.011111
BTC,iv_rank_6m,term_structure_spread,0.4378,0.4919,-4.4568,-2.699,0,0.0
BTC,iv_rank_6m,term_structure_spread,0.4919,0.5461,-4.4568,-2.699,2,0.022222
BTC,iv_rank_6m,term_structure_spread,0.5461,0.6003,-4.4568,-2.699,0,0.0
BTC,iv_rank_6m,term_structure_spread,0.0585,0.1127,-2.699,-0.9411,0,0.0
BTC,iv_rank_6m,term_structure_spread,0.1127,0.1669,-2.699,-0.9411,0,0.0
BTC,iv_rank_6m,term_structure_spread,0.1669,0.2211,-2.699,-0.9411,1,0.011111
BTC,iv_rank_6m,term_structure_spread,0.2211,0.2752,-2.699,-0.9411,1,0.011111
BTC,iv_rank_6m,term_structure_spread,0.2752,0.3294,-2.699,-0.9411,0,0.0
BTC,iv_rank_6m,term_structure_spread,0.3294,0.3836,-2.699,-0.9411,4,0.044444
BTC,iv_rank_6m,term_structure_spread,0.3836,0.4378,-2.699,-0.9411,0,0.0
BTC,iv_rank_6m,term_structure_spread,0.4378,0.4919,-2.699,-0.9411,1,0.011111
BTC,iv_rank_6m,term_structure_spread,0.4919,0.5461,-2.699,-0.9411,1,0.011111
BTC,iv_rank_6m,term_structure_spread,0.5461,0.6003,-2.699,-0.9411,1,0.011111
BTC,iv_rank_6m,term_structure_spread,0.0585,0.1127,-0.9411,0.8167,0,0.0
BTC,iv_rank_6m,term_structure_spread,0.1127,0.1669,-0.9411,0.8167,3,0.033333
BTC,iv_rank_6m,term_structure_spread,0.1669,0.2211,-0.9411,0.8167,4,0.044444
BTC,iv_rank_6m,term_structure_spread,0.2211,0.2752,-0.9411,0.8167,1,0.011111
BTC,iv_rank_6m,term_structure_spread,0.2752,0.3294,-0.9411,0.8167,1,0.011111
BTC,iv_rank_6m,term_structure_spread,0.3294,0.3836,-0.9411,0.8167,2,0.022222
BTC,iv_rank_6m,term_structure_spread,0.3836,0.4378,-0.9411,0.8167,4,0.044444
BTC,iv_rank_6m,term_structure_spread,0.4378,0.4919,-0.9411,0.8167,5,0.055556
BTC,iv_rank_6m,term_structure_spread,0.4919,0.5461,-0.9411,0.8167,1,0.011111
BTC,iv_rank_6m,term_structure_spread,0.5461,0.6003,-0.9411,0.8167,0,0.0
BTC,iv_rank_6m,term_structure_spread,0.0585,0.1127,0.8167,2.5746,0,0.0
BTC,iv_rank_6m,term_structure_spread,0.1127,0.1669,0.8167,2.5746,1,0.011111
BTC,iv_rank_6m,term_structure_spread,0.1669,0.2211,0.8167,2.5746,2,0.022222
BTC,iv_rank_6m,term_structure_spread,0.2211,0.2752,0.8167,2.5746,4,0.044444
BTC,iv_rank_6m,term_structure_spread,0.2752,0.3294,0.8167,2.5746,1,0.011111
BTC,iv_rank_6m,term_structure_spread,0.3294,0.3836,0.8167,2.5746,0,0.0
BTC,iv_rank_6m,term_structure_spread,0.3836,0.4378,0.8167,2.5746,7,0.077778
BTC,iv_rank_6m,term_structure_spread,0.4378,0.4919,0.8167,2.5746,1,0.011111
BTC,iv_rank_6m,term_structure_spread,0.4919,0.5461,0.8167,2.5746,3,0.033333
BTC,iv_rank_6m,term_structure_spread,0.5461,0.6003,0.8167,2.5746,0,0.0
BTC,iv_rank_6m,term_structure_spread,0.0585,0.1127,2.5746,4.3325,0,0.0
BTC,iv_rank_6m,term_structure_spread,0.1127,0.1669,2.5746,4.3325,2,0.022222
BTC,iv_rank_6m,term_structure_spread,0.1669,0.2211,2.5746,4.3325,1,0.011111
BTC,iv_rank_6m,term_structure_spread,0.2211,0.2752,2.5746,4.3325,0,0.0
BTC,iv_rank_6m,term_structure_spread,0.2752,0.3294,2.5746,4.3325,1,0.011111
BTC,iv_rank_6m,term_structure_spread,0.3294,0.3836,2.5746,4.3325,4,0.044444
BTC,iv_rank_6m,term_structure_spread,0.3836,0.4378,2.5746,4.3325,4,0.044444
BTC,iv_rank_6m,term_structure_spread,0.4378,0.4919,2.5746,4.3325,1,0.011111
BTC,iv_rank_6m,term_structure_spread,0.4919,0.5461,2.5746,4.3325,1,0.011111
BTC,iv_rank_6m,term_structure_spread,0.5461,0.6003,2.5746,4.3325,0,0.0
BTC,iv_rank_6m,term_structure_spread,0.0585,0.1127,4.3325,6.0903,0,0.0
BTC,iv_rank_6m,term_structure_spread,0.1127,0.1669,4.3325,6.0903,0,0.0
BTC,iv_rank_6m,term_structure_spread,0.1669,0.2211,4.3325,6.0903,1,0.011111
BTC,iv_rank_6m,term_structure_spread,0.2211,0.2752,4.3325,6.0903,0,0.0
BTC,iv_rank_6m,term_structure_spread,0.2752,0.3294,4.3325,6.0903,0,0.0
BTC,iv_rank_6m,term_structure_spread,0.3294,0.3836,4.3325,6.0903,1,0.011111
BTC,iv_rank_6m,term_structure_spread,0.3836,0.4378,4.3325,6.0903,2,0.022222
BTC,iv_rank_6m,term_structure_spread,0.4378,0.4919,4.3325,6.0903,0,0.0
BTC,iv_rank_6m,term_structure_spread,0.4919,0.5461,4.3325,6.0903,0,0.0
BTC,iv_rank_6m,term_structure_spread,0.5461,0.6003,4.3325,6.0903,0,0.0
BTC,iv_rank_6m,term_structure_spread,0.0585,0.1127,6.0903,7.8482,0,0.0
BTC,iv_rank_6m,term_structure_spread,0.1127,0.1669,6.0903,7.8482,0,0.0
BTC,iv_rank_6m,term_structure_spread,0.1669,0.2211,6.0903,7.8482,0,0.0
BTC,iv_rank_6m,term_structure_spread,0.2211,0.2752,6.0903,7.8482,0,0.0
BTC,iv_rank_6m,term_structure_spread,0.2752,0.3294,6.0903,7.8482,0,0.0
BTC,iv_rank_6m,term_structure_spread,0.3294,0.3836,6.0903,7.8482,1,0.011111
BTC,iv_rank_6m,term_structure_spread,0.3836,0.4378,6.0903,7.8482,1,0.011111
BTC,iv_rank_6m,term_structure_spread,0.4378,0.4919,6.0903,7.8482,0,0.0
BTC,iv_rank_6m,term_structure_spread,0.4919,0.5461,6.0903,7.8482,0,0.0
BTC,iv_rank_6m,term_structure_spread,0.5461,0.6003,6.0903,7.8482,0,0.0
BTC,iv_rank_6m,term_structure_spread,0.0585,0.1127,7.8482,9.6061,0,0.0
BTC,iv_rank_6m,term_structure_spread,0.1127,0.1669,7.8482,9.6061,0,0.0
BTC,iv_rank_6m,term_structure_spread,0.1669,0.2211,7.8482,9.6061,0,0.0
BTC,iv_rank_6m,term_structure_spread,0.2211,0.2752,7.8482,9.6061,0,0.0
BTC,iv_rank_6m,term_structure_spread,0.2752,0.3294,7.8482,9.6061,0,0.0
BTC,iv_rank_6m,term_structure_spread,0.3294,0.3836,7.8482,9.6061,0,0.0
BTC,iv_rank_6m,term_structure_spread,0.3836,0.4378,7.8482,9.6061,0,0.0
BTC,iv_rank_6m,term_structure_spread,0.4378,0.4919,7.8482,9.6061,1,0.011111
BTC,iv_rank_6m,term_structure_spread,0.4919,0.5461,7.8482,9.6061,0,0.0
BTC,iv_rank_6m,term_structure_spread,0.5461,0.6003,7.8482,9.6061,0,0.0
