underlying,x_metric,y_metric,x_low,x_high,y_low,y_high,count,occupancy_frac
BTC,price_vs_ma200,rsi_14d,-28.6495,-22.003,6.0,14.8,0,0.0
BTC,price_vs_ma200,rsi_14d,-22.003,-15.3566,6.0,14.8,0,0.0
BTC,price_vs_ma200,rsi_14d,-15.3566,-8.7101,6.0,14.8,1,0.011111
BTC,price_vs_ma200,rsi_14d,-8.7101,-2.0637,6.0,14.8,0,0.0
BTC,price_vs_ma200,rsi_14d,-2.0637,4.5827,6.0,14.8,1,0.011111
BTC,price_vs_ma200,rsi_14d,4.5827,11.2292,6.0,14.8,1,0.011111
BTC,price_vs_ma200,rsi_14d,11.2292,17.8756,6.0,14.8,0,0.0
BTC,price_vs_ma200,rsi_14d,17.8756,24.5221,6.0,14.8,1,0.011111
BTC,price_vs_ma200,rsi_14d,24.5221,31.1685,6.0,14.8,0,0.0
BTC,price_vs_ma200,rsi_14d,31.1685,37.8149,6.0,14.8,0,0.0
BTC,price_vs_ma200,rsi_14d,-28.6495,-22.003,14.8,23.6,0,0.0
BTC,price_vs_ma200,rsi_14d,-22.003,-15.3566,14.8,23.6,0,0.0
BTC,price_vs_ma200,rsi_14d,-15.3566,-8.7101,14.8,23.6,1,0.011111
BTC,price_vs_ma200,rsi_14d,-8.7101,-2.0637,14.8,23.6,1,0.011111
BTC,price_vs_ma200,rsi_14d,-2.0637,4.5827,14.8,23.6,0,0.0
BTC,price_vs_ma200,rsi_14d,4.5827,11.2292,14.8,23.6,0,0.0
BTC,price_vs_ma200,rsi_14d,11.2292,17.8756,14.8,23.6,0,0.0
BTC,price_vs_ma200,rsi_14d,17.8756,24.5221,14.8,23.6,0,0.0
BTC,price_vs_ma200,rsi_14d,24.5221,31.1685,14.8,23.6,1,0.011111
BTC,price_vs_ma200,rsi_14d,31.1685,37.8149,14.8,23.6,1,0.011111
BTC,price_vs_ma200,rsi_14d,-28.6495,-22.003,23.6,32.4,0,0.0
BTC,price_vs_ma200,rsi_14d,-22.003,-15.3566,23.6,32.4,2,0.022222
BTC,price_vs_ma200,rsi_14d,-15.3566,-8.7101,23.6,32.4,2,0.022222
BTC,price_vs_ma200,rsi_14d,-8.7101,-2.0637,23.6,32.4,0,0.0
BTC,price_vs_ma200,rsi_14d,-2.0637,4.5827,23.6,32.4,2,0.022222
BTC,price_vs_ma200,rsi_14d,4.5827,11.2292,23.6,32.4,3,0.033333
BTC,price_vs_ma200,rsi_14d,11.2292,17.8756,23.6,32.4,4,0.044444
BTC,price_vs_ma200,rsi_14d,17.8756,24.5221,23.6,32.4,0,0.0
BTC,price_vs_ma200,rsi_14d,24.5221,31.1685,23.6,32.4,0,0.0
BTC,price_vs_ma200,rsi_14d,31.1685,37.8149,23.6,32.4,0,0.0
BTC,price_vs_ma200,rsi_14d,-28.6495,-22.003,32.4,41.2,1,0.011111
BTC,price_vs_ma200,rsi_14d,-22.003,-15.3566,32.4,41.2,0,0.0
BTC,price_vs_ma200,rsi_14d,-15.3566,-8.7101,32.4,41.2,0,0.0
BTC,price_vs_ma200,rsi_14d,-8.7101,-2.0637,32.4,41.2,0,0.0
BTC,price_vs_ma200,rsi_14d,-2.0637,4.5827,32.4,41.2,2,0.022222
BTC,price_vs_ma200,rsi_14d,4.5827,11.2292,32.4,41.2,2,0.022222
BTC,price_vs_ma200,rsi_14d,11.2292,17.8756,32.4,41.2,1,0.011111
BTC,price_vs_ma200,rsi_14d,17.8756,24.5221,32.4,41.2,0,0.0
BTC,price_vs_ma200,rsi_14d,24.5221,31.1685,32.4,41.2,1,0.011111
BTC,price_vs_ma200,rsi_14d,31.1685,37.8149,32.4,41.2,0,0.0
BTC,price_vs_ma200,rsi_14d,-28.6495,-22.003,41.2,50.0,0,0.0
BTC,price_vs_ma200,rsi_14d,-22.003,-15.3566,41.2,50.0,1,0.011111
BTC,price_vs_ma200,rsi_14d,-15.3566,-8.7101,41.2,50.0,2,0.022222
BTC,price_vs_ma200,rsi_14d,-8.7101,-2.0637,41.2,50.0,1,0.011111
BTC,price_vs_ma200,rsi_14d,-2.0637,4.5827,41.2,50.0,1,0.011111
BTC,price_vs_ma200,rsi_14d,4.5827,11.2292,41.2,50.0,2,0.022222
BTC,price_vs_ma200,rsi_14d,11.2292,17.8756,41.2,50.0,4,0.044444
BTC,price_vs_ma200,rsi_14d,17.8756,24.5221,41.2,50.0,1,0.011111
BTC,price_vs_ma200,rsi_14d,24.5221,31.1685,41.2,50.0,1,0.011111
BTC,price_vs_ma200,rsi_14d,31.1685,37.8149,41.2,50.0,0,0.0
BTC,price_vs_ma200,rsi_14d,-28.6495,-22.003,50.0,58.8,0,0.0
BTC,price_vs_ma200,rsi_14d,-22.003,-15.3566,50.0,58.8,1,0.011111
BTC,price_vs_ma200,rsi_14d,-15.3566,-8.7101,50.0,58.8,0,0.0
BTC,price_vs_ma200,rsi_14d,-8.7101,-2.0637,50.0,58.8,5,0.055556
BTC,price_vs_ma200,rsi_14d,-2.0637,4.5827,50.0,58.8,3,0.033333
BTC,price_vs_ma200,rsi_14d,4.5827,11.2292,50.0,58.8,4,0.044444
BTC,price_vs_ma200,rsi_14d,11.2292,17.8756,50.0,58.8,2,0.022222
BTC,price_vs_ma200,rsi_14d,17.8756,24.5221,50.0,58.8,2,0.022222
BTC,price_vs_ma200,rsi_14d,24.5221,31.1685,50.0,58.8,2,0.022222
BTC,price_vs_ma200,rsi_14d,31.1685,37.8149,50.0,58.8,1,0.011111
BTC,price_vs_ma200,rsi_14d,-28.6495,-22.003,58.8,67.6,1,0.011111
BTC,price_vs_ma200,rsi_14d,-22.003,-15.3566,58.8,67.6,1,0.011111
BTC,price_vs_ma200,rsi_14d,-15.3566,-8.7101,58.8,67.6,2,0.022222
BTC,price_vs_ma200,rsi_14d,-8.7101,-2.0637,58.8,67.6,1,0.011111
BTC,price_vs_ma200,rsi_14d,-2.0637,4.5827,58.8,67.6,1,0.011111
BTC,price_vs_ma200,rsi_14d,4.5827,11.2292,58.8,67.6,1,0.011111
BTC,price_vs_ma200,rsi_14d,11.2292,17.8756,58.8,67.6,2,0.022222
BTC,price_vs_ma200,rsi_14d,17.8756,24.5221,58.8,67.6,1,0.011111
BTC,price_vs_ma200,rsi_14d,24.5221,31.1685,58.8,67.6,0,0.0
BTC,price_vs_ma200,rsi_14d,31.1685,37.8149,58.8,67.6,0,0.0
BTC,price_vs_ma200,rsi_14d,-28.6495,-22.003,67.6,76.4,1,0.011111
BTC,price_vs_ma200,rsi_14d,-22.003,-15.3566,67.6,76.4,0,0.0
BTC,price_vs_ma200,rsi_14d,-15.3566,-8.7101,67.6,76.4,1,0.011111
BTC,price_vs_ma200,rsi_14d,-8.7101,-2.0637,67.6,76.4,3,0.033333
BTC,price_vs_ma200,rsi_14d,-2.0637,4.5827,67.6,76.4,1,0.011111
BTC,price_vs_ma200,rsi_14d,4.5827,11.2292,67.6,76.4,1,0.011111
BTC,price_vs_ma200,rsi_14d,11.2292,17.8756,67.6,76.4,1,0.011111
BTC,price_vs_ma200,rsi_14d,17.8756,24.5221,67.6,76.4,0,0.0
BTC,price_vs_ma200,rsi_14d,24.5221,31.1685,67.6,76.4,1,0.011111
BTC,price_vs_ma200,rsi_14d,31.1685,37.8149,67.6,76.4,1,0.011111
BTC,price_vs_ma200,rsi_14d,-28.6495,-22.003,76.4,85.2,0,0.0
BTC,price_vs_ma200,rsi_14d,-22.003,-15.3566,76.4,85.2,0,0.0
BTC,price_vs_ma200,rsi_14d,-15.3566,-8.7101,76.4,85.2,1,0.011111
BTC,price_vs_ma200,rsi_14d,-8.7101,-2.0637,76.4,85.2,1,0.011111
