underlying,x_metric,y_metric,x_low,x_high,y_low,y_high,count,occupancy_frac
BTC,skew_25d,chop_factor_7d,-9.6805,-7.3304,0.3688,0.5063,0,0.0
BTC,skew_25d,chop_factor_7d,-7.3304,-4.9803,0.3688,0.5063,0,0.0
BTC,skew_25d,chop_factor_7d,-4.9803,-2.6302,0.3688,0.5063,2,0.022222
BTC,skew_25d,chop_factor_7d,-2.6302,-0.2801,0.3688,0.5063,2,0.022222
BTC,skew_25d,chop_factor_7d,-0.2801,2.07,0.3688,0.5063,1,0.011111
BTC,skew_25d,chop_factor_7d,2.07,4.4201,0.3688,0.5063,2,0.022222
BTC,skew_25d,chop_factor_7d,4.4201,6.7702,0.3688,0.5063,1,0.011111
BTC,skew_25d,chop_factor_7d,6.7702,9.1203,0.3688,0.5063,0,0.0
BTC,skew_25d,chop_factor_7d,9.1203,11.4704,0.3688,0.5063,0,0.0
BTC,skew_25d,chop_factor_7d,11.4704,13.8205,0.3688,0.5063,0,0.0
BTC,skew_25d,chop_factor_7d,-9.6805,-7.3304,0.5063,0.6438,0,0.0
BTC,skew_25d,chop_factor_7d,-7.3304,-4.9803,0.5063,0.6438,1,0.011111
BTC,skew_25d,chop_factor_7d,-4.9803,-2.6302,0.5063,0.6438,2,0.022222
BTC,skew_25d,chop_factor_7d,-2.6302,-0.2801,0.5063,0.6438,1,0.011111
BTC,skew_25d,chop_factor_7d,-0.2801,2.07,0.5063,0.6438,4,0.044444
BTC,skew_25d,chop_factor_7d,2.07,4.4201,0.5063,0.6438,2,0.022222
BTC,skew_25d,chop_factor_7d,4.4201,6.7702,0.5063,0.6438,1,0.011111
BTC,skew_25d,chop_factor_7d,6.7702,9.1203,0.5063,0.6438,1,0.011111
BTC,skew_25d,chop_factor_7d,9.1203,11.4704,0.5063,0.6438,1,0.011111
BTC,skew_25d,chop_factor_7d,11.4704,13.8205,0.5063,0.6438,0,0.0
BTC,skew_25d,chop_factor_7d,-9.6805,-7.3304,0.6438,0.7814,0,0.0
BTC,skew_25d,chop_factor_7d,-7.3304,-4.9803,0.6438,0.7814,2,0.022222
BTC,skew_25d,chop_factor_7d,-4.9803,-2.6302,0.6438,0.7814,5,0.055556
BTC,skew_25d,chop_factor_7d,-2.6302,-0.2801,0.6438,0.7814,2,0.022222
BTC,skew_25d,chop_factor_7d,-0.2801,2.07,0.6438,0.7814,2,0.022222
BTC,skew_25d,chop_factor_7d,2.07,4.4201,0.6438,0.7814,6,0.066667
BTC,skew_25d,chop_factor_7d,4.4201,6.7702,0.6438,0.7814,3,0.033333
BTC,skew_25d,chop_factor_7d,6.7702,9.1203,0.6438,0.7814,2,0.022222
BTC,skew_25d,chop_factor_7d,9.1203,11.4704,0.6438,0.7814,0,0.0
BTC,skew_25d,chop_factor_7d,11.4704,13.8205,0.6438,0.7814,0,0.0
BTC,skew_25d,chop_factor_7d,-9.6805,-7.3304,0.7814,0.9189,1,0.011111
BTC,skew_25d,chop_factor_7d,-7.3304,-4.9803,0.7814,0.9189,0,0.0
BTC,skew_25d,chop_factor_7d,-4.9803,-2.6302,0.7814,0.9189,0,0.0
BTC,skew_25d,chop_factor_7d,-2.6302,-0.2801,0.7814,0.9189,1,0.011111
BTC,skew_25d,chop_factor_7d,-0.2801,2.07,0.7814,0.9189,5,0.055556
BTC,skew_25d,chop_factor_7d,2.07,4.4201,0.7814,0.9189,3,0.033333
BTC,skew_25d,chop_factor_7d,4.4201,6.7702,0.7814,0.9189,4,0.044444
BTC,skew_25d,chop_factor_7d,6.7702,9.1203,0.7814,0.9189,0,0.0
BTC,skew_25d,chop_factor_7d,9.1203,11.4704,0.7814,0.9189,4,0.044444
BTC,skew_25d,chop_factor_7d,11.4704,13.8205,0.7814,0.9189,1,0.011111
BTC,skew_25d,chop_factor_7d,-9.6805,-7.3304,0.9189,1.0564,0,0.0
BTC,skew_25d,chop_factor_7d,-7.3304,-4.9803,0.9189,1.0564,0,0.0
BTC,skew_25d,chop_factor_7d,-4.9803,-2.6302,0.9189,1.0564,1,0.011111
BTC,skew_25d,chop_factor_7d,-2.6302,-0.2801,0.9189,1.0564,1,0.011111
BTC,skew_25d,chop_factor_7d,-0.2801,2.07,0.9189,1.0564,6,0.066667
BTC,skew_25d,chop_factor_7d,2.07,4.4201,0.9189,1.0564,1,0.011111
BTC,skew_25d,chop_factor_7d,4.4201,6.7702,0.9189,1.0564,1,0.011111
BTC,skew_25d,chop_factor_7d,6.7702,9.1203,0.9189,1.0564,0,0.0
BTC,skew_25d,chop_factor_7d,9.1203,11.4704,0.9189,1.0564,1,0.011111
BTC,skew_25d,chop_factor_7d,11.4704,13.8205,0.9189,1.0564,0,0.0
BTC,skew_25d,chop_factor_7d,-9.6805,-7.3304,1.0564,1.194,0,0.0
BTC,skew_25d,chop_factor_7d,-7.3304,-4.9803,1.0564,1.194,0,0.0
BTC,skew_25d,chop_factor_7d,-4.9803,-2.6302,1.0564,1.194,2,0.022222
BTC,skew_25d,chop_factor_7d,-2.6302,-0.2801,1.0564,1.194,2,0.022222
BTC,skew_25d,chop_factor_7d,-0.2801,2.07,1.0564,1.194,2,0.022222
BTC,skew_25d,chop_factor_7d,2.07,4.4201,1.0564,1.194,0,0.0
BTC,skew_25d,chop_factor_7d,4.4201,6.7702,1.0564,1.194,2,0.022222
BTC,skew_25d,chop_factor_7d,6.7702,9.1203,1.0564,1.194,0,0.0
BTC,skew_25d,chop_factor_7d,9.1203,11.4704,1.0564,1.194,0,0.0
BTC,skew_25d,chop_factor_7d,11.4704,13.8205,1.0564,1.194,0,0.0
BTC,skew_25d,chop_factor_7d,-9.6805,-7.3304,1.194,1.3315,0,0.0
BTC,skew_25d,chop_factor_7d,-7.3304,-4.9803,1.194,1.3315,0,0.0
BTC,skew_25d,chop_factor_7d,-4.9803,-2.6302,1.194,1.3315,0,0.0
BTC,skew_25d,chop_factor_7d,-2.6302,-0.2801,1.194,1.3315,2,0.022222
BTC,skew_25d,chop_factor_7d,-0.2801,2.07,1.194,1.3315,0,0.0
BTC,skew_25d,chop_factor_7d,2.07,4.4201,1.194,1.3315,1,0.011111
BTC,skew_25d,chop_factor_7d,4.4201,6.7702,1.194,1.3315,1,0.011111
BTC,skew_25d,chop_factor_7d,6.7702,9.1203,1.194,1.3315,0,0.0
BTC,skew_25d,chop_factor_7d,9.1203,11.4704,1.194,1.3315,1,0.011111
BTC,skew_25d,chop_factor_7d,11.4704,13.8205,1.194,1.3315,0,0.0
BTC,skew_25d,chop_factor_7d,-9.6805,-7.3304,1.3315,1.469,0,0.0
BTC,skew_25d,chop_factor_7d,-7.3304,-4.9803,1.3315,1.469,0,0.0
BTC,skew_25d,chop_factor_7d,-4.9803,-2.6302,1.3315,1.469,0,0.0
BTC,skew_25d,chop_factor_7d,-2.6302,-0.2801,1.3315,1.469,0,0.0
BTC,skew_25d,chop_factor_7d,-0.2801,2.07,1.3315,1.469,1,0.011111
BTC,skew_25d,chop_factor_7d,2.07,4.4201,1.3315,1.469,1,0.011111
BTC,skew_25d,chop_factor_7d,4.4201,6.7702,1.3315,1.469,0,0.0
BTC,skew_25d,chop_factor_7d,6.7702,9.1203,1.3315,1.469,0,0.0
BTC,skew_25d,chop_factor_7d,9.1203,11.4704,1.3315,1.469,0,0.0
BTC,skew_25d,chop_factor_7d,11.4704,13.8205,1.3315,1.469,0,0.0
BTC,skew_25d,chop_factor_7d,-9.6805,-7.3304,1.469,1.6065,0,0.0
BTC,skew_25d,chop_factor_7d,-7.3304,-4.9803,1.469,1.6065,0,0.0
BTC,skew_25d,chop_factor_7d,-4.9803,-2.6302,1.469,1.6065,0,0.0
BTC,skew_25d,chop_factor_7d,-2.6302,-0.2801,1.469,1.6065,0,0.0
BTC,skew_25d,chop_factor_7d,-0.2801,2.07,1.469,1.6065,0,0.0
BTC,skew_25d,chop_factor_7d,2.07,4.4201,1.469,1.6065,0,0.0
BTC,skew_25d,chop_factor_7d,4.4201,6.7702,1.469,1.6065,0,0.0
BTC,skew_25d,chop_factor_7d,6.7702,9.1203,1.469,1.6065,1,0.011111
BTC,skew_25d,chop_factor_7d,9.1203,11.4704,1.469,1.6065,0,0.0
BTC,skew_25d,chop_factor_7d,11.4704,13.8205,1.469,1.6065,0,0.0
BTC,skew_25d,chop_factor_7d,-9.6805,-7.3304,1.6065,1.7441,0,0.0
BTC,skew_25d,chop_factor_7d,-7.3304,-4.9803,1.6065,1.7441,0,0.0
BTC,skew_25d,chop_factor_7d,-4.9803,-2.6302,1.6065,1.7441,0,0.0
BTC,skew_25d,chop_factor_7d,-2.6302,-0.2801,1.6065,1.7441,1,0.011111
BTC,skew_25d,chop_factor_7d,-0.2801,2.07,1.6065,1.7441,0,0.0
BTC,skew_25d,chop_factor_7d,2.07,4.4201,1.6065,1.7441,0,0.0
BTC,skew_25d,chop_factor_7d,4.4201,6.7702,1.6065,1.7441,0,0.0
BTC,skew_25d,chop_factor_7d,6.7702,9.1203,1.6065,1.7441,0,0.0
BTC,skew_25d,chop_factor_7d,9.1203,11.4704,1.6065,1.7441,0,0.0
BTC,skew_25d,chop_factor_7d,11.4704,13.8205,1.6065,1.7441,0,0.0
