underlying,x_metric,y_metric,x_low,x_high,y_low,y_high,count,occupancy_frac
BTC,skew_25d,price_vs_ma200,-9.6805,-7.3304,-28.6495,-22.003,0,0.0
BTC,skew_25d,price_vs_ma200,-7.3304,-4.9803,-28.6495,-22.003,0,0.0
BTC,skew_25d,price_vs_ma200,-4.9803,-2.6302,-28.6495,-22.003,1,0.011111
BTC,skew_25d,price_vs_ma200,-2.6302,-0.2801,-28.6495,-22.003,2,0.022222
BTC,skew_25d,price_vs_ma200,-0.2801,2.07,-28.6495,-22.003,0,0.0
BTC,skew_25d,price_vs_ma200,2.07,4.4201,-28.6495,-22.003,0,0.0
BTC,skew_25d,price_vs_ma200,4.4201,6.7702,-28.6495,-22.003,0,0.0
BTC,skew_25d,price_vs_ma200,6.7702,9.1203,-28.6495,-22.003,0,0.0
BTC,skew_25d,price_vs_ma200,9.1203,11.4704,-28.6495,-22.003,1,0.011111
BTC,skew_25d,price_vs_ma200,11.4704,13.8205,-28.6495,-22.003,0,0.0
BTC,skew_25d,price_vs_ma200,-9.6805,-7.3304,-22.003,-15.3566,0,0.0
BTC,skew_25d,price_vs_ma200,-7.3304,-4.9803,-22.003,-15.3566,0,0.0
BTC,skew_25d,price_vs_ma200,-4.9803,-2.6302,-22.003,-15.3566,1,0.011111
BTC,skew_25d,price_vs_ma200,-2.6302,-0.2801,-22.003,-15.3566,0,0.0
BTC,skew_25d,price_vs_ma200,-0.2801,2.07,-22.003,-15.3566,2,0.022222
BTC,skew_25d,price_vs_ma200,2.07,4.4201,-22.003,-15.3566,0,0.0
BTC,skew_25d,price_vs_ma200,4.4201,6.7702,-22.003,-15.3566,2,0.022222
BTC,skew_25d,price_vs_ma200,6.7702,9.1203,-22.003,-15.3566,0,0.0
BTC,skew_25d,price_vs_ma200,9.1203,11.4704,-22.003,-15.3566,0,0.0
BTC,skew_25d,price_vs_ma200,11.4704,13.8205,-22.003,-15.3566,0,0.0
BTC,skew_25d,price_vs_ma200,-9.6805,-7.3304,-15.3566,-8.7101,0,0.0
BTC,skew_25d,price_vs_ma200,-7.3304,-4.9803,-15.3566,-8.7101,0,0.0
BTC,skew_25d,price_vs_ma200,-4.9803,-2.6302,-15.3566,-8.7101,3,0.033333
BTC,skew_25d,price_vs_ma200,-2.6302,-0.2801,-15.3566,-8.7101,0,0.0
BTC,skew_25d,price_vs_ma200,-0.2801,2.07,-15.3566,-8.7101,3,0.033333
BTC,skew_25d,price_vs_ma200,2.07,4.4201,-15.3566,-8.7101,1,0.011111
BTC,skew_25d,price_vs_ma200,4.4201,6.7702,-15.3566,-8.7101,0,0.0
BTC,skew_25d,price_vs_ma200,6.7702,9.1203,-15.3566,-8.7101,1,0.011111
