underlying,x_metric,y_metric,x_low,x_high,y_low,y_high,count,occupancy_frac
BTC,skew_25d,rsi_14d,-9.0475,-6.7114,6.0,14.8,0,0.0
BTC,skew_25d,rsi_14d,-6.7114,-4.3752,6.0,14.8,1,0.011111
BTC,skew_25d,rsi_14d,-4.3752,-2.0391,6.0,14.8,0,0.0
BTC,skew_25d,rsi_14d,-2.0391,0.2971,6.0,14.8,0,0.0
BTC,skew_25d,rsi_14d,0.2971,2.6333,6.0,14.8,0,0.0
BTC,skew_25d,rsi_14d,2.6333,4.9694,6.0,14.8,0,0.0
BTC,skew_25d,rsi_14d,4.9694,7.3056,6.0,14.8,3,0.033333
BTC,skew_25d,rsi_14d,7.3056,9.6417,6.0,14.8,0,0.0
BTC,skew_25d,rsi_14d,9.6417,11.9779,6.0,14.8,0,0.0
BTC,skew_25d,rsi_14d,11.9779,14.314,6.0,14.8,0,0.0
BTC,skew_25d,rsi_14d,-9.0475,-6.7114,14.8,23.6,0,0.0
BTC,skew_25d,rsi_14d,-6.7114,-4.3752,14.8,23.6,0,0.0
BTC,skew_25d,rsi_14d,-4.3752,-2.0391,14.8,23.6,0,0.0
BTC,skew_25d,rsi_14d,-2.0391,0.2971,14.8,23.6,0,0.0
BTC,skew_25d,rsi_14d,0.2971,2.6333,14.8,23.6,2,0.022222
BTC,skew_25d,rsi_14d,2.6333,4.9694,14.8,23.6,0,0.0
BTC,skew_25d,rsi_14d,4.9694,7.3056,14.8,23.6,0,0.0
BTC,skew_25d,rsi_14d,7.3056,9.6417,14.8,23.6,0,0.0
BTC,skew_25d,rsi_14d,9.6417,11.9779,14.8,23.6,1,0.011111
BTC,skew_25d,rsi_14d,11.9779,14.314,14.8,23.6,0,0.0
BTC,skew_25d,rsi_14d,-9.0475,-6.7114,23.6,32.4,1,0.011111
BTC,skew_25d,rsi_14d,-6.7114,-4.3752,23.6,32.4,0,0.0
BTC,skew_25d,rsi_14d,-4.3752,-2.0391,23.6,32.4,0,0.0
BTC,skew_25d,rsi_14d,-2.0391,0.2971,23.6,32.4,1,0.011111
BTC,skew_25d,rsi_14d,0.2971,2.6333,23.6,32.4,1,0.011111
BTC,skew_25d,rsi_14d,2.6333,4.9694,23.6,32.4,0,0.0
BTC,skew_25d,rsi_14d,4.9694,7.3056,23.6,32.4,1,0.011111
BTC,skew_25d,rsi_14d,7.3056,9.6417,23.6,32.4,0,0.0
BTC,skew_25d,rsi_14d,9.6417,11.9779,23.6,32.4,0,0.0
BTC,skew_25d,rsi_14d,11.9779,14.314,23.6,32.4,0,0.0
