underlying,x_metric,y_metric,x_low,x_high,y_low,y_high,count,occupancy_frac
BTC,skew_25d,term_structure_spread,-9.0475,-6.7114,-7.9726,-6.2147,0,0.0
BTC,skew_25d,term_structure_spread,-6.7114,-4.3752,-7.9726,-6.2147,0,0.0
BTC,skew_25d,term_structure_spread,-4.3752,-2.0391,-7.9726,-6.2147,1,0.011111
BTC,skew_25d,term_structure_spread,-2.0391,0.2971,-7.9726,-6.2147,0,0.0
BTC,skew_25d,term_structure_spread,0.2971,2.6333,-7.9726,-6.2147,2,0.022222
BTC,skew_25d,term_structure_spread,2.6333,4.9694,-7.9726,-6.2147,0,0.0
BTC,skew_25d,term_structure_spread,4.9694,7.3056,-7.9726,-6.2147,1,0.011111
BTC,skew_25d,term_structure_spread,7.3056,9.6417,-7.9726,-6.2147,0,0.0
BTC,skew_25d,term_structure_spread,9.6417,11.9779,-7.9726,-6.2147,0,0.0
BTC,skew_25d,term_structure_spread,11.9779,14.314,-7.9726,-6.2147,0,0.0
BTC,skew_25d,term_structure_spread,-9.0475,-6.7114,-6.2147,-4.4568,1,0.011111
BTC,skew_25d,term_structure_spread,-6.7114,-4.3752,-6.2147,-4.4568,1,0.011111
BTC,skew_25d,term_structure_spread,-4.3752,-2.0391,-6.2147,-4.4568,0,0.0
BTC,skew_25d,term_structure_spread,-2.0391,0.2971,-6.2147,-4.4568,0,0.0
BTC,skew_25d,term_structure_spread,0.2971,2.6333,-6.2147,-4.4568,2,0.022222
BTC,skew_25d,term_structure_spread,2.6333,4.9694,-6.2147,-4.4568,1,0.011111
BTC,skew_25d,term_structure_spread,4.9694,7.3056,-6.2147,-4.4568,0,0.0
BTC,skew_25d,term_structure_spread,7.3056,9.6417,-6.2147,-4.4568,1,0.011111
BTC,skew_25d,term_structure_spread,9.6417,11.9779,-6.2147,-4.4568,0,0.0
BTC,skew_25d,term_structure_spread,11.9779,14.314,-6.2147,-4.4568,0,0.0
BTC,skew_25d,term_structure_spread,-9.0475,-6.7114,-4.4568,-2.699,0,0.0
BTC,skew_25d,term_structure_spread,-6.7114,-4.3752,-4.4568,-2.699,0,0.0
BTC,skew_25d,term_structure_spread,-4.3752,-2.0391,-4.4568,-2.699,0,0.0
BTC,skew_25d,term_structure_spread,-2.0391,0.2971,-4.4568,-2.699,3,0.033333
BTC,skew_25d,term_structure_spread,0.2971,2.6333,-4.4568,-2.699,3,0.033333
BTC,skew_25d,term_structure_spread,2.6333,4.9694,-4.4568,-2.699,1,0.011111
BTC,skew_25d,term_structure_spread,4.9694,7.3056,-4.4568,-2.699,2,0.022222
BTC,skew_25d,term_structure_spread,7.3056,9.6417,-4.4568,-2.699,0,0.0
BTC,skew_25d,term_structure_spread,9.6417,11.9779,-4.4568,-2.699,1,0.011111
BTC,skew_25d,term_structure_spread,11.9779,14.314,-4.4568,-2.699,0,0.0
BTC,skew_25d,term_structure_spread,-9.0475,-6.7114,-2.699,-0.9411,0,0.0
BTC,skew_25d,term_structure_spread,-6.7114,-4.3752,-2.699,-0.9411,0,0.0
BTC,skew_25d,term_structure_spread,-4.3752,-2.0391,-2.699,-0.9411,1,0.011111
BTC,skew_25d,term_structure_spread,-2.0391,0.2971,-2.699,-0.9411,2,0.022222
BTC,skew_25d,term_structure_spread,0.2971,2.6333,-2.699,-0.9411,0,0.0
BTC,skew_25d,term_structure_spread,2.6333,4.9694,-2.699,-0.9411,2,0.022222
BTC,skew_25d,term_structure_spread,4.9694,7.3056,-2.699,-0.9411,3,0.033333
BTC,skew_25d,term_structure_spread,7.3056,9.6417,-2.699,-0.9411,0,0.0
BTC,skew_25d,term_structure_spread,9.6417,11.9779,-2.699,-0.9411,1,0.011111
BTC,skew_25d,term_structure_spread,11.9779,14.314,-2.699,-0.9411,0,0.0
BTC,skew_25d,term_structure_spread,-9.0475,-6.7114,-0.9411,0.8167,0,0.0
BTC,skew_25d,term_structure_spread,-6.7114,-4.3752,-0.9411,0.8167,0,0.0
BTC,skew_25d,term_structure_spread,-4.3752,-2.0391,-0.9411,0.8167,2,0.022222
BTC,skew_25d,term_structure_spread,-2.0391,0.2971,-0.9411,0.8167,4,0.044444
BTC,skew_25d,term_structure_spread,0.2971,2.6333,-0.9411,0.8167,6,0.066667
BTC,skew_25d,term_structure_spread,2.6333,4.9694,-0.9411,0.8167,3,0.033333
BTC,skew_25d,term_structure_spread,4.9694,7.3056,-0.9411,0.8167,4,0.044444
BTC,skew_25d,term_structure_spread,7.3056,9.6417,-0.9411,0.8167,1,0.011111
BTC,skew_25d,term_structure_spread,9.6417,11.9779,-0.9411,0.8167,0,0.0
BTC,skew_25d,term_structure_spread,11.9779,14.314,-0.9411,0.8167,1,0.011111
BTC,skew_25d,term_structure_spread,-9.0475,-6.7114,0.8167,2.5746,1,0.011111
BTC,skew_25d,term_structure_spread,-6.7114,-4.3752,0.8167,2.5746,1,0.011111
BTC,skew_25d,term_structure_spread,-4.3752,-2.0391,0.8167,2.5746,0,0.0
BTC,skew_25d,term_structure_spread,-2.0391,0.2971,0.8167,2.5746,6,0.066667
BTC,skew_25d,term_structure_spread,0.2971,2.6333,0.8167,2.5746,4,0.044444
BTC,skew_25d,term_structure_spread,2.6333,4.9694,0.8167,2.5746,3,0.033333
BTC,skew_25d,term_structure_spread,4.9694,7.3056,0.8167,2.5746,1,0.011111
BTC,skew_25d,term_structure_spread,7.3056,9.6417,0.8167,2.5746,2,0.022222
BTC,skew_25d,term_structure_spread,9.6417,11.9779,0.8167,2.5746,0,0.0
BTC,skew_25d,term_structure_spread,11.9779,14.314,0.8167,2.5746,1,0.011111
