underlying,x_metric,y_metric,x_low,x_high,y_low,y_high,count,occupancy_frac
BTC,term_structure_spread,chop_factor_7d,-7.9726,-6.2147,0.363,0.4569,0,0.0
BTC,term_structure_spread,chop_factor_7d,-6.2147,-4.4568,0.363,0.4569,0,0.0
BTC,term_structure_spread,chop_factor_7d,-4.4568,-2.699,0.363,0.4569,0,0.0
BTC,term_structure_spread,chop_factor_7d,-2.699,-0.9411,0.363,0.4569,0,0.0
BTC,term_structure_spread,chop_factor_7d,-0.9411,0.8167,0.363,0.4569,0,0.0
BTC,term_structure_spread,chop_factor_7d,0.8167,2.5746,0.363,0.4569,1,0.011111
BTC,term_structure_spread,chop_factor_7d,2.5746,4.3325,0.363,0.4569,1,0.011111
BTC,term_structure_spread,chop_factor_7d,4.3325,6.0903,0.363,0.4569,0,0.0
BTC,term_structure_spread,chop_factor_7d,6.0903,7.8482,0.363,0.4569,0,0.0
BTC,term_structure_spread,chop_factor_7d,7.8482,9.6061,0.363,0.4569,0,0.0
BTC,term_structure_spread,chop_factor_7d,-7.9726,-6.2147,0.4569,0.5507,0,0.0
BTC,term_structure_spread,chop_factor_7d,-6.2147,-4.4568,0.4569,0.5507,0,0.0
BTC,term_structure_spread,chop_factor_7d,-4.4568,-2.699,0.4569,0.5507,1,0.011111
BTC,term_structure_spread,chop_factor_7d,-2.699,-0.9411,0.4569,0.5507,1,0.011111
BTC,term_structure_spread,chop_factor_7d,-0.9411,0.8167,0.4569,0.5507,2,0.022222
BTC,term_structure_spread,chop_factor_7d,0.8167,2.5746,0.4569,0.5507,5,0.055556
BTC,term_structure_spread,chop_factor_7d,2.5746,4.3325,0.4569,0.5507,0,0.0
BTC,term_structure_spread,chop_factor_7d,4.3325,6.0903,0.4569,0.5507,1,0.011111
BTC,term_structure_spread,chop_factor_7d,6.0903,7.8482,0.4569,0.5507,1,0.011111
BTC,term_structure_spread,chop_factor_7d,7.8482,9.6061,0.4569,0.5507,1,0.011111
BTC,term_structure_spread,chop_factor_7d,-7.9726,-6.2147,0.5507,0.6445,1,0.011111
BTC,term_structure_spread,chop_factor_7d,-6.2147,-4.4568,0.5507,0.6445,0,0.0
BTC,term_structure_spread,chop_factor_7d,-4.4568,-2.699,0.5507,0.6445,0,0.0
BTC,term_structure_spread,chop_factor_7d,-2.699,-0.9411,0.5507,0.6445,0,0.0
BTC,term_structure_spread,chop_factor_7d,-0.9411,0.8167,0.5507,0.6445,1,0.011111
BTC,term_structure_spread,chop_factor_7d,0.8167,2.5746,0.5507,0.6445,1,0.011111
BTC,term_structure_spread,chop_factor_7d,2.5746,4.3325,0.5507,0.6445,4,0.044444
BTC,term_structure_spread,chop_factor_7d,4.3325,6.0903,0.5507,0.6445,0,0.0
BTC,term_structure_spread,chop_factor_7d,6.0903,7.8482,0.5507,0.6445,0,0.0
BTC,term_structure_spread,chop_factor_7d,7.8482,9.6061,0.5507,0.6445,0,0.0
BTC,term_structure_spread,chop_factor_7d,-7.9726,-6.2147,0.6445,0.7383,1,0.011111
BTC,term_structure_spread,chop_factor_7d,-6.2147,-4.4568,0.6445,0.7383,2,0.022222
BTC,term_structure_spread,chop_factor_7d,-4.4568,-2.699,0.6445,0.7383,2,0.022222
BTC,term_structure_spread,chop_factor_7d,-2.699,-0.9411,0.6445,0.7383,2,0.022222
BTC,term_structure_spread,chop_factor_7d,-0.9411,0.8167,0.6445,0.7383,4,0.044444
BTC,term_structure_spread,chop_factor_7d,0.8167,2.5746,0.6445,0.7383,4,0.044444
BTC,term_structure_spread,chop_factor_7d,2.5746,4.3325,0.6445,0.7383,5,0.055556
BTC,term_structure_spread,chop_factor_7d,4.3325,6.0903,0.6445,0.7383,1,0.011111
BTC,term_structure_spread,chop_factor_7d,6.0903,7.8482,0.6445,0.7383,1,0.011111
BTC,term_structure_spread,chop_factor_7d,7.8482,9.6061,0.6445,0.7383,0,0.0
BTC,term_structure_spread,chop_factor_7d,-7.9726,-6.2147,0.7383,0.8321,0,0.0
BTC,term_structure_spread,chop_factor_7d,-6.2147,-4.4568,0.7383,0.8321,2,0.022222
BTC,term_structure_spread,chop_factor_7d,-4.4568,-2.699,0.7383,0.8321,2,0.022222
BTC,term_structure_spread,chop_factor_7d,-2.699,-0.9411,0.7383,0.8321,1,0.011111
BTC,term_structure_spread,chop_factor_7d,-0.9411,0.8167,0.7383,0.8321,3,0.033333
BTC,term_structure_spread,chop_factor_7d,0.8167,2.5746,0.7383,0.8321,2,0.022222
BTC,term_structure_spread,chop_factor_7d,2.5746,4.3325,0.7383,0.8321,1,0.011111
BTC,term_structure_spread,chop_factor_7d,4.3325,6.0903,0.7383,0.8321,2,0.022222
BTC,term_structure_spread,chop_factor_7d,6.0903,7.8482,0.7383,0.8321,0,0.0
BTC,term_structure_spread,chop_factor_7d,7.8482,9.6061,0.7383,0.8321,0,0.0
BTC,term_structure_spread,chop_factor_7d,-7.9726,-6.2147,0.8321,0.9259,1,0.011111
BTC,term_structure_spread,chop_factor_7d,-6.2147,-4.4568,0.8321,0.9259,1,0.011111
BTC,term_structure_spread,chop_factor_7d,-4.4568,-2.699,0.8321,0.9259,0,0.0
BTC,term_structure_spread,chop_factor_7d,-2.699,-0.9411,0.8321,0.9259,3,0.033333
BTC,term_structure_spread,chop_factor_7d,-0.9411,0.8167,0.8321,0.9259,5,0.055556
BTC,term_structure_spread,chop_factor_7d,0.8167,2.5746,0.8321,0.9259,2,0.022222
BTC,term_structure_spread,chop_factor_7d,2.5746,4.3325,0.8321,0.9259,1,0.011111
BTC,term_structure_spread,chop_factor_7d,4.3325,6.0903,0.8321,0.9259,0,0.0
BTC,term_structure_spread,chop_factor_7d,6.0903,7.8482,0.8321,0.9259,0,0.0
BTC,term_structure_spread,chop_factor_7d,7.8482,9.6061,0.8321,0.9259,0,0.0
BTC,term_structure_spread,chop_factor_7d,-7.9726,-6.2147,0.9259,1.0197,0,0.0
BTC,term_structure_spread,chop_factor_7d,-6.2147,-4.4568,0.9259,1.0197,1,0.011111
BTC,term_structure_spread,chop_factor_7d,-4.4568,-2.699,0.9259,1.0197,1,0.011111
BTC,term_structure_spread,chop_factor_7d,-2.699,-0.9411,0.9259,1.0197,1,0.011111
BTC,term_structure_spread,chop_factor_7d,-0.9411,0.8167,0.9259,1.0197,2,0.022222
BTC,term_structure_spread,chop_factor_7d,0.8167,2.5746,0.9259,1.0197,1,0.011111
BTC,term_structure_spread,chop_factor_7d,2.5746,4.3325,0.9259,1.0197,1,0.011111
BTC,term_structure_spread,chop_factor_7d,4.3325,6.0903,0.9259,1.0197,0,0.0
BTC,term_structure_spread,chop_factor_7d,6.0903,7.8482,0.9259,1.0197,0,0.0
BTC,term_structure_spread,chop_factor_7d,7.8482,9.6061,0.9259,1.0197,0,0.0
BTC,term_structure_spread,chop_factor_7d,-7.9726,-6.2147,1.0197,1.1135,0,0.0
BTC,term_structure_spread,chop_factor_7d,-6.2147,-4.4568,1.0197,1.1135,0,0.0
BTC,term_structure_spread,chop_factor_7d,-4.4568,-2.699,1.0197,1.1135,4,0.044444
BTC,term_structure_spread,chop_factor_7d,-2.699,-0.9411,1.0197,1.1135,1,0.011111
BTC,term_structure_spread,chop_factor_7d,-0.9411,0.8167,1.0197,1.1135,1,0.011111
BTC,term_structure_spread,chop_factor_7d,0.8167,2.5746,1.0197,1.1135,3,0.033333
BTC,term_structure_spread,chop_factor_7d,2.5746,4.3325,1.0197,1.1135,0,0.0
BTC,term_structure_spread,chop_factor_7d,4.3325,6.0903,1.0197,1.1135,0,0.0
BTC,term_structure_spread,chop_factor_7d,6.0903,7.8482,1.0197,1.1135,0,0.0
BTC,term_structure_spread,chop_factor_7d,7.8482,9.6061,1.0197,1.1135,0,0.0
BTC,term_structure_spread,chop_factor_7d,-7.9726,-6.2147,1.1135,1.2073,0,0.0
BTC,term_structure_spread,chop_factor_7d,-6.2147,-4.4568,1.1135,1.2073,0,0.0
BTC,term_structure_spread,chop_factor_7d,-4.4568,-2.699,1.1135,1.2073,0,0.0
BTC,term_structure_spread,chop_factor_7d,-2.699,-0.9411,1.1135,1.2073,0,0.0
BTC,term_structure_spread,chop_factor_7d,-0.9411,0.8167,1.1135,1.2073,3,0.033333
BTC,term_structure_spread,chop_factor_7d,0.8167,2.5746,1.1135,1.2073,0,0.0
BTC,term_structure_spread,chop_factor_7d,2.5746,4.3325,1.1135,1.2073,1,0.011111
BTC,term_structure_spread,chop_factor_7d,4.3325,6.0903,1.1135,1.2073,0,0.0
BTC,term_structure_spread,chop_factor_7d,6.0903,7.8482,1.1135,1.2073,0,0.0
BTC,term_structure_spread,chop_factor_7d,7.8482,9.6061,1.1135,1.2073,0,0.0
BTC,term_structure_spread,chop_factor_7d,-7.9726,-6.2147,1.2073,1.3011,1,0.011111
BTC,term_structure_spread,chop_factor_7d,-6.2147,-4.4568,1.2073,1.3011,0,0.0
BTC,term_structure_spread,chop_factor_7d,-4.4568,-2.699,1.2073,1.3011,0,0.0
BTC,term_structure_spread,chop_factor_7d,-2.699,-0.9411,1.2073,1.3011,0,0.0
BTC,term_structure_spread,chop_factor_7d,-0.9411,0.8167,1.2073,1.3011,0,0.0
BTC,term_structure_spread,chop_factor_7d,0.8167,2.5746,1.2073,1.3011,0,0.0
BTC,term_structure_spread,chop_factor_7d,2.5746,4.3325,1.2073,1.3011,0,0.0
BTC,term_structure_spread,chop_factor_7d,4.3325,6.0903,1.2073,1.3011,0,0.0
BTC,term_structure_spread,chop_factor_7d,6.0903,7.8482,1.2073,1.3011,0,0.0
BTC,term_structure_spread,chop_factor_7d,7.8482,9.6061,1.2073,1.3011,0,0.0
