underlying,x_metric,y_metric,x_low,x_high,y_low,y_high,count,occupancy_frac
BTC,term_structure_spread,price_vs_ma200,-7.9726,-6.2147,-33.535,-26.3327,0,0.0
BTC,term_structure_spread,price_vs_ma200,-6.2147,-4.4568,-33.535,-26.3327,1,0.011111
BTC,term_structure_spread,price_vs_ma200,-4.4568,-2.699,-33.535,-26.3327,0,0.0
BTC,term_structure_spread,price_vs_ma200,-2.699,-0.9411,-33.535,-26.3327,0,0.0
BTC,term_structure_spread,price_vs_ma200,-0.9411,0.8167,-33.535,-26.3327,0,0.0
BTC,term_structure_spread,price_vs_ma200,0.8167,2.5746,-33.535,-26.3327,0,0.0
BTC,term_structure_spread,price_vs_ma200,2.5746,4.3325,-33.535,-26.3327,1,0.011111
BTC,term_structure_spread,price_vs_ma200,4.3325,6.0903,-33.535,-26.3327,0,0.0
BTC,term_structure_spread,price_vs_ma200,6.0903,7.8482,-33.535,-26.3327,1,0.011111
BTC,term_structure_spread,price_vs_ma200,7.8482,9.6061,-33.535,-26.3327,0,0.0
BTC,term_structure_spread,price_vs_ma200,-7.9726,-6.2147,-26.3327,-19.1304,0,0.0
BTC,term_structure_spread,price_vs_ma200,-6.2147,-4.4568,-26.3327,-19.1304,0,0.0
BTC,term_structure_spread,price_vs_ma200,-4.4568,-2.699,-26.3327,-19.1304,1,0.011111
BTC,term_structure_spread,price_vs_ma200,-2.699,-0.9411,-26.3327,-19.1304,1,0.011111
BTC,term_structure_spread,price_vs_ma200,-0.9411,0.8167,-26.3327,-19.1304,2,0.022222
BTC,term_structure_spread,price_vs_ma200,0.8167,2.5746,-26.3327,-19.1304,0,0.0
BTC,term_structure_spread,price_vs_ma200,2.5746,4.3325,-26.3327,-19.1304,0,0.0
BTC,term_structure_spread,price_vs_ma200,4.3325,6.0903,-26.3327,-19.1304,0,0.0
BTC,term_structure_spread,price_vs_ma200,6.0903,7.8482,-26.3327,-19.1304,0,0.0
BTC,term_structure_spread,price_vs_ma200,7.8482,9.6061,-26.3327,-19.1304,0,0.0
BTC,term_structure_spread,price_vs_ma200,-7.9726,-6.2147,-19.1304,-11.9281,1,0.011111
BTC,term_structure_spread,price_vs_ma200,-6.2147,-4.4568,-19.1304,-11.9281,1,0.011111
BTC,term_structure_spread,price_vs_ma200,-4.4568,-2.699,-19.1304,-11.9281,0,0.0
BTC,term_structure_spread,price_vs_ma200,-2.699,-0.9411,-19.1304,-11.9281,0,0.0
BTC,term_structure_spread,price_vs_ma200,-0.9411,0.8167,-19.1304,-11.9281,2,0.022222
BTC,term_structure_spread,price_vs_ma200,0.8167,2.5746,-19.1304,-11.9281,3,0.033333
BTC,term_structure_spread,price_vs_ma200,2.5746,4.3325,-19.1304,-11.9281,1,0.011111
BTC,term_structure_spread,price_vs_ma200,4.3325,6.0903,-19.1304,-11.9281,1,0.011111
BTC,term_structure_spread,price_vs_ma200,6.0903,7.8482,-19.1304,-11.9281,0,0.0
BTC,term_structure_spread,price_vs_ma200,7.8482,9.6061,-19.1304,-11.9281,0,0.0
BTC,term_structure_spread,price_vs_ma200,-7.9726,-6.2147,-11.9281,-4.7258,1,0.011111
BTC,term_structure_spread,price_vs_ma200,-6.2147,-4.4568,-11.9281,-4.7258,0,0.0
BTC,term_structure_spread,price_vs_ma200,-4.4568,-2.699,-11.9281,-4.7258,1,0.011111
BTC,term_structure_spread,price_vs_ma200,-2.699,-0.9411,-11.9281,-4.7258,4,0.044444
