underlying,x_metric,y_metric,x_low,x_high,y_low,y_high,count,occupancy_frac
BTC,term_structure_spread,rsi_14d,-7.9726,-6.2147,6.0,14.8,0,0.0
BTC,term_structure_spread,rsi_14d,-6.2147,-4.4568,6.0,14.8,0,0.0
BTC,term_structure_spread,rsi_14d,-4.4568,-2.699,6.0,14.8,0,0.0
BTC,term_structure_spread,rsi_14d,-2.699,-0.9411,6.0,14.8,0,0.0
BTC,term_structure_spread,rsi_14d,-0.9411,0.8167,6.0,14.8,0,0.0
BTC,term_structure_spread,rsi_14d,0.8167,2.5746,6.0,14.8,2,0.022222
BTC,term_structure_spread,rsi_14d,2.5746,4.3325,6.0,14.8,2,0.022222
BTC,term_structure_spread,rsi_14d,4.3325,6.0903,6.0,14.8,0,0.0
BTC,term_structure_spread,rsi_14d,6.0903,7.8482,6.0,14.8,0,0.0
BTC,term_structure_spread,rsi_14d,7.8482,9.6061,6.0,14.8,0,0.0
BTC,term_structure_spread,rsi_14d,-7.9726,-6.2147,14.8,23.6,1,0.011111
BTC,term_structure_spread,rsi_14d,-6.2147,-4.4568,14.8,23.6,0,0.0
BTC,term_structure_spread,rsi_14d,-4.4568,-2.699,14.8,23.6,1,0.011111
BTC,term_structure_spread,rsi_14d,-2.699,-0.9411,14.8,23.6,0,0.0
BTC,term_structure_spread,rsi_14d,-0.9411,0.8167,14.8,23.6,1,0.011111
BTC,term_structure_spread,rsi_14d,0.8167,2.5746,14.8,23.6,0,0.0
BTC,term_structure_spread,rsi_14d,2.5746,4.3325,14.8,23.6,0,0.0
BTC,term_structure_spread,rsi_14d,4.3325,6.0903,14.8,23.6,0,0.0
BTC,term_structure_spread,rsi_14d,6.0903,7.8482,14.8,23.6,0,0.0
BTC,term_structure_spread,rsi_14d,7.8482,9.6061,14.8,23.6,0,0.0
BTC,term_structure_spread,rsi_14d,-7.9726,-6.2147,23.6,32.4,0,0.0
BTC,term_structure_spread,rsi_14d,-6.2147,-4.4568,23.6,32.4,0,0.0
BTC,term_structure_spread,rsi_14d,-4.4568,-2.699,23.6,32.4,1,0.011111
BTC,term_structure_spread,rsi_14d,-2.699,-0.9411,23.6,32.4,0,0.0
BTC,term_structure_spread,rsi_14d,-0.9411,0.8167,23.6,32.4,1,0.011111
BTC,term_structure_spread,rsi_14d,0.8167,2.5746,23.6,32.4,2,0.022222
BTC,term_structure_spread,rsi_14d,2.5746,4.3325,23.6,32.4,0,0.0
BTC,term_structure_spread,rsi_14d,4.3325,6.0903,23.6,32.4,0,0.0
BTC,term_structure_spread,rsi_14d,6.0903,7.8482,23.6,32.4,0,0.0
BTC,term_structure_spread,rsi_14d,7.8482,9.6061,23.6,32.4,0,0.0
BTC,term_structure_spread,rsi_14d,-7.9726,-6.2147,32.4,41.2,0,0.0
BTC,term_structure_spread,rsi_14d,-6.2147,-4.4568,32.4,41.2,2,0.022222
BTC,term_structure_spread,rsi_14d,-4.4568,-2.699,32.4,41.2,1,0.011111
BTC,term_structure_spread,rsi_14d,-2.699,-0.9411,32.4,41.2,1,0.011111
BTC,term_structure_spread,rsi_14d,-0.9411,0.8167,32.4,41.2,1,0.011111
BTC,term_structure_spread,rsi_14d,0.8167,2.5746,32.4,41.2,2,0.022222
BTC,term_structure_spread,rsi_14d,2.5746,4.3325,32.4,41.2,3,0.033333
BTC,term_structure_spread,rsi_14d,4.3325,6.0903,32.4,41.2,0,0.0
BTC,term_structure_spread,rsi_14d,6.0903,7.8482,32.4,41.2,1,0.011111
BTC,term_structure_spread,rsi_14d,7.8482,9.6061,32.4,41.2,0,0.0
BTC,term_structure_spread,rsi_14d,-7.9726,-6.2147,41.2,50.0,1,0.011111
BTC,term_structure_spread,rsi_14d,-6.2147,-4.4568,41.2,50.0,1,0.011111
BTC,term_structure_spread,rsi_14d,-4.4568,-2.699,41.2,50.0,1,0.011111
BTC,term_structure_spread,rsi_14d,-2.699,-0.9411,41.2,50.0,3,0.033333
BTC,term_structure_spread,rsi_14d,-0.9411,0.8167,41.2,50.0,4,0.044444
BTC,term_structure_spread,rsi_14d,0.8167,2.5746,41.2,50.0,3,0.033333
BTC,term_structure_spread,rsi_14d,2.5746,4.3325,41.2,50.0,2,0.022222
BTC,term_structure_spread,rsi_14d,4.3325,6.0903,41.2,50.0,2,0.022222
BTC,term_structure_spread,rsi_14d,6.0903,7.8482,41.2,50.0,0,0.0
BTC,term_structure_spread,rsi_14d,7.8482,9.6061,41.2,50.0,0,0.0
BTC,term_structure_spread,rsi_14d,-7.9726,-6.2147,50.0,58.8,1,0.011111
BTC,term_structure_spread,rsi_14d,-6.2147,-4.4568,50.0,58.8,0,0.0
BTC,term_structure_spread,rsi_14d,-4.4568,-2.699,50.0,58.8,3,0.033333
BTC,term_structure_spread,rsi_14d,-2.699,-0.9411,50.0,58.8,0,0.0
BTC,term_structure_spread,rsi_14d,-0.9411,0.8167,50.0,58.8,4,0.044444
BTC,term_structure_spread,rsi_14d,0.8167,2.5746,50.0,58.8,2,0.022222
BTC,term_structure_spread,rsi_14d,2.5746,4.3325,50.0,58.8,2,0.022222
BTC,term_structure_spread,rsi_14d,4.3325,6.0903,50.0,58.8,1,0.011111
BTC,term_structure_spread,rsi_14d,6.0903,7.8482,50.0,58.8,0,0.0
BTC,term_structure_spread,rsi_14d,7.8482,9.6061,50.0,58.8,0,0.0
BTC,term_structure_spread,rsi_14d,-7.9726,-6.2147,58.8,67.6,0,0.0
BTC,term_structure_spread,rsi_14d,-6.2147,-4.4568,58.8,67.6,0,0.0
BTC,term_structure_spread,rsi_14d,-4.4568,-2.699,58.8,67.6,0,0.0
BTC,term_structure_spread,rsi_14d,-2.699,-0.9411,58.8,67.6,1,0.011111
BTC,term_structure_spread,rsi_14d,-0.9411,0.8167,58.8,67.6,5,0.055556
BTC,term_structure_spread,rsi_14d,0.8167,2.5746,58.8,67.6,4,0.044444
BTC,term_structure_spread,rsi_14d,2.5746,4.3325,58.8,67.6,1,0.011111
BTC,term_structure_spread,rsi_14d,4.3325,6.0903,58.8,67.6,0,0.0
BTC,term_structure_spread,rsi_14d,6.0903,7.8482,58.8,67.6,1,0.011111
BTC,term_structure_spread,rsi_14d,7.8482,9.6061,58.8,67.6,0,0.0
BTC,term_structure_spread,rsi_14d,-7.9726,-6.2147,67.6,76.4,1,0.011111
BTC,term_structure_spread,rsi_14d,-6.2147,-4.4568,67.6,76.4,3,0.033333
BTC,term_structure_spread,rsi_14d,-4.4568,-2.699,67.6,76.4,1,0.011111
BTC,term_structure_spread,rsi_14d,-2.699,-0.9411,67.6,76.4,2,0.022222
BTC,term_structure_spread,rsi_14d,-0.9411,0.8167,67.6,76.4,3,0.033333
BTC,term_structure_spread,rsi_14d,0.8167,2.5746,67.6,76.4,2,0.022222
BTC,term_structure_spread,rsi_14d,2.5746,4.3325,67.6,76.4,3,0.033333
BTC,term_structure_spread,rsi_14d,4.3325,6.0903,67.6,76.4,0,0.0
BTC,term_structure_spread,rsi_14d,6.0903,7.8482,67.6,76.4,0,0.0
BTC,term_structure_spread,rsi_14d,7.8482,9.6061,67.6,76.4,1,0.011111
BTC,term_structure_spread,rsi_14d,-7.9726,-6.2147,76.4,85.2,0,0.0
BTC,term_structure_spread,rsi_14d,-6.2147,-4.4568,76.4,85.2,0,0.0
BTC,term_structure_spread,rsi_14d,-4.4568,-2.699,76.4,85.2,2,0.022222
BTC,term_structure_spread,rsi_14d,-2.699,-0.9411,76.4,85.2,1,0.011111
BTC,term_structure_spread,rsi_14d,-0.9411,0.8167,76.4,85.2,1,0.011111
BTC,term_structure_spread,rsi_14d,0.8167,2.5746,76.4,85.2,1,0.011111
BTC,term_structure_spread,rsi_14d,2.5746,4.3325,76.4,85.2,1,0.011111
BTC,term_structure_spread,rsi_14d,4.3325,6.0903,76.4,85.2,1,0.011111
BTC,term_structure_spread,rsi_14d,6.0903,7.8482,76.4,85.2,0,0.0
BTC,term_structure_spread,rsi_14d,7.8482,9.6061,76.4,85.2,0,0.0
BTC,term_structure_spread,rsi_14d,-7.9726,-6.2147,85.2,94.0,0,0.0
BTC,term_structure_spread,rsi_14d,-6.2147,-4.4568,85.2,94.0,0,0.0
BTC,term_structure_spread,rsi_14d,-4.4568,-2.699,85.2,94.0,0,0.0
BTC,term_structure_spread,rsi_14d,-2.699,-0.9411,85.2,94.0,1,0.011111
BTC,term_structure_spread,rsi_14d,-0.9411,0.8167,85.2,94.0,1,0.011111
BTC,term_structure_spread,rsi_14d,0.8167,2.5746,85.2,94.0,1,0.011111
BTC,term_structure_spread,rsi_14d,2.5746,4.3325,85.2,94.0,0,0.0
BTC,term_structure_spread,rsi_14d,4.3325,6.0903,85.2,94.0,0,0.0
BTC,term_structure_spread,rsi_14d,6.0903,7.8482,85.2,94.0,0,0.0
BTC,term_structure_spread,rsi_14d,7.8482,9.6061,85.2,94.0,0,0.0
