underlying,x_metric,y_metric,x_low,x_high,y_low,y_high,count,occupancy_frac
BTC,vrp_30d,adx_14d,-23.1624,-16.2758,7.5,13.0,0,0.0
BTC,vrp_30d,adx_14d,-16.2758,-9.3892,7.5,13.0,0,0.0
BTC,vrp_30d,adx_14d,-9.3892,-2.5026,7.5,13.0,0,0.0
BTC,vrp_30d,adx_14d,-2.5026,4.384,7.5,13.0,1,0.011111
BTC,vrp_30d,adx_14d,4.384,11.2706,7.5,13.0,0,0.0
BTC,vrp_30d,adx_14d,11.2706,18.1572,7.5,13.0,3,0.033333
BTC,vrp_30d,adx_14d,18.1572,25.0438,7.5,13.0,4,0.044444
BTC,vrp_30d,adx_14d,25.0438,31.9304,7.5,13.0,4,0.044444
BTC,vrp_30d,adx_14d,31.9304,38.817,7.5,13.0,2,0.022222
BTC,vrp_30d,adx_14d,38.817,45.7036,7.5,13.0,0,0.0
BTC,vrp_30d,adx_14d,-23.1624,-16.2758,13.0,18.5,0,0.0
BTC,vrp_30d,adx_14d,-16.2758,-9.3892,13.0,18.5,0,0.0
BTC,vrp_30d,adx_14d,-9.3892,-2.5026,13.0,18.5,1,0.011111
BTC,vrp_30d,adx_14d,-2.5026,4.384,13.0,18.5,0,0.0
BTC,vrp_30d,adx_14d,4.384,11.2706,13.0,18.5,0,0.0
BTC,vrp_30d,adx_14d,11.2706,18.1572,13.0,18.5,5,0.055556
BTC,vrp_30d,adx_14d,18.1572,25.0438,13.0,18.5,3,0.033333
BTC,vrp_30d,adx_14d,25.0438,31.9304,13.0,18.5,0,0.0
BTC,vrp_30d,adx_14d,31.9304,38.817,13.0,18.5,0,0.0
BTC,vrp_30d,adx_14d,38.817,45.7036,13.0,18.5,1,0.011111
BTC,vrp_30d,adx_14d,-23.1624,-16.2758,18.5,24.0,1,0.011111
BTC,vrp_30d,adx_14d,-16.2758,-9.3892,18.5,24.0,1,0.011111
BTC,vrp_30d,adx_14d,-9.3892,-2.5026,18.5,24.0,5,0.055556
BTC,vrp_30d,adx_14d,-2.5026,4.384,18.5,24.0,1,0.011111
BTC,vrp_30d,adx_14d,4.384,11.2706,18.5,24.0,2,0.022222
BTC,vrp_30d,adx_14d,11.2706,18.1572,18.5,24.0,3,0.033333
BTC,vrp_30d,adx_14d,18.1572,25.0438,18.5,24.0,2,0.022222
BTC,vrp_30d,adx_14d,25.0438,31.9304,18.5,24.0,4,0.044444
BTC,vrp_30d,adx_14d,31.9304,38.817,18.5,24.0,1,0.011111
BTC,vrp_30d,adx_14d,38.817,45.7036,18.5,24.0,0,0.0
BTC,vrp_30d,adx_14d,-23.1624,-16.2758,24.0,29.5,0,0.0
BTC,vrp_30d,adx_14d,-16.2758,-9.3892,24.0,29.5,0,0.0
BTC,vrp_30d,adx_14d,-9.3892,-2.5026,24.0,29.5,0,0.0
BTC,vrp_30d,adx_14d,-2.5026,4.384,24.0,29.5,0,0.0
BTC,vrp_30d,adx_14d,4.384,11.2706,24.0,29.5,4,0.044444
BTC,vrp_30d,adx_14d,11.2706,18.1572,24.0,29.5,1,0.011111
BTC,vrp_30d,adx_14d,18.1572,25.0438,24.0,29.5,3,0.033333
BTC,vrp_30d,adx_14d,25.0438,31.9304,24.0,29.5,2,0.022222
BTC,vrp_30d,adx_14d,31.9304,38.817,24.0,29.5,0,0.0
