underlying,x_metric,y_metric,x_low,x_high,y_low,y_high,count,occupancy_frac
BTC,vrp_30d,chop_factor_7d,-14.1879,-8.6285,0.363,0.4569,0,0.0
BTC,vrp_30d,chop_factor_7d,-8.6285,-3.0691,0.363,0.4569,0,0.0
BTC,vrp_30d,chop_factor_7d,-3.0691,2.4904,0.363,0.4569,0,0.0
BTC,vrp_30d,chop_factor_7d,2.4904,8.0498,0.363,0.4569,0,0.0
BTC,vrp_30d,chop_factor_7d,8.0498,13.6092,0.363,0.4569,0,0.0
BTC,vrp_30d,chop_factor_7d,13.6092,19.1687,0.363,0.4569,0,0.0
BTC,vrp_30d,chop_factor_7d,19.1687,24.7281,0.363,0.4569,0,0.0
BTC,vrp_30d,chop_factor_7d,24.7281,30.2875,0.363,0.4569,1,0.011111
BTC,vrp_30d,chop_factor_7d,30.2875,35.8469,0.363,0.4569,1,0.011111
BTC,vrp_30d,chop_factor_7d,35.8469,41.4064,0.363,0.4569,0,0.0
BTC,vrp_30d,chop_factor_7d,-14.1879,-8.6285,0.4569,0.5507,0,0.0
BTC,vrp_30d,chop_factor_7d,-8.6285,-3.0691,0.4569,0.5507,0,0.0
BTC,vrp_30d,chop_factor_7d,-3.0691,2.4904,0.4569,0.5507,0,0.0
BTC,vrp_30d,chop_factor_7d,2.4904,8.0498,0.4569,0.5507,0,0.0
BTC,vrp_30d,chop_factor_7d,8.0498,13.6092,0.4569,0.5507,0,0.0
BTC,vrp_30d,chop_factor_7d,13.6092,19.1687,0.4569,0.5507,0,0.0
BTC,vrp_30d,chop_factor_7d,19.1687,24.7281,0.4569,0.5507,1,0.011111
BTC,vrp_30d,chop_factor_7d,24.7281,30.2875,0.4569,0.5507,6,0.066667
BTC,vrp_30d,chop_factor_7d,30.2875,35.8469,0.4569,0.5507,4,0.044444
BTC,vrp_30d,chop_factor_7d,35.8469,41.4064,0.4569,0.5507,1,0.011111
BTC,vrp_30d,chop_factor_7d,-14.1879,-8.6285,0.5507,0.6445,0,0.0
BTC,vrp_30d,chop_factor_7d,-8.6285,-3.0691,0.5507,0.6445,0,0.0
BTC,vrp_30d,chop_factor_7d,-3.0691,2.4904,0.5507,0.6445,0,0.0
BTC,vrp_30d,chop_factor_7d,2.4904,8.0498,0.5507,0.6445,0,0.0
BTC,vrp_30d,chop_factor_7d,8.0498,13.6092,0.5507,0.6445,0,0.0
BTC,vrp_30d,chop_factor_7d,13.6092,19.1687,0.5507,0.6445,3,0.033333
BTC,vrp_30d,chop_factor_7d,19.1687,24.7281,0.5507,0.6445,2,0.022222
BTC,vrp_30d,chop_factor_7d,24.7281,30.2875,0.5507,0.6445,2,0.022222
BTC,vrp_30d,chop_factor_7d,30.2875,35.8469,0.5507,0.6445,0,0.0
BTC,vrp_30d,chop_factor_7d,35.8469,41.4064,0.5507,0.6445,0,0.0
BTC,vrp_30d,chop_factor_7d,-14.1879,-8.6285,0.6445,0.7383,0,0.0
BTC,vrp_30d,chop_factor_7d,-8.6285,-3.0691,0.6445,0.7383,0,0.0
BTC,vrp_30d,chop_factor_7d,-3.0691,2.4904,0.6445,0.7383,0,0.0
BTC,vrp_30d,chop_factor_7d,2.4904,8.0498,0.6445,0.7383,1,0.011111
BTC,vrp_30d,chop_factor_7d,8.0498,13.6092,0.6445,0.7383,7,0.077778
BTC,vrp_30d,chop_factor_7d,13.6092,19.1687,0.6445,0.7383,5,0.055556
BTC,vrp_30d,chop_factor_7d,19.1687,24.7281,0.6445,0.7383,7,0.077778
BTC,vrp_30d,chop_factor_7d,24.7281,30.2875,0.6445,0.7383,2,0.022222
BTC,vrp_30d,chop_factor_7d,30.2875,35.8469,0.6445,0.7383,0,0.0
BTC,vrp_30d,chop_factor_7d,35.8469,41.4064,0.6445,0.7383,0,0.0
BTC,vrp_30d,chop_factor_7d,-14.1879,-8.6285,0.7383,0.8321,0,0.0
BTC,vrp_30d,chop_factor_7d,-8.6285,-3.0691,0.7383,0.8321,0,0.0
BTC,vrp_30d,chop_factor_7d,-3.0691,2.4904,0.7383,0.8321,2,0.022222
BTC,vrp_30d,chop_factor_7d,2.4904,8.0498,0.7383,0.8321,5,0.055556
BTC,vrp_30d,chop_factor_7d,8.0498,13.6092,0.7383,0.8321,4,0.044444
BTC,vrp_30d,chop_factor_7d,13.6092,19.1687,0.7383,0.8321,2,0.022222
BTC,vrp_30d,chop_factor_7d,19.1687,24.7281,0.7383,0.8321,0,0.0
BTC,vrp_30d,chop_factor_7d,24.7281,30.2875,0.7383,0.8321,0,0.0
BTC,vrp_30d,chop_factor_7d,30.2875,35.8469,0.7383,0.8321,0,0.0
BTC,vrp_30d,chop_factor_7d,35.8469,41.4064,0.7383,0.8321,0,0.0
BTC,vrp_30d,chop_factor_7d,-14.1879,-8.6285,0.8321,0.9259,0,0.0
BTC,vrp_30d,chop_factor_7d,-8.6285,-3.0691,0.8321,0.9259,1,0.011111
BTC,vrp_30d,chop_factor_7d,-3.0691,2.4904,0.8321,0.9259,0,0.0
BTC,vrp_30d,chop_factor_7d,2.4904,8.0498,0.8321,0.9259,3,0.033333
BTC,vrp_30d,chop_factor_7d,8.0498,13.6092,0.8321,0.9259,6,0.066667
BTC,vrp_30d,chop_factor_7d,13.6092,19.1687,0.8321,0.9259,3,0.033333
BTC,vrp_30d,chop_factor_7d,19.1687,24.7281,0.8321,0.9259,0,0.0
BTC,vrp_30d,chop_factor_7d,24.7281,30.2875,0.8321,0.9259,0,0.0
BTC,vrp_30d,chop_factor_7d,30.2875,35.8469,0.8321,0.9259,0,0.0
BTC,vrp_30d,chop_factor_7d,35.8469,41.4064,0.8321,0.9259,0,0.0
BTC,vrp_30d,chop_factor_7d,-14.1879,-8.6285,0.9259,1.0197,0,0.0
BTC,vrp_30d,chop_factor_7d,-8.6285,-3.0691,0.9259,1.0197,1,0.011111
BTC,vrp_30d,chop_factor_7d,-3.0691,2.4904,0.9259,1.0197,2,0.022222
BTC,vrp_30d,chop_factor_7d,2.4904,8.0498,0.9259,1.0197,2,0.022222
BTC,vrp_30d,chop_factor_7d,8.0498,13.6092,0.9259,1.0197,2,0.022222
BTC,vrp_30d,chop_factor_7d,13.6092,19.1687,0.9259,1.0197,0,0.0
BTC,vrp_30d,chop_factor_7d,19.1687,24.7281,0.9259,1.0197,0,0.0
BTC,vrp_30d,chop_factor_7d,24.7281,30.2875,0.9259,1.0197,0,0.0
BTC,vrp_30d,chop_factor_7d,30.2875,35.8469,0.9259,1.0197,0,0.0
BTC,vrp_30d,chop_factor_7d,35.8469,41.4064,0.9259,1.0197,0,0.0
BTC,vrp_30d,chop_factor_7d,-14.1879,-8.6285,1.0197,1.1135,1,0.011111
BTC,vrp_30d,chop_factor_7d,-8.6285,-3.0691,1.0197,1.1135,3,0.033333
BTC,vrp_30d,chop_factor_7d,-3.0691,2.4904,1.0197,1.1135,3,0.033333
BTC,vrp_30d,chop_factor_7d,2.4904,8.0498,1.0197,1.1135,2,0.022222
BTC,vrp_30d,chop_factor_7d,8.0498,13.6092,1.0197,1.1135,0,0.0
BTC,vrp_30d,chop_factor_7d,13.6092,19.1687,1.0197,1.1135,0,0.0
BTC,vrp_30d,chop_factor_7d,19.1687,24.7281,1.0197,1.1135,0,0.0
BTC,vrp_30d,chop_factor_7d,24.7281,30.2875,1.0197,1.1135,0,0.0
BTC,vrp_30d,chop_factor_7d,30.2875,35.8469,1.0197,1.1135,0,0.0
BTC,vrp_30d,chop_factor_7d,35.8469,41.4064,1.0197,1.1135,0,0.0
BTC,vrp_30d,chop_factor_7d,-14.1879,-8.6285,1.1135,1.2073,1,0.011111
BTC,vrp_30d,chop_factor_7d,-8.6285,-3.0691,1.1135,1.2073,2,0.022222
BTC,vrp_30d,chop_factor_7d,-3.0691,2.4904,1.1135,1.2073,1,0.011111
BTC,vrp_30d,chop_factor_7d,2.4904,8.0498,1.1135,1.2073,0,0.0
BTC,vrp_30d,chop_factor_7d,8.0498,13.6092,1.1135,1.2073,0,0.0
BTC,vrp_30d,chop_factor_7d,13.6092,19.1687,1.1135,1.2073,0,0.0
BTC,vrp_30d,chop_factor_7d,19.1687,24.7281,1.1135,1.2073,0,0.0
BTC,vrp_30d,chop_factor_7d,24.7281,30.2875,1.1135,1.2073,0,0.0
BTC,vrp_30d,chop_factor_7d,30.2875,35.8469,1.1135,1.2073,0,0.0
BTC,vrp_30d,chop_factor_7d,35.8469,41.4064,1.1135,1.2073,0,0.0
BTC,vrp_30d,chop_factor_7d,-14.1879,-8.6285,1.2073,1.3011,1,0.011111
BTC,vrp_30d,chop_factor_7d,-8.6285,-3.0691,1.2073,1.3011,0,0.0
BTC,vrp_30d,chop_factor_7d,-3.0691,2.4904,1.2073,1.3011,0,0.0
BTC,vrp_30d,chop_factor_7d,2.4904,8.0498,1.2073,1.3011,0,0.0
