underlying,x_metric,y_metric,x_low,x_high,y_low,y_high,count,occupancy_frac
BTC,vrp_30d,iv_rank_6m,-19.2733,-12.8517,0.0156,0.0787,3,0.033333
BTC,vrp_30d,iv_rank_6m,-12.8517,-6.4302,0.0156,0.0787,1,0.011111
BTC,vrp_30d,iv_rank_6m,-6.4302,-0.0086,0.0156,0.0787,0,0.0
BTC,vrp_30d,iv_rank_6m,-0.0086,6.4129,0.0156,0.0787,1,0.011111
BTC,vrp_30d,iv_rank_6m,6.4129,12.8345,0.0156,0.0787,0,0.0
BTC,vrp_30d,iv_rank_6m,12.8345,19.2561,0.0156,0.0787,0,0.0
BTC,vrp_30d,iv_rank_6m,19.2561,25.6776,0.0156,0.0787,0,0.0
BTC,vrp_30d,iv_rank_6m,25.6776,32.0992,0.0156,0.0787,0,0.0
BTC,vrp_30d,iv_rank_6m,32.0992,38.5207,0.0156,0.0787,0,0.0
BTC,vrp_30d,iv_rank_6m,38.5207,44.9423,0.0156,0.0787,0,0.0
BTC,vrp_30d,iv_rank_6m,-19.2733,-12.8517,0.0787,0.1418,1,0.011111
BTC,vrp_30d,iv_rank_6m,-12.8517,-6.4302,0.0787,0.1418,1,0.011111
BTC,vrp_30d,iv_rank_6m,-6.4302,-0.0086,0.0787,0.1418,2,0.022222
BTC,vrp_30d,iv_rank_6m,-0.0086,6.4129,0.0787,0.1418,1,0.011111
BTC,vrp_30d,iv_rank_6m,6.4129,12.8345,0.0787,0.1418,0,0.0
BTC,vrp_30d,iv_rank_6m,12.8345,19.2561,0.0787,0.1418,0,0.0
BTC,vrp_30d,iv_rank_6m,19.2561,25.6776,0.0787,0.1418,0,0.0
BTC,vrp_30d,iv_rank_6m,25.6776,32.0992,0.0787,0.1418,0,0.0
BTC,vrp_30d,iv_rank_6m,32.0992,38.5207,0.0787,0.1418,0,0.0
BTC,vrp_30d,iv_rank_6m,38.5207,44.9423,0.0787,0.1418,0,0.0
BTC,vrp_30d,iv_rank_6m,-19.2733,-12.8517,0.1418,0.205,0,0.0
BTC,vrp_30d,iv_rank_6m,-12.8517,-6.4302,0.1418,0.205,0,0.0
BTC,vrp_30d,iv_rank_6m,-6.4302,-0.0086,0.1418,0.205,1,0.011111
BTC,vrp_30d,iv_rank_6m,-0.0086,6.4129,0.1418,0.205,3,0.033333
BTC,vrp_30d,iv_rank_6m,6.4129,12.8345,0.1418,0.205,2,0.022222
BTC,vrp_30d,iv_rank_6m,12.8345,19.2561,0.1418,0.205,0,0.0
BTC,vrp_30d,iv_rank_6m,19.2561,25.6776,0.1418,0.205,0,0.0
BTC,vrp_30d,iv_rank_6m,25.6776,32.0992,0.1418,0.205,0,0.0
BTC,vrp_30d,iv_rank_6m,32.0992,38.5207,0.1418,0.205,0,0.0
BTC,vrp_30d,iv_rank_6m,38.5207,44.9423,0.1418,0.205,0,0.0
BTC,vrp_30d,iv_rank_6m,-19.2733,-12.8517,0.205,0.2681,0,0.0
BTC,vrp_30d,iv_rank_6m,-12.8517,-6.4302,0.205,0.2681,0,0.0
BTC,vrp_30d,iv_rank_6m,-6.4302,-0.0086,0.205,0.2681,3,0.033333
BTC,vrp_30d,iv_rank_6m,-0.0086,6.4129,0.205,0.2681,1,0.011111
BTC,vrp_30d,iv_rank_6m,6.4129,12.8345,0.205,0.2681,2,0.022222
BTC,vrp_30d,iv_rank_6m,12.8345,19.2561,0.205,0.2681,0,0.0
BTC,vrp_30d,iv_rank_6m,19.2561,25.6776,0.205,0.2681,0,0.0
BTC,vrp_30d,iv_rank_6m,25.6776,32.0992,0.205,0.2681,0,0.0
BTC,vrp_30d,iv_rank_6m,32.0992,38.5207,0.205,0.2681,0,0.0
BTC,vrp_30d,iv_rank_6m,38.5207,44.9423,0.205,0.2681,0,0.0
BTC,vrp_30d,iv_rank_6m,-19.2733,-12.8517,0.2681,0.3312,0,0.0
BTC,vrp_30d,iv_rank_6m,-12.8517,-6.4302,0.2681,0.3312,0,0.0
BTC,vrp_30d,iv_rank_6m,-6.4302,-0.0086,0.2681,0.3312,0,0.0
BTC,vrp_30d,iv_rank_6m,-0.0086,6.4129,0.2681,0.3312,4,0.044444
BTC,vrp_30d,iv_rank_6m,6.4129,12.8345,0.2681,0.3312,3,0.033333
BTC,vrp_30d,iv_rank_6m,12.8345,19.2561,0.2681,0.3312,6,0.066667
BTC,vrp_30d,iv_rank_6m,19.2561,25.6776,0.2681,0.3312,3,0.033333
BTC,vrp_30d,iv_rank_6m,25.6776,32.0992,0.2681,0.3312,0,0.0
BTC,vrp_30d,iv_rank_6m,32.0992,38.5207,0.2681,0.3312,0,0.0
BTC,vrp_30d,iv_rank_6m,38.5207,44.9423,0.2681,0.3312,0,0.0
BTC,vrp_30d,iv_rank_6m,-19.2733,-12.8517,0.3312,0.3943,0,0.0
BTC,vrp_30d,iv_rank_6m,-12.8517,-6.4302,0.3312,0.3943,0,0.0
BTC,vrp_30d,iv_rank_6m,-6.4302,-0.0086,0.3312,0.3943,0,0.0
BTC,vrp_30d,iv_rank_6m,-0.0086,6.4129,0.3312,0.3943,4,0.044444
BTC,vrp_30d,iv_rank_6m,6.4129,12.8345,0.3312,0.3943,5,0.055556
BTC,vrp_30d,iv_rank_6m,12.8345,19.2561,0.3312,0.3943,8,0.088889
BTC,vrp_30d,iv_rank_6m,19.2561,25.6776,0.3312,0.3943,5,0.055556
BTC,vrp_30d,iv_rank_6m,25.6776,32.0992,0.3312,0.3943,0,0.0
BTC,vrp_30d,iv_rank_6m,32.0992,38.5207,0.3312,0.3943,0,0.0
BTC,vrp_30d,iv_rank_6m,38.5207,44.9423,0.3312,0.3943,0,0.0
BTC,vrp_30d,iv_rank_6m,-19.2733,-12.8517,0.3943,0.4574,0,0.0
BTC,vrp_30d,iv_rank_6m,-12.8517,-6.4302,0.3943,0.4574,0,0.0
BTC,vrp_30d,iv_rank_6m,-6.4302,-0.0086,0.3943,0.4574,0,0.0
BTC,vrp_30d,iv_rank_6m,-0.0086,6.4129,0.3943,0.4574,0,0.0
BTC,vrp_30d,iv_rank_6m,6.4129,12.8345,0.3943,0.4574,3,0.033333
BTC,vrp_30d,iv_rank_6m,12.8345,19.2561,0.3943,0.4574,5,0.055556
BTC,vrp_30d,iv_rank_6m,19.2561,25.6776,0.3943,0.4574,3,0.033333
BTC,vrp_30d,iv_rank_6m,25.6776,32.0992,0.3943,0.4574,2,0.022222
BTC,vrp_30d,iv_rank_6m,32.0992,38.5207,0.3943,0.4574,0,0.0
BTC,vrp_30d,iv_rank_6m,38.5207,44.9423,0.3943,0.4574,0,0.0
BTC,vrp_30d,iv_rank_6m,-19.2733,-12.8517,0.4574,0.5205,0,0.0
BTC,vrp_30d,iv_rank_6m,-12.8517,-6.4302,0.4574,0.5205,0,0.0
BTC,vrp_30d,iv_rank_6m,-6.4302,-0.0086,0.4574,0.5205,0,0.0
BTC,vrp_30d,iv_rank_6m,-0.0086,6.4129,0.4574,0.5205,0,0.0
BTC,vrp_30d,iv_rank_6m,6.4129,12.8345,0.4574,0.5205,0,0.0
BTC,vrp_30d,iv_rank_6m,12.8345,19.2561,0.4574,0.5205,2,0.022222
BTC,vrp_30d,iv_rank_6m,19.2561,25.6776,0.4574,0.5205,3,0.033333
BTC,vrp_30d,iv_rank_6m,25.6776,32.0992,0.4574,0.5205,3,0.033333
BTC,vrp_30d,iv_rank_6m,32.0992,38.5207,0.4574,0.5205,0,0.0
BTC,vrp_30d,iv_rank_6m,38.5207,44.9423,0.4574,0.5205,0,0.0
BTC,vrp_30d,iv_rank_6m,-19.2733,-12.8517,0.5205,0.5837,0,0.0
BTC,vrp_30d,iv_rank_6m,-12.8517,-6.4302,0.5205,0.5837,0,0.0
BTC,vrp_30d,iv_rank_6m,-6.4302,-0.0086,0.5205,0.5837,0,0.0
BTC,vrp_30d,iv_rank_6m,-0.0086,6.4129,0.5205,0.5837,1,0.011111
BTC,vrp_30d,iv_rank_6m,6.4129,12.8345,0.5205,0.5837,0,0.0
BTC,vrp_30d,iv_rank_6m,12.8345,19.2561,0.5205,0.5837,1,0.011111
BTC,vrp_30d,iv_rank_6m,19.2561,25.6776,0.5205,0.5837,1,0.011111
BTC,vrp_30d,iv_rank_6m,25.6776,32.0992,0.5205,0.5837,1,0.011111
BTC,vrp_30d,iv_rank_6m,32.0992,38.5207,0.5205,0.5837,1,0.011111
BTC,vrp_30d,iv_rank_6m,38.5207,44.9423,0.5205,0.5837,2,0.022222
BTC,vrp_30d,iv_rank_6m,-19.2733,-12.8517,0.5837,0.6468,0,0.0
BTC,vrp_30d,iv_rank_6m,-12.8517,-6.4302,0.5837,0.6468,0,0.0
BTC,vrp_30d,iv_rank_6m,-6.4302,-0.0086,0.5837,0.6468,0,0.0
BTC,vrp_30d,iv_rank_6m,-0.0086,6.4129,0.5837,0.6468,0,0.0
BTC,vrp_30d,iv_rank_6m,6.4129,12.8345,0.5837,0.6468,0,0.0
BTC,vrp_30d,iv_rank_6m,12.8345,19.2561,0.5837,0.6468,0,0.0
BTC,vrp_30d,iv_rank_6m,19.2561,25.6776,0.5837,0.6468,0,0.0
BTC,vrp_30d,iv_rank_6m,25.6776,32.0992,0.5837,0.6468,2,0.022222
BTC,vrp_30d,iv_rank_6m,32.0992,38.5207,0.5837,0.6468,0,0.0
BTC,vrp_30d,iv_rank_6m,38.5207,44.9423,0.5837,0.6468,0,0.0
