underlying,x_metric,y_metric,x_low,x_high,y_low,y_high,count,occupancy_frac
BTC,vrp_30d,price_vs_ma200,-14.1879,-8.6285,-33.535,-26.3327,0,0.0
BTC,vrp_30d,price_vs_ma200,-8.6285,-3.0691,-33.535,-26.3327,0,0.0
BTC,vrp_30d,price_vs_ma200,-3.0691,2.4904,-33.535,-26.3327,0,0.0
BTC,vrp_30d,price_vs_ma200,2.4904,8.0498,-33.535,-26.3327,1,0.011111
BTC,vrp_30d,price_vs_ma200,8.0498,13.6092,-33.535,-26.3327,1,0.011111
BTC,vrp_30d,price_vs_ma200,13.6092,19.1687,-33.535,-26.3327,0,0.0
BTC,vrp_30d,price_vs_ma200,19.1687,24.7281,-33.535,-26.3327,0,0.0
BTC,vrp_30d,price_vs_ma200,24.7281,30.2875,-33.535,-26.3327,1,0.011111
BTC,vrp_30d,price_vs_ma200,30.2875,35.8469,-33.535,-26.3327,0,0.0
BTC,vrp_30d,price_vs_ma200,35.8469,41.4064,-33.535,-26.3327,0,0.0
BTC,vrp_30d,price_vs_ma200,-14.1879,-8.6285,-26.3327,-19.1304,0,0.0
BTC,vrp_30d,price_vs_ma200,-8.6285,-3.0691,-26.3327,-19.1304,1,0.011111
BTC,vrp_30d,price_vs_ma200,-3.0691,2.4904,-26.3327,-19.1304,0,0.0
BTC,vrp_30d,price_vs_ma200,2.4904,8.0498,-26.3327,-19.1304,0,0.0
BTC,vrp_30d,price_vs_ma200,8.0498,13.6092,-26.3327,-19.1304,1,0.011111
BTC,vrp_30d,price_vs_ma200,13.6092,19.1687,-26.3327,-19.1304,1,0.011111
BTC,vrp_30d,price_vs_ma200,19.1687,24.7281,-26.3327,-19.1304,0,0.0
BTC,vrp_30d,price_vs_ma200,24.7281,30.2875,-26.3327,-19.1304,0,0.0
BTC,vrp_30d,price_vs_ma200,30.2875,35.8469,-26.3327,-19.1304,1,0.011111
BTC,vrp_30d,price_vs_ma200,35.8469,41.4064,-26.3327,-19.1304,0,0.0
BTC,vrp_30d,price_vs_ma200,-14.1879,-8.6285,-19.1304,-11.9281,0,0.0
BTC,vrp_30d,price_vs_ma200,-8.6285,-3.0691,-19.1304,-11.9281,1,0.011111
BTC,vrp_30d,price_vs_ma200,-3.0691,2.4904,-19.1304,-11.9281,0,0.0
BTC,vrp_30d,price_vs_ma200,2.4904,8.0498,-19.1304,-11.9281,1,0.011111
BTC,vrp_30d,price_vs_ma200,8.0498,13.6092,-19.1304,-11.9281,2,0.022222
BTC,vrp_30d,price_vs_ma200,13.6092,19.1687,-19.1304,-11.9281,2,0.022222
BTC,vrp_30d,price_vs_ma200,19.1687,24.7281,-19.1304,-11.9281,1,0.011111
BTC,vrp_30d,price_vs_ma200,24.7281,30.2875,-19.1304,-11.9281,1,0.011111
BTC,vrp_30d,price_vs_ma200,30.2875,35.8469,-19.1304,-11.9281,1,0.011111
BTC,vrp_30d,price_vs_ma200,35.8469,41.4064,-19.1304,-11.9281,0,0.0
BTC,vrp_30d,price_vs_ma200,-14.1879,-8.6285,-11.9281,-4.7258,0,0.0
BTC,vrp_30d,price_vs_ma200,-8.6285,-3.0691,-11.9281,-4.7258,0,0.0
BTC,vrp_30d,price_vs_ma200,-3.0691,2.4904,-11.9281,-4.7258,2,0.022222
BTC,vrp_30d,price_vs_ma200,2.4904,8.0498,-11.9281,-4.7258,2,0.022222
BTC,vrp_30d,price_vs_ma200,8.0498,13.6092,-11.9281,-4.7258,3,0.033333
BTC,vrp_30d,price_vs_ma200,13.6092,19.1687,-11.9281,-4.7258,0,0.0
BTC,vrp_30d,price_vs_ma200,19.1687,24.7281,-11.9281,-4.7258,2,0.022222
BTC,vrp_30d,price_vs_ma200,24.7281,30.2875,-11.9281,-4.7258,2,0.022222
BTC,vrp_30d,price_vs_ma200,30.2875,35.8469,-11.9281,-4.7258,1,0.011111
BTC,vrp_30d,price_vs_ma200,35.8469,41.4064,-11.9281,-4.7258,0,0.0
BTC,vrp_30d,price_vs_ma200,-14.1879,-8.6285,-4.7258,2.4765,0,0.0
BTC,vrp_30d,price_vs_ma200,-8.6285,-3.0691,-4.7258,2.4765,0,0.0
BTC,vrp_30d,price_vs_ma200,-3.0691,2.4904,-4.7258,2.4765,1,0.011111
BTC,vrp_30d,price_vs_ma200,2.4904,8.0498,-4.7258,2.4765,1,0.011111
BTC,vrp_30d,price_vs_ma200,8.0498,13.6092,-4.7258,2.4765,1,0.011111
BTC,vrp_30d,price_vs_ma200,13.6092,19.1687,-4.7258,2.4765,2,0.022222
BTC,vrp_30d,price_vs_ma200,19.1687,24.7281,-4.7258,2.4765,2,0.022222
BTC,vrp_30d,price_vs_ma200,24.7281,30.2875,-4.7258,2.4765,1,0.011111
BTC,vrp_30d,price_vs_ma200,30.2875,35.8469,-4.7258,2.4765,1,0.011111
BTC,vrp_30d,price_vs_ma200,35.8469,41.4064,-4.7258,2.4765,0,0.0
BTC,vrp_30d,price_vs_ma200,-14.1879,-8.6285,2.4765,9.6789,1,0.011111
BTC,vrp_30d,price_vs_ma200,-8.6285,-3.0691,2.4765,9.6789,3,0.033333
BTC,vrp_30d,price_vs_ma200,-3.0691,2.4904,2.4765,9.6789,3,0.033333
BTC,vrp_30d,price_vs_ma200,2.4904,8.0498,2.4765,9.6789,3,0.033333
BTC,vrp_30d,price_vs_ma200,8.0498,13.6092,2.4765,9.6789,6,0.066667
BTC,vrp_30d,price_vs_ma200,13.6092,19.1687,2.4765,9.6789,3,0.033333
BTC,vrp_30d,price_vs_ma200,19.1687,24.7281,2.4765,9.6789,2,0.022222
BTC,vrp_30d,price_vs_ma200,24.7281,30.2875,2.4765,9.6789,0,0.0
BTC,vrp_30d,price_vs_ma200,30.2875,35.8469,2.4765,9.6789,1,0.011111
BTC,vrp_30d,price_vs_ma200,35.8469,41.4064,2.4765,9.6789,0,0.0
BTC,vrp_30d,price_vs_ma200,-14.1879,-8.6285,9.6789,16.8812,1,0.011111
BTC,vrp_30d,price_vs_ma200,-8.6285,-3.0691,9.6789,16.8812,0,0.0
BTC,vrp_30d,price_vs_ma200,-3.0691,2.4904,9.6789,16.8812,1,0.011111
BTC,vrp_30d,price_vs_ma200,2.4904,8.0498,9.6789,16.8812,1,0.011111
BTC,vrp_30d,price_vs_ma200,8.0498,13.6092,9.6789,16.8812,0,0.0
BTC,vrp_30d,price_vs_ma200,13.6092,19.1687,9.6789,16.8812,2,0.022222
BTC,vrp_30d,price_vs_ma200,19.1687,24.7281,9.6789,16.8812,0,0.0
BTC,vrp_30d,price_vs_ma200,24.7281,30.2875,9.6789,16.8812,4,0.044444
BTC,vrp_30d,price_vs_ma200,30.2875,35.8469,9.6789,16.8812,0,0.0
BTC,vrp_30d,price_vs_ma200,35.8469,41.4064,9.6789,16.8812,1,0.011111
BTC,vrp_30d,price_vs_ma200,-14.1879,-8.6285,16.8812,24.0835,1,0.011111
BTC,vrp_30d,price_vs_ma200,-8.6285,-3.0691,16.8812,24.0835,1,0.011111
BTC,vrp_30d,price_vs_ma200,-3.0691,2.4904,16.8812,24.0835,1,0.011111
BTC,vrp_30d,price_vs_ma200,2.4904,8.0498,16.8812,24.0835,1,0.011111
