underlying,x_metric,y_metric,x_low,x_high,y_low,y_high,count,occupancy_frac
BTC,vrp_30d,rsi_14d,-23.1624,-16.2758,6.0,14.8,0,0.0
BTC,vrp_30d,rsi_14d,-16.2758,-9.3892,6.0,14.8,0,0.0
BTC,vrp_30d,rsi_14d,-9.3892,-2.5026,6.0,14.8,1,0.011111
BTC,vrp_30d,rsi_14d,-2.5026,4.384,6.0,14.8,1,0.011111
BTC,vrp_30d,rsi_14d,4.384,11.2706,6.0,14.8,0,0.0
BTC,vrp_30d,rsi_14d,11.2706,18.1572,6.0,14.8,2,0.022222
BTC,vrp_30d,rsi_14d,18.1572,25.0438,6.0,14.8,0,0.0
BTC,vrp_30d,rsi_14d,25.0438,31.9304,6.0,14.8,0,0.0
BTC,vrp_30d,rsi_14d,31.9304,38.817,6.0,14.8,0,0.0
BTC,vrp_30d,rsi_14d,38.817,45.7036,6.0,14.8,0,0.0
BTC,vrp_30d,rsi_14d,-23.1624,-16.2758,14.8,23.6,0,0.0
BTC,vrp_30d,rsi_14d,-16.2758,-9.3892,14.8,23.6,0,0.0
BTC,vrp_30d,rsi_14d,-9.3892,-2.5026,14.8,23.6,1,0.011111
BTC,vrp_30d,rsi_14d,-2.5026,4.384,14.8,23.6,0,0.0
BTC,vrp_30d,rsi_14d,4.384,11.2706,14.8,23.6,1,0.011111
BTC,vrp_30d,rsi_14d,11.2706,18.1572,14.8,23.6,0,0.0
BTC,vrp_30d,rsi_14d,18.1572,25.0438,14.8,23.6,0,0.0
BTC,vrp_30d,rsi_14d,25.0438,31.9304,14.8,23.6,1,0.011111
BTC,vrp_30d,rsi_14d,31.9304,38.817,14.8,23.6,1,0.011111
BTC,vrp_30d,rsi_14d,38.817,45.7036,14.8,23.6,0,0.0
BTC,vrp_30d,rsi_14d,-23.1624,-16.2758,23.6,32.4,1,0.011111
BTC,vrp_30d,rsi_14d,-16.2758,-9.3892,23.6,32.4,0,0.0
BTC,vrp_30d,rsi_14d,-9.3892,-2.5026,23.6,32.4,3,0.033333
BTC,vrp_30d,rsi_14d,-2.5026,4.384,23.6,32.4,1,0.011111
BTC,vrp_30d,rsi_14d,4.384,11.2706,23.6,32.4,1,0.011111
BTC,vrp_30d,rsi_14d,11.2706,18.1572,23.6,32.4,2,0.022222
BTC,vrp_30d,rsi_14d,18.1572,25.0438,23.6,32.4,2,0.022222
BTC,vrp_30d,rsi_14d,25.0438,31.9304,23.6,32.4,1,0.011111
BTC,vrp_30d,rsi_14d,31.9304,38.817,23.6,32.4,2,0.022222
BTC,vrp_30d,rsi_14d,38.817,45.7036,23.6,32.4,0,0.0
BTC,vrp_30d,rsi_14d,-23.1624,-16.2758,32.4,41.2,0,0.0
BTC,vrp_30d,rsi_14d,-16.2758,-9.3892,32.4,41.2,1,0.011111
BTC,vrp_30d,rsi_14d,-9.3892,-2.5026,32.4,41.2,1,0.011111
BTC,vrp_30d,rsi_14d,-2.5026,4.384,32.4,41.2,0,0.0
BTC,vrp_30d,rsi_14d,4.384,11.2706,32.4,41.2,2,0.022222
BTC,vrp_30d,rsi_14d,11.2706,18.1572,32.4,41.2,0,0.0
BTC,vrp_30d,rsi_14d,18.1572,25.0438,32.4,41.2,1,0.011111
BTC,vrp_30d,rsi_14d,25.0438,31.9304,32.4,41.2,2,0.022222
BTC,vrp_30d,rsi_14d,31.9304,38.817,32.4,41.2,0,0.0
BTC,vrp_30d,rsi_14d,38.817,45.7036,32.4,41.2,0,0.0
BTC,vrp_30d,rsi_14d,-23.1624,-16.2758,41.2,50.0,0,0.0
BTC,vrp_30d,rsi_14d,-16.2758,-9.3892,41.2,50.0,0,0.0
BTC,vrp_30d,rsi_14d,-9.3892,-2.5026,41.2,50.0,1,0.011111
BTC,vrp_30d,rsi_14d,-2.5026,4.384,41.2,50.0,3,0.033333
BTC,vrp_30d,rsi_14d,4.384,11.2706,41.2,50.0,0,0.0
BTC,vrp_30d,rsi_14d,11.2706,18.1572,41.2,50.0,5,0.055556
BTC,vrp_30d,rsi_14d,18.1572,25.0438,41.2,50.0,2,0.022222
BTC,vrp_30d,rsi_14d,25.0438,31.9304,41.2,50.0,1,0.011111
BTC,vrp_30d,rsi_14d,31.9304,38.817,41.2,50.0,0,0.0
