underlying,x_metric,y_metric,x_low,x_high,y_low,y_high,count,occupancy_frac
BTC,vrp_30d,skew_25d,-14.1879,-8.6285,-9.0475,-6.7114,0,0.0
BTC,vrp_30d,skew_25d,-8.6285,-3.0691,-9.0475,-6.7114,0,0.0
BTC,vrp_30d,skew_25d,-3.0691,2.4904,-9.0475,-6.7114,1,0.011111
BTC,vrp_30d,skew_25d,2.4904,8.0498,-9.0475,-6.7114,0,0.0
BTC,vrp_30d,skew_25d,8.0498,13.6092,-9.0475,-6.7114,0,0.0
BTC,vrp_30d,skew_25d,13.6092,19.1687,-9.0475,-6.7114,0,0.0
BTC,vrp_30d,skew_25d,19.1687,24.7281,-9.0475,-6.7114,0,0.0
BTC,vrp_30d,skew_25d,24.7281,30.2875,-9.0475,-6.7114,0,0.0
BTC,vrp_30d,skew_25d,30.2875,35.8469,-9.0475,-6.7114,1,0.011111
BTC,vrp_30d,skew_25d,35.8469,41.4064,-9.0475,-6.7114,0,0.0
BTC,vrp_30d,skew_25d,-14.1879,-8.6285,-6.7114,-4.3752,0,0.0
BTC,vrp_30d,skew_25d,-8.6285,-3.0691,-6.7114,-4.3752,0,0.0
BTC,vrp_30d,skew_25d,-3.0691,2.4904,-6.7114,-4.3752,0,0.0
BTC,vrp_30d,skew_25d,2.4904,8.0498,-6.7114,-4.3752,1,0.011111
BTC,vrp_30d,skew_25d,8.0498,13.6092,-6.7114,-4.3752,0,0.0
BTC,vrp_30d,skew_25d,13.6092,19.1687,-6.7114,-4.3752,0,0.0
BTC,vrp_30d,skew_25d,19.1687,24.7281,-6.7114,-4.3752,0,0.0
BTC,vrp_30d,skew_25d,24.7281,30.2875,-6.7114,-4.3752,2,0.022222
BTC,vrp_30d,skew_25d,30.2875,35.8469,-6.7114,-4.3752,0,0.0
BTC,vrp_30d,skew_25d,35.8469,41.4064,-6.7114,-4.3752,0,0.0
BTC,vrp_30d,skew_25d,-14.1879,-8.6285,-4.3752,-2.0391,1,0.011111
BTC,vrp_30d,skew_25d,-8.6285,-3.0691,-4.3752,-2.0391,1,0.011111
BTC,vrp_30d,skew_25d,-3.0691,2.4904,-4.3752,-2.0391,0,0.0
BTC,vrp_30d,skew_25d,2.4904,8.0498,-4.3752,-2.0391,0,0.0
BTC,vrp_30d,skew_25d,8.0498,13.6092,-4.3752,-2.0391,0,0.0
BTC,vrp_30d,skew_25d,13.6092,19.1687,-4.3752,-2.0391,0,0.0
BTC,vrp_30d,skew_25d,19.1687,24.7281,-4.3752,-2.0391,2,0.022222
BTC,vrp_30d,skew_25d,24.7281,30.2875,-4.3752,-2.0391,0,0.0
BTC,vrp_30d,skew_25d,30.2875,35.8469,-4.3752,-2.0391,0,0.0
BTC,vrp_30d,skew_25d,35.8469,41.4064,-4.3752,-2.0391,1,0.011111
BTC,vrp_30d,skew_25d,-14.1879,-8.6285,-2.0391,0.2971,1,0.011111
BTC,vrp_30d,skew_25d,-8.6285,-3.0691,-2.0391,0.2971,2,0.022222
BTC,vrp_30d,skew_25d,-3.0691,2.4904,-2.0391,0.2971,2,0.022222
BTC,vrp_30d,skew_25d,2.4904,8.0498,-2.0391,0.2971,1,0.011111
BTC,vrp_30d,skew_25d,8.0498,13.6092,-2.0391,0.2971,7,0.077778
BTC,vrp_30d,skew_25d,13.6092,19.1687,-2.0391,0.2971,1,0.011111
BTC,vrp_30d,skew_25d,19.1687,24.7281,-2.0391,0.2971,1,0.011111
BTC,vrp_30d,skew_25d,24.7281,30.2875,-2.0391,0.2971,2,0.022222
BTC,vrp_30d,skew_25d,30.2875,35.8469,-2.0391,0.2971,1,0.011111
BTC,vrp_30d,skew_25d,35.8469,41.4064,-2.0391,0.2971,0,0.0
BTC,vrp_30d,skew_25d,-14.1879,-8.6285,0.2971,2.6333,1,0.011111
BTC,vrp_30d,skew_25d,-8.6285,-3.0691,0.2971,2.6333,0,0.0
BTC,vrp_30d,skew_25d,-3.0691,2.4904,0.2971,2.6333,1,0.011111
BTC,vrp_30d,skew_25d,2.4904,8.0498,0.2971,2.6333,5,0.055556
BTC,vrp_30d,skew_25d,8.0498,13.6092,0.2971,2.6333,4,0.044444
BTC,vrp_30d,skew_25d,13.6092,19.1687,0.2971,2.6333,4,0.044444
BTC,vrp_30d,skew_25d,19.1687,24.7281,0.2971,2.6333,3,0.033333
BTC,vrp_30d,skew_25d,24.7281,30.2875,0.2971,2.6333,2,0.022222
BTC,vrp_30d,skew_25d,30.2875,35.8469,0.2971,2.6333,3,0.033333
BTC,vrp_30d,skew_25d,35.8469,41.4064,0.2971,2.6333,0,0.0
BTC,vrp_30d,skew_25d,-14.1879,-8.6285,2.6333,4.9694,0,0.0
BTC,vrp_30d,skew_25d,-8.6285,-3.0691,2.6333,4.9694,1,0.011111
BTC,vrp_30d,skew_25d,-3.0691,2.4904,2.6333,4.9694,1,0.011111
BTC,vrp_30d,skew_25d,2.4904,8.0498,2.6333,4.9694,1,0.011111
BTC,vrp_30d,skew_25d,8.0498,13.6092,2.6333,4.9694,5,0.055556
BTC,vrp_30d,skew_25d,13.6092,19.1687,2.6333,4.9694,2,0.022222
BTC,vrp_30d,skew_25d,19.1687,24.7281,2.6333,4.9694,1,0.011111
BTC,vrp_30d,skew_25d,24.7281,30.2875,2.6333,4.9694,4,0.044444
BTC,vrp_30d,skew_25d,30.2875,35.8469,2.6333,4.9694,0,0.0
BTC,vrp_30d,skew_25d,35.8469,41.4064,2.6333,4.9694,0,0.0
BTC,vrp_30d,skew_25d,-14.1879,-8.6285,4.9694,7.3056,0,0.0
BTC,vrp_30d,skew_25d,-8.6285,-3.0691,4.9694,7.3056,2,0.022222
BTC,vrp_30d,skew_25d,-3.0691,2.4904,4.9694,7.3056,1,0.011111
BTC,vrp_30d,skew_25d,2.4904,8.0498,4.9694,7.3056,3,0.033333
BTC,vrp_30d,skew_25d,8.0498,13.6092,4.9694,7.3056,3,0.033333
BTC,vrp_30d,skew_25d,13.6092,19.1687,4.9694,7.3056,4,0.044444
BTC,vrp_30d,skew_25d,19.1687,24.7281,4.9694,7.3056,1,0.011111
BTC,vrp_30d,skew_25d,24.7281,30.2875,4.9694,7.3056,1,0.011111
BTC,vrp_30d,skew_25d,30.2875,35.8469,4.9694,7.3056,0,0.0
BTC,vrp_30d,skew_25d,35.8469,41.4064,4.9694,7.3056,0,0.0
BTC,vrp_30d,skew_25d,-14.1879,-8.6285,7.3056,9.6417,0,0.0
BTC,vrp_30d,skew_25d,-8.6285,-3.0691,7.3056,9.6417,0,0.0
BTC,vrp_30d,skew_25d,-3.0691,2.4904,7.3056,9.6417,1,0.011111
BTC,vrp_30d,skew_25d,2.4904,8.0498,7.3056,9.6417,2,0.022222
BTC,vrp_30d,skew_25d,8.0498,13.6092,7.3056,9.6417,0,0.0
BTC,vrp_30d,skew_25d,13.6092,19.1687,7.3056,9.6417,2,0.022222
BTC,vrp_30d,skew_25d,19.1687,24.7281,7.3056,9.6417,0,0.0
BTC,vrp_30d,skew_25d,24.7281,30.2875,7.3056,9.6417,0,0.0
BTC,vrp_30d,skew_25d,30.2875,35.8469,7.3056,9.6417,0,0.0
BTC,vrp_30d,skew_25d,35.8469,41.4064,7.3056,9.6417,0,0.0
BTC,vrp_30d,skew_25d,-14.1879,-8.6285,9.6417,11.9779,0,0.0
BTC,vrp_30d,skew_25d,-8.6285,-3.0691,9.6417,11.9779,1,0.011111
BTC,vrp_30d,skew_25d,-3.0691,2.4904,9.6417,11.9779,0,0.0
BTC,vrp_30d,skew_25d,2.4904,8.0498,9.6417,11.9779,0,0.0
BTC,vrp_30d,skew_25d,8.0498,13.6092,9.6417,11.9779,0,0.0
BTC,vrp_30d,skew_25d,13.6092,19.1687,9.6417,11.9779,0,0.0
BTC,vrp_30d,skew_25d,19.1687,24.7281,9.6417,11.9779,1,0.011111
BTC,vrp_30d,skew_25d,24.7281,30.2875,9.6417,11.9779,0,0.0
BTC,vrp_30d,skew_25d,30.2875,35.8469,9.6417,11.9779,0,0.0
BTC,vrp_30d,skew_25d,35.8469,41.4064,9.6417,11.9779,0,0.0
BTC,vrp_30d,skew_25d,-14.1879,-8.6285,11.9779,14.314,0,0.0
BTC,vrp_30d,skew_25d,-8.6285,-3.0691,11.9779,14.314,0,0.0
BTC,vrp_30d,skew_25d,-3.0691,2.4904,11.9779,14.314,1,0.011111
BTC,vrp_30d,skew_25d,2.4904,8.0498,11.9779,14.314,0,0.0
BTC,vrp_30d,skew_25d,8.0498,13.6092,11.9779,14.314,0,0.0
BTC,vrp_30d,skew_25d,13.6092,19.1687,11.9779,14.314,0,0.0
BTC,vrp_30d,skew_25d,19.1687,24.7281,11.9779,14.314,1,0.011111
BTC,vrp_30d,skew_25d,24.7281,30.2875,11.9779,14.314,0,0.0
BTC,vrp_30d,skew_25d,30.2875,35.8469,11.9779,14.314,0,0.0
BTC,vrp_30d,skew_25d,35.8469,41.4064,11.9779,14.314,0,0.0
