underlying,x_metric,y_metric,x_low,x_high,y_low,y_high,count,occupancy_frac
BTC,vrp_30d,term_structure_spread,-14.1879,-8.6285,-7.9726,-6.2147,1,0.011111
BTC,vrp_30d,term_structure_spread,-8.6285,-3.0691,-7.9726,-6.2147,1,0.011111
BTC,vrp_30d,term_structure_spread,-3.0691,2.4904,-7.9726,-6.2147,0,0.0
BTC,vrp_30d,term_structure_spread,2.4904,8.0498,-7.9726,-6.2147,0,0.0
BTC,vrp_30d,term_structure_spread,8.0498,13.6092,-7.9726,-6.2147,0,0.0
BTC,vrp_30d,term_structure_spread,13.6092,19.1687,-7.9726,-6.2147,1,0.011111
BTC,vrp_30d,term_structure_spread,19.1687,24.7281,-7.9726,-6.2147,0,0.0
BTC,vrp_30d,term_structure_spread,24.7281,30.2875,-7.9726,-6.2147,1,0.011111
BTC,vrp_30d,term_structure_spread,30.2875,35.8469,-7.9726,-6.2147,0,0.0
BTC,vrp_30d,term_structure_spread,35.8469,41.4064,-7.9726,-6.2147,0,0.0
BTC,vrp_30d,term_structure_spread,-14.1879,-8.6285,-6.2147,-4.4568,0,0.0
BTC,vrp_30d,term_structure_spread,-8.6285,-3.0691,-6.2147,-4.4568,0,0.0
BTC,vrp_30d,term_structure_spread,-3.0691,2.4904,-6.2147,-4.4568,2,0.022222
BTC,vrp_30d,term_structure_spread,2.4904,8.0498,-6.2147,-4.4568,1,0.011111
BTC,vrp_30d,term_structure_spread,8.0498,13.6092,-6.2147,-4.4568,2,0.022222
BTC,vrp_30d,term_structure_spread,13.6092,19.1687,-6.2147,-4.4568,0,0.0
BTC,vrp_30d,term_structure_spread,19.1687,24.7281,-6.2147,-4.4568,1,0.011111
BTC,vrp_30d,term_structure_spread,24.7281,30.2875,-6.2147,-4.4568,0,0.0
BTC,vrp_30d,term_structure_spread,30.2875,35.8469,-6.2147,-4.4568,0,0.0
BTC,vrp_30d,term_structure_spread,35.8469,41.4064,-6.2147,-4.4568,0,0.0
BTC,vrp_30d,term_structure_spread,-14.1879,-8.6285,-4.4568,-2.699,0,0.0
BTC,vrp_30d,term_structure_spread,-8.6285,-3.0691,-4.4568,-2.699,3,0.033333
BTC,vrp_30d,term_structure_spread,-3.0691,2.4904,-4.4568,-2.699,2,0.022222
BTC,vrp_30d,term_structure_spread,2.4904,8.0498,-4.4568,-2.699,1,0.011111
BTC,vrp_30d,term_structure_spread,8.0498,13.6092,-4.4568,-2.699,1,0.011111
