underlying,x_metric,y_metric,x_low,x_high,y_low,y_high,count,occupancy_frac
ETH,adx_14d,chop_factor_7d,7.9028,12.5166,0.4688,0.5541,1,0.011111
ETH,adx_14d,chop_factor_7d,12.5166,17.1304,0.4688,0.5541,0,0.0
ETH,adx_14d,chop_factor_7d,17.1304,21.7442,0.4688,0.5541,3,0.033333
ETH,adx_14d,chop_factor_7d,21.7442,26.358,0.4688,0.5541,0,0.0
ETH,adx_14d,chop_factor_7d,26.358,30.9717,0.4688,0.5541,0,0.0
ETH,adx_14d,chop_factor_7d,30.9717,35.5855,0.4688,0.5541,0,0.0
ETH,adx_14d,chop_factor_7d,35.5855,40.1993,0.4688,0.5541,0,0.0
ETH,adx_14d,chop_factor_7d,40.1993,44.8131,0.4688,0.5541,0,0.0
ETH,adx_14d,chop_factor_7d,44.8131,49.4269,0.4688,0.5541,0,0.0
ETH,adx_14d,chop_factor_7d,49.4269,54.0407,0.4688,0.5541,0,0.0
ETH,adx_14d,chop_factor_7d,7.9028,12.5166,0.5541,0.6393,0,0.0
ETH,adx_14d,chop_factor_7d,12.5166,17.1304,0.5541,0.6393,0,0.0
ETH,adx_14d,chop_factor_7d,17.1304,21.7442,0.5541,0.6393,1,0.011111
ETH,adx_14d,chop_factor_7d,21.7442,26.358,0.5541,0.6393,1,0.011111
ETH,adx_14d,chop_factor_7d,26.358,30.9717,0.5541,0.6393,4,0.044444
ETH,adx_14d,chop_factor_7d,30.9717,35.5855,0.5541,0.6393,1,0.011111
ETH,adx_14d,chop_factor_7d,35.5855,40.1993,0.5541,0.6393,2,0.022222
ETH,adx_14d,chop_factor_7d,40.1993,44.8131,0.5541,0.6393,0,0.0
ETH,adx_14d,chop_factor_7d,44.8131,49.4269,0.5541,0.6393,0,0.0
ETH,adx_14d,chop_factor_7d,49.4269,54.0407,0.5541,0.6393,0,0.0
ETH,adx_14d,chop_factor_7d,7.9028,12.5166,0.6393,0.7246,2,0.022222
ETH,adx_14d,chop_factor_7d,12.5166,17.1304,0.6393,0.7246,3,0.033333
ETH,adx_14d,chop_factor_7d,17.1304,21.7442,0.6393,0.7246,2,0.022222
ETH,adx_14d,chop_factor_7d,21.7442,26.358,0.6393,0.7246,1,0.011111
ETH,adx_14d,chop_factor_7d,26.358,30.9717,0.6393,0.7246,3,0.033333
ETH,adx_14d,chop_factor_7d,30.9717,35.5855,0.6393,0.7246,0,0.0
ETH,adx_14d,chop_factor_7d,35.5855,40.1993,0.6393,0.7246,1,0.011111
ETH,adx_14d,chop_factor_7d,40.1993,44.8131,0.6393,0.7246,1,0.011111
ETH,adx_14d,chop_factor_7d,44.8131,49.4269,0.6393,0.7246,0,0.0
ETH,adx_14d,chop_factor_7d,49.4269,54.0407,0.6393,0.7246,0,0.0
ETH,adx_14d,chop_factor_7d,7.9028,12.5166,0.7246,0.8098,2,0.022222
ETH,adx_14d,chop_factor_7d,12.5166,17.1304,0.7246,0.8098,1,0.011111
ETH,adx_14d,chop_factor_7d,17.1304,21.7442,0.7246,0.8098,3,0.033333
ETH,adx_14d,chop_factor_7d,21.7442,26.358,0.7246,0.8098,5,0.055556
ETH,adx_14d,chop_factor_7d,26.358,30.9717,0.7246,0.8098,3,0.033333
ETH,adx_14d,chop_factor_7d,30.9717,35.5855,0.7246,0.8098,3,0.033333
ETH,adx_14d,chop_factor_7d,35.5855,40.1993,0.7246,0.8098,1,0.011111
ETH,adx_14d,chop_factor_7d,40.1993,44.8131,0.7246,0.8098,1,0.011111
ETH,adx_14d,chop_factor_7d,44.8131,49.4269,0.7246,0.8098,0,0.0
ETH,adx_14d,chop_factor_7d,49.4269,54.0407,0.7246,0.8098,0,0.0
ETH,adx_14d,chop_factor_7d,7.9028,12.5166,0.8098,0.8951,2,0.022222
ETH,adx_14d,chop_factor_7d,12.5166,17.1304,0.8098,0.8951,3,0.033333
ETH,adx_14d,chop_factor_7d,17.1304,21.7442,0.8098,0.8951,1,0.011111
ETH,adx_14d,chop_factor_7d,21.7442,26.358,0.8098,0.8951,1,0.011111
ETH,adx_14d,chop_factor_7d,26.358,30.9717,0.8098,0.8951,1,0.011111
ETH,adx_14d,chop_factor_7d,30.9717,35.5855,0.8098,0.8951,2,0.022222
ETH,adx_14d,chop_factor_7d,35.5855,40.1993,0.8098,0.8951,3,0.033333
ETH,adx_14d,chop_factor_7d,40.1993,44.8131,0.8098,0.8951,1,0.011111
ETH,adx_14d,chop_factor_7d,44.8131,49.4269,0.8098,0.8951,1,0.011111
ETH,adx_14d,chop_factor_7d,49.4269,54.0407,0.8098,0.8951,0,0.0
ETH,adx_14d,chop_factor_7d,7.9028,12.5166,0.8951,0.9803,2,0.022222
