underlying,x_metric,y_metric,x_low,x_high,y_low,y_high,count,occupancy_frac
ETH,adx_14d,iv_rank_6m,7.9028,12.5166,0.0453,0.095,0,0.0
ETH,adx_14d,iv_rank_6m,12.5166,17.1304,0.0453,0.095,0,0.0
ETH,adx_14d,iv_rank_6m,17.1304,21.7442,0.0453,0.095,0,0.0
ETH,adx_14d,iv_rank_6m,21.7442,26.358,0.0453,0.095,1,0.011111
ETH,adx_14d,iv_rank_6m,26.358,30.9717,0.0453,0.095,0,0.0
ETH,adx_14d,iv_rank_6m,30.9717,35.5855,0.0453,0.095,0,0.0
ETH,adx_14d,iv_rank_6m,35.5855,40.1993,0.0453,0.095,0,0.0
ETH,adx_14d,iv_rank_6m,40.1993,44.8131,0.0453,0.095,1,0.011111
ETH,adx_14d,iv_rank_6m,44.8131,49.4269,0.0453,0.095,0,0.0
ETH,adx_14d,iv_rank_6m,49.4269,54.0407,0.0453,0.095,0,0.0
ETH,adx_14d,iv_rank_6m,7.9028,12.5166,0.095,0.1448,0,0.0
ETH,adx_14d,iv_rank_6m,12.5166,17.1304,0.095,0.1448,0,0.0
ETH,adx_14d,iv_rank_6m,17.1304,21.7442,0.095,0.1448,1,0.011111
ETH,adx_14d,iv_rank_6m,21.7442,26.358,0.095,0.1448,1,0.011111
ETH,adx_14d,iv_rank_6m,26.358,30.9717,0.095,0.1448,1,0.011111
ETH,adx_14d,iv_rank_6m,30.9717,35.5855,0.095,0.1448,1,0.011111
ETH,adx_14d,iv_rank_6m,35.5855,40.1993,0.095,0.1448,0,0.0
ETH,adx_14d,iv_rank_6m,40.1993,44.8131,0.095,0.1448,0,0.0
ETH,adx_14d,iv_rank_6m,44.8131,49.4269,0.095,0.1448,0,0.0
ETH,adx_14d,iv_rank_6m,49.4269,54.0407,0.095,0.1448,0,0.0
ETH,adx_14d,iv_rank_6m,7.9028,12.5166,0.1448,0.1945,1,0.011111
ETH,adx_14d,iv_rank_6m,12.5166,17.1304,0.1448,0.1945,1,0.011111
ETH,adx_14d,iv_rank_6m,17.1304,21.7442,0.1448,0.1945,2,0.022222
ETH,adx_14d,iv_rank_6m,21.7442,26.358,0.1448,0.1945,1,0.011111
ETH,adx_14d,iv_rank_6m,26.358,30.9717,0.1448,0.1945,0,0.0
ETH,adx_14d,iv_rank_6m,30.9717,35.5855,0.1448,0.1945,1,0.011111
ETH,adx_14d,iv_rank_6m,35.5855,40.1993,0.1448,0.1945,1,0.011111
ETH,adx_14d,iv_rank_6m,40.1993,44.8131,0.1448,0.1945,0,0.0
ETH,adx_14d,iv_rank_6m,44.8131,49.4269,0.1448,0.1945,0,0.0
ETH,adx_14d,iv_rank_6m,49.4269,54.0407,0.1448,0.1945,0,0.0
ETH,adx_14d,iv_rank_6m,7.9028,12.5166,0.1945,0.2442,2,0.022222
ETH,adx_14d,iv_rank_6m,12.5166,17.1304,0.1945,0.2442,1,0.011111
ETH,adx_14d,iv_rank_6m,17.1304,21.7442,0.1945,0.2442,1,0.011111
ETH,adx_14d,iv_rank_6m,21.7442,26.358,0.1945,0.2442,2,0.022222
ETH,adx_14d,iv_rank_6m,26.358,30.9717,0.1945,0.2442,2,0.022222
ETH,adx_14d,iv_rank_6m,30.9717,35.5855,0.1945,0.2442,2,0.022222
ETH,adx_14d,iv_rank_6m,35.5855,40.1993,0.1945,0.2442,3,0.033333
ETH,adx_14d,iv_rank_6m,40.1993,44.8131,0.1945,0.2442,0,0.0
ETH,adx_14d,iv_rank_6m,44.8131,49.4269,0.1945,0.2442,1,0.011111
ETH,adx_14d,iv_rank_6m,49.4269,54.0407,0.1945,0.2442,0,0.0
ETH,adx_14d,iv_rank_6m,7.9028,12.5166,0.2442,0.2939,0,0.0
ETH,adx_14d,iv_rank_6m,12.5166,17.1304,0.2442,0.2939,3,0.033333
ETH,adx_14d,iv_rank_6m,17.1304,21.7442,0.2442,0.2939,3,0.033333
ETH,adx_14d,iv_rank_6m,21.7442,26.358,0.2442,0.2939,2,0.022222
ETH,adx_14d,iv_rank_6m,26.358,30.9717,0.2442,0.2939,0,0.0
ETH,adx_14d,iv_rank_6m,30.9717,35.5855,0.2442,0.2939,1,0.011111
ETH,adx_14d,iv_rank_6m,35.5855,40.1993,0.2442,0.2939,1,0.011111
ETH,adx_14d,iv_rank_6m,40.1993,44.8131,0.2442,0.2939,1,0.011111
ETH,adx_14d,iv_rank_6m,44.8131,49.4269,0.2442,0.2939,0,0.0
ETH,adx_14d,iv_rank_6m,49.4269,54.0407,0.2442,0.2939,0,0.0
ETH,adx_14d,iv_rank_6m,7.9028,12.5166,0.2939,0.3436,3,0.033333
ETH,adx_14d,iv_rank_6m,12.5166,17.1304,0.2939,0.3436,2,0.022222
ETH,adx_14d,iv_rank_6m,17.1304,21.7442,0.2939,0.3436,1,0.011111
ETH,adx_14d,iv_rank_6m,21.7442,26.358,0.2939,0.3436,1,0.011111
ETH,adx_14d,iv_rank_6m,26.358,30.9717,0.2939,0.3436,4,0.044444
ETH,adx_14d,iv_rank_6m,30.9717,35.5855,0.2939,0.3436,4,0.044444
ETH,adx_14d,iv_rank_6m,35.5855,40.1993,0.2939,0.3436,3,0.033333
ETH,adx_14d,iv_rank_6m,40.1993,44.8131,0.2939,0.3436,1,0.011111
ETH,adx_14d,iv_rank_6m,44.8131,49.4269,0.2939,0.3436,0,0.0
ETH,adx_14d,iv_rank_6m,49.4269,54.0407,0.2939,0.3436,0,0.0
ETH,adx_14d,iv_rank_6m,7.9028,12.5166,0.3436,0.3933,3,0.033333
ETH,adx_14d,iv_rank_6m,12.5166,17.1304,0.3436,0.3933,1,0.011111
ETH,adx_14d,iv_rank_6m,17.1304,21.7442,0.3436,0.3933,1,0.011111
ETH,adx_14d,iv_rank_6m,21.7442,26.358,0.3436,0.3933,2,0.022222
ETH,adx_14d,iv_rank_6m,26.358,30.9717,0.3436,0.3933,6,0.066667
ETH,adx_14d,iv_rank_6m,30.9717,35.5855,0.3436,0.3933,1,0.011111
ETH,adx_14d,iv_rank_6m,35.5855,40.1993,0.3436,0.3933,2,0.022222
ETH,adx_14d,iv_rank_6m,40.1993,44.8131,0.3436,0.3933,1,0.011111
ETH,adx_14d,iv_rank_6m,44.8131,49.4269,0.3436,0.3933,1,0.011111
