underlying,x_metric,y_metric,x_low,x_high,y_low,y_high,count,occupancy_frac
ETH,adx_14d,price_vs_ma200,7.9028,12.5166,-33.8854,-26.3869,0,0.0
ETH,adx_14d,price_vs_ma200,12.5166,17.1304,-33.8854,-26.3869,0,0.0
ETH,adx_14d,price_vs_ma200,17.1304,21.7442,-33.8854,-26.3869,0,0.0
ETH,adx_14d,price_vs_ma200,21.7442,26.358,-33.8854,-26.3869,0,0.0
ETH,adx_14d,price_vs_ma200,26.358,30.9717,-33.8854,-26.3869,0,0.0
ETH,adx_14d,price_vs_ma200,30.9717,35.5855,-33.8854,-26.3869,1,0.011111
ETH,adx_14d,price_vs_ma200,35.5855,40.1993,-33.8854,-26.3869,2,0.022222
ETH,adx_14d,price_vs_ma200,40.1993,44.8131,-33.8854,-26.3869,0,0.0
ETH,adx_14d,price_vs_ma200,44.8131,49.4269,-33.8854,-26.3869,0,0.0
ETH,adx_14d,price_vs_ma200,49.4269,54.0407,-33.8854,-26.3869,0,0.0
ETH,adx_14d,price_vs_ma200,7.9028,12.5166,-26.3869,-18.8884,0,0.0
ETH,adx_14d,price_vs_ma200,12.5166,17.1304,-26.3869,-18.8884,0,0.0
ETH,adx_14d,price_vs_ma200,17.1304,21.7442,-26.3869,-18.8884,0,0.0
ETH,adx_14d,price_vs_ma200,21.7442,26.358,-26.3869,-18.8884,1,0.011111
ETH,adx_14d,price_vs_ma200,26.358,30.9717,-26.3869,-18.8884,0,0.0
ETH,adx_14d,price_vs_ma200,30.9717,35.5855,-26.3869,-18.8884,1,0.011111
ETH,adx_14d,price_vs_ma200,35.5855,40.1993,-26.3869,-18.8884,0,0.0
ETH,adx_14d,price_vs_ma200,40.1993,44.8131,-26.3869,-18.8884,0,0.0
ETH,adx_14d,price_vs_ma200,44.8131,49.4269,-26.3869,-18.8884,0,0.0
ETH,adx_14d,price_vs_ma200,49.4269,54.0407,-26.3869,-18.8884,0,0.0
ETH,adx_14d,price_vs_ma200,7.9028,12.5166,-18.8884,-11.3899,1,0.011111
ETH,adx_14d,price_vs_ma200,12.5166,17.1304,-18.8884,-11.3899,1,0.011111
ETH,adx_14d,price_vs_ma200,17.1304,21.7442,-18.8884,-11.3899,0,0.0
ETH,adx_14d,price_vs_ma200,21.7442,26.358,-18.8884,-11.3899,2,0.022222
ETH,adx_14d,price_vs_ma200,26.358,30.9717,-18.8884,-11.3899,2,0.022222
ETH,adx_14d,price_vs_ma200,30.9717,35.5855,-18.8884,-11.3899,3,0.033333
ETH,adx_14d,price_vs_ma200,35.5855,40.1993,-18.8884,-11.3899,1,0.011111
ETH,adx_14d,price_vs_ma200,40.1993,44.8131,-18.8884,-11.3899,2,0.022222
ETH,adx_14d,price_vs_ma200,44.8131,49.4269,-18.8884,-11.3899,0,0.0
ETH,adx_14d,price_vs_ma200,49.4269,54.0407,-18.8884,-11.3899,0,0.0
ETH,adx_14d,price_vs_ma200,7.9028,12.5166,-11.3899,-3.8913,0,0.0
ETH,adx_14d,price_vs_ma200,12.5166,17.1304,-11.3899,-3.8913,1,0.011111
ETH,adx_14d,price_vs_ma200,17.1304,21.7442,-11.3899,-3.8913,4,0.044444
ETH,adx_14d,price_vs_ma200,21.7442,26.358,-11.3899,-3.8913,2,0.022222
ETH,adx_14d,price_vs_ma200,26.358,30.9717,-11.3899,-3.8913,2,0.022222
ETH,adx_14d,price_vs_ma200,30.9717,35.5855,-11.3899,-3.8913,2,0.022222
ETH,adx_14d,price_vs_ma200,35.5855,40.1993,-11.3899,-3.8913,3,0.033333
ETH,adx_14d,price_vs_ma200,40.1993,44.8131,-11.3899,-3.8913,1,0.011111
ETH,adx_14d,price_vs_ma200,44.8131,49.4269,-11.3899,-3.8913,1,0.011111
ETH,adx_14d,price_vs_ma200,49.4269,54.0407,-11.3899,-3.8913,0,0.0
ETH,adx_14d,price_vs_ma200,7.9028,12.5166,-3.8913,3.6072,5,0.055556
ETH,adx_14d,price_vs_ma200,12.5166,17.1304,-3.8913,3.6072,3,0.033333
ETH,adx_14d,price_vs_ma200,17.1304,21.7442,-3.8913,3.6072,3,0.033333
ETH,adx_14d,price_vs_ma200,21.7442,26.358,-3.8913,3.6072,1,0.011111
ETH,adx_14d,price_vs_ma200,26.358,30.9717,-3.8913,3.6072,4,0.044444
ETH,adx_14d,price_vs_ma200,30.9717,35.5855,-3.8913,3.6072,0,0.0
ETH,adx_14d,price_vs_ma200,35.5855,40.1993,-3.8913,3.6072,1,0.011111
ETH,adx_14d,price_vs_ma200,40.1993,44.8131,-3.8913,3.6072,0,0.0
ETH,adx_14d,price_vs_ma200,44.8131,49.4269,-3.8913,3.6072,0,0.0
ETH,adx_14d,price_vs_ma200,49.4269,54.0407,-3.8913,3.6072,1,0.011111
ETH,adx_14d,price_vs_ma200,7.9028,12.5166,3.6072,11.1057,1,0.011111
ETH,adx_14d,price_vs_ma200,12.5166,17.1304,3.6072,11.1057,1,0.011111
ETH,adx_14d,price_vs_ma200,17.1304,21.7442,3.6072,11.1057,3,0.033333
ETH,adx_14d,price_vs_ma200,21.7442,26.358,3.6072,11.1057,0,0.0
ETH,adx_14d,price_vs_ma200,26.358,30.9717,3.6072,11.1057,5,0.055556
ETH,adx_14d,price_vs_ma200,30.9717,35.5855,3.6072,11.1057,1,0.011111
ETH,adx_14d,price_vs_ma200,35.5855,40.1993,3.6072,11.1057,2,0.022222
ETH,adx_14d,price_vs_ma200,40.1993,44.8131,3.6072,11.1057,1,0.011111
