underlying,x_metric,y_metric,x_low,x_high,y_low,y_high,count,occupancy_frac
ETH,adx_14d,rsi_14d,7.9028,12.5166,6.0795,14.7046,1,0.011111
ETH,adx_14d,rsi_14d,12.5166,17.1304,6.0795,14.7046,0,0.0
ETH,adx_14d,rsi_14d,17.1304,21.7442,6.0795,14.7046,2,0.022222
ETH,adx_14d,rsi_14d,21.7442,26.358,6.0795,14.7046,0,0.0
ETH,adx_14d,rsi_14d,26.358,30.9717,6.0795,14.7046,0,0.0
ETH,adx_14d,rsi_14d,30.9717,35.5855,6.0795,14.7046,0,0.0
ETH,adx_14d,rsi_14d,35.5855,40.1993,6.0795,14.7046,1,0.011111
ETH,adx_14d,rsi_14d,40.1993,44.8131,6.0795,14.7046,0,0.0
ETH,adx_14d,rsi_14d,44.8131,49.4269,6.0795,14.7046,0,0.0
ETH,adx_14d,rsi_14d,49.4269,54.0407,6.0795,14.7046,0,0.0
ETH,adx_14d,rsi_14d,7.9028,12.5166,14.7046,23.3297,0,0.0
ETH,adx_14d,rsi_14d,12.5166,17.1304,14.7046,23.3297,1,0.011111
ETH,adx_14d,rsi_14d,17.1304,21.7442,14.7046,23.3297,1,0.011111
ETH,adx_14d,rsi_14d,21.7442,26.358,14.7046,23.3297,2,0.022222
ETH,adx_14d,rsi_14d,26.358,30.9717,14.7046,23.3297,1,0.011111
ETH,adx_14d,rsi_14d,30.9717,35.5855,14.7046,23.3297,0,0.0
ETH,adx_14d,rsi_14d,35.5855,40.1993,14.7046,23.3297,0,0.0
ETH,adx_14d,rsi_14d,40.1993,44.8131,14.7046,23.3297,0,0.0
ETH,adx_14d,rsi_14d,44.8131,49.4269,14.7046,23.3297,0,0.0
ETH,adx_14d,rsi_14d,49.4269,54.0407,14.7046,23.3297,0,0.0
ETH,adx_14d,rsi_14d,7.9028,12.5166,23.3297,31.9548,0,0.0
ETH,adx_14d,rsi_14d,12.5166,17.1304,23.3297,31.9548,1,0.011111
ETH,adx_14d,rsi_14d,17.1304,21.7442,23.3297,31.9548,0,0.0
ETH,adx_14d,rsi_14d,21.7442,26.358,23.3297,31.9548,1,0.011111
ETH,adx_14d,rsi_14d,26.358,30.9717,23.3297,31.9548,0,0.0
ETH,adx_14d,rsi_14d,30.9717,35.5855,23.3297,31.9548,0,0.0
ETH,adx_14d,rsi_14d,35.5855,40.1993,23.3297,31.9548,2,0.022222
ETH,adx_14d,rsi_14d,40.1993,44.8131,23.3297,31.9548,0,0.0
ETH,adx_14d,rsi_14d,44.8131,49.4269,23.3297,31.9548,1,0.011111
ETH,adx_14d,rsi_14d,49.4269,54.0407,23.3297,31.9548,1,0.011111
ETH,adx_14d,rsi_14d,7.9028,12.5166,31.9548,40.5799,0,0.0
ETH,adx_14d,rsi_14d,12.5166,17.1304,31.9548,40.5799,0,0.0
ETH,adx_14d,rsi_14d,17.1304,21.7442,31.9548,40.5799,1,0.011111
ETH,adx_14d,rsi_14d,21.7442,26.358,31.9548,40.5799,1,0.011111
ETH,adx_14d,rsi_14d,26.358,30.9717,31.9548,40.5799,3,0.033333
ETH,adx_14d,rsi_14d,30.9717,35.5855,31.9548,40.5799,1,0.011111
ETH,adx_14d,rsi_14d,35.5855,40.1993,31.9548,40.5799,1,0.011111
ETH,adx_14d,rsi_14d,40.1993,44.8131,31.9548,40.5799,0,0.0
ETH,adx_14d,rsi_14d,44.8131,49.4269,31.9548,40.5799,1,0.011111
ETH,adx_14d,rsi_14d,49.4269,54.0407,31.9548,40.5799,0,0.0
ETH,adx_14d,rsi_14d,7.9028,12.5166,40.5799,49.205,3,0.033333
ETH,adx_14d,rsi_14d,12.5166,17.1304,40.5799,49.205,2,0.022222
ETH,adx_14d,rsi_14d,17.1304,21.7442,40.5799,49.205,3,0.033333
ETH,adx_14d,rsi_14d,21.7442,26.358,40.5799,49.205,1,0.011111
ETH,adx_14d,rsi_14d,26.358,30.9717,40.5799,49.205,2,0.022222
ETH,adx_14d,rsi_14d,30.9717,35.5855,40.5799,49.205,1,0.011111
ETH,adx_14d,rsi_14d,35.5855,40.1993,40.5799,49.205,2,0.022222
ETH,adx_14d,rsi_14d,40.1993,44.8131,40.5799,49.205,2,0.022222
ETH,adx_14d,rsi_14d,44.8131,49.4269,40.5799,49.205,0,0.0
ETH,adx_14d,rsi_14d,49.4269,54.0407,40.5799,49.205,0,0.0
ETH,adx_14d,rsi_14d,7.9028,12.5166,49.205,57.8301,0,0.0
