underlying,x_metric,y_metric,x_low,x_high,y_low,y_high,count,occupancy_frac
ETH,adx_14d,skew_25d,7.6971,12.7634,-9.4221,-7.1063,1,0.011111
ETH,adx_14d,skew_25d,12.7634,17.8297,-9.4221,-7.1063,0,0.0
ETH,adx_14d,skew_25d,17.8297,22.896,-9.4221,-7.1063,0,0.0
ETH,adx_14d,skew_25d,22.896,27.9622,-9.4221,-7.1063,0,0.0
ETH,adx_14d,skew_25d,27.9622,33.0285,-9.4221,-7.1063,1,0.011111
ETH,adx_14d,skew_25d,33.0285,38.0948,-9.4221,-7.1063,0,0.0
ETH,adx_14d,skew_25d,38.0948,43.1611,-9.4221,-7.1063,0,0.0
ETH,adx_14d,skew_25d,43.1611,48.2273,-9.4221,-7.1063,0,0.0
ETH,adx_14d,skew_25d,48.2273,53.2936,-9.4221,-7.1063,0,0.0
ETH,adx_14d,skew_25d,53.2936,58.3599,-9.4221,-7.1063,0,0.0
ETH,adx_14d,skew_25d,7.6971,12.7634,-7.1063,-4.7905,0,0.0
ETH,adx_14d,skew_25d,12.7634,17.8297,-7.1063,-4.7905,0,0.0
ETH,adx_14d,skew_25d,17.8297,22.896,-7.1063,-4.7905,1,0.011111
ETH,adx_14d,skew_25d,22.896,27.9622,-7.1063,-4.7905,0,0.0
ETH,adx_14d,skew_25d,27.9622,33.0285,-7.1063,-4.7905,2,0.022222
ETH,adx_14d,skew_25d,33.0285,38.0948,-7.1063,-4.7905,0,0.0
ETH,adx_14d,skew_25d,38.0948,43.1611,-7.1063,-4.7905,0,0.0
ETH,adx_14d,skew_25d,43.1611,48.2273,-7.1063,-4.7905,0,0.0
ETH,adx_14d,skew_25d,48.2273,53.2936,-7.1063,-4.7905,0,0.0
ETH,adx_14d,skew_25d,53.2936,58.3599,-7.1063,-4.7905,0,0.0
ETH,adx_14d,skew_25d,7.6971,12.7634,-4.7905,-2.4747,0,0.0
ETH,adx_14d,skew_25d,12.7634,17.8297,-4.7905,-2.4747,0,0.0
ETH,adx_14d,skew_25d,17.8297,22.896,-4.7905,-2.4747,0,0.0
ETH,adx_14d,skew_25d,22.896,27.9622,-4.7905,-2.4747,1,0.011111
ETH,adx_14d,skew_25d,27.9622,33.0285,-4.7905,-2.4747,0,0.0
ETH,adx_14d,skew_25d,33.0285,38.0948,-4.7905,-2.4747,1,0.011111
ETH,adx_14d,skew_25d,38.0948,43.1611,-4.7905,-2.4747,1,0.011111
ETH,adx_14d,skew_25d,43.1611,48.2273,-4.7905,-2.4747,0,0.0
ETH,adx_14d,skew_25d,48.2273,53.2936,-4.7905,-2.4747,0,0.0
ETH,adx_14d,skew_25d,53.2936,58.3599,-4.7905,-2.4747,0,0.0
ETH,adx_14d,skew_25d,7.6971,12.7634,-2.4747,-0.1589,0,0.0
ETH,adx_14d,skew_25d,12.7634,17.8297,-2.4747,-0.1589,5,0.055556
ETH,adx_14d,skew_25d,17.8297,22.896,-2.4747,-0.1589,0,0.0
ETH,adx_14d,skew_25d,22.896,27.9622,-2.4747,-0.1589,4,0.044444
ETH,adx_14d,skew_25d,27.9622,33.0285,-2.4747,-0.1589,3,0.033333
ETH,adx_14d,skew_25d,33.0285,38.0948,-2.4747,-0.1589,1,0.011111
ETH,adx_14d,skew_25d,38.0948,43.1611,-2.4747,-0.1589,4,0.044444
ETH,adx_14d,skew_25d,43.1611,48.2273,-2.4747,-0.1589,0,0.0
ETH,adx_14d,skew_25d,48.2273,53.2936,-2.4747,-0.1589,0,0.0
ETH,adx_14d,skew_25d,53.2936,58.3599,-2.4747,-0.1589,0,0.0
ETH,adx_14d,skew_25d,7.6971,12.7634,-0.1589,2.1569,0,0.0
ETH,adx_14d,skew_25d,12.7634,17.8297,-0.1589,2.1569,2,0.022222
ETH,adx_14d,skew_25d,17.8297,22.896,-0.1589,2.1569,4,0.044444
ETH,adx_14d,skew_25d,22.896,27.9622,-0.1589,2.1569,6,0.066667
ETH,adx_14d,skew_25d,27.9622,33.0285,-0.1589,2.1569,2,0.022222
ETH,adx_14d,skew_25d,33.0285,38.0948,-0.1589,2.1569,4,0.044444
ETH,adx_14d,skew_25d,38.0948,43.1611,-0.1589,2.1569,0,0.0
ETH,adx_14d,skew_25d,43.1611,48.2273,-0.1589,2.1569,0,0.0
ETH,adx_14d,skew_25d,48.2273,53.2936,-0.1589,2.1569,0,0.0
ETH,adx_14d,skew_25d,53.2936,58.3599,-0.1589,2.1569,0,0.0
ETH,adx_14d,skew_25d,7.6971,12.7634,2.1569,4.4728,4,0.044444
ETH,adx_14d,skew_25d,12.7634,17.8297,2.1569,4.4728,0,0.0
ETH,adx_14d,skew_25d,17.8297,22.896,2.1569,4.4728,3,0.033333
ETH,adx_14d,skew_25d,22.896,27.9622,2.1569,4.4728,3,0.033333
ETH,adx_14d,skew_25d,27.9622,33.0285,2.1569,4.4728,2,0.022222
ETH,adx_14d,skew_25d,33.0285,38.0948,2.1569,4.4728,5,0.055556
ETH,adx_14d,skew_25d,38.0948,43.1611,2.1569,4.4728,1,0.011111
ETH,adx_14d,skew_25d,43.1611,48.2273,2.1569,4.4728,3,0.033333
