underlying,x_metric,y_metric,x_low,x_high,y_low,y_high,count,occupancy_frac
ETH,adx_14d,term_structure_spread,7.9028,12.5166,-8.8777,-7.2453,0,0.0
ETH,adx_14d,term_structure_spread,12.5166,17.1304,-8.8777,-7.2453,0,0.0
ETH,adx_14d,term_structure_spread,17.1304,21.7442,-8.8777,-7.2453,0,0.0
ETH,adx_14d,term_structure_spread,21.7442,26.358,-8.8777,-7.2453,0,0.0
ETH,adx_14d,term_structure_spread,26.358,30.9717,-8.8777,-7.2453,0,0.0
ETH,adx_14d,term_structure_spread,30.9717,35.5855,-8.8777,-7.2453,1,0.011111
ETH,adx_14d,term_structure_spread,35.5855,40.1993,-8.8777,-7.2453,0,0.0
ETH,adx_14d,term_structure_spread,40.1993,44.8131,-8.8777,-7.2453,0,0.0
ETH,adx_14d,term_structure_spread,44.8131,49.4269,-8.8777,-7.2453,0,0.0
ETH,adx_14d,term_structure_spread,49.4269,54.0407,-8.8777,-7.2453,0,0.0
ETH,adx_14d,term_structure_spread,7.9028,12.5166,-7.2453,-5.613,0,0.0
ETH,adx_14d,term_structure_spread,12.5166,17.1304,-7.2453,-5.613,0,0.0
ETH,adx_14d,term_structure_spread,17.1304,21.7442,-7.2453,-5.613,1,0.011111
ETH,adx_14d,term_structure_spread,21.7442,26.358,-7.2453,-5.613,1,0.011111
ETH,adx_14d,term_structure_spread,26.358,30.9717,-7.2453,-5.613,0,0.0
ETH,adx_14d,term_structure_spread,30.9717,35.5855,-7.2453,-5.613,0,0.0
ETH,adx_14d,term_structure_spread,35.5855,40.1993,-7.2453,-5.613,1,0.011111
ETH,adx_14d,term_structure_spread,40.1993,44.8131,-7.2453,-5.613,0,0.0
ETH,adx_14d,term_structure_spread,44.8131,49.4269,-7.2453,-5.613,0,0.0
ETH,adx_14d,term_structure_spread,49.4269,54.0407,-7.2453,-5.613,0,0.0
ETH,adx_14d,term_structure_spread,7.9028,12.5166,-5.613,-3.9807,0,0.0
ETH,adx_14d,term_structure_spread,12.5166,17.1304,-5.613,-3.9807,0,0.0
ETH,adx_14d,term_structure_spread,17.1304,21.7442,-5.613,-3.9807,1,0.011111
ETH,adx_14d,term_structure_spread,21.7442,26.358,-5.613,-3.9807,1,0.011111
ETH,adx_14d,term_structure_spread,26.358,30.9717,-5.613,-3.9807,3,0.033333
ETH,adx_14d,term_structure_spread,30.9717,35.5855,-5.613,-3.9807,2,0.022222
ETH,adx_14d,term_structure_spread,35.5855,40.1993,-5.613,-3.9807,1,0.011111
