underlying,x_metric,y_metric,x_low,x_high,y_low,y_high,count,occupancy_frac
ETH,chop_factor_7d,price_vs_ma200,0.4688,0.5541,-33.8854,-26.3869,0,0.0
ETH,chop_factor_7d,price_vs_ma200,0.5541,0.6393,-33.8854,-26.3869,1,0.011111
ETH,chop_factor_7d,price_vs_ma200,0.6393,0.7246,-33.8854,-26.3869,1,0.011111
ETH,chop_factor_7d,price_vs_ma200,0.7246,0.8098,-33.8854,-26.3869,0,0.0
ETH,chop_factor_7d,price_vs_ma200,0.8098,0.8951,-33.8854,-26.3869,0,0.0
ETH,chop_factor_7d,price_vs_ma200,0.8951,0.9803,-33.8854,-26.3869,1,0.011111
ETH,chop_factor_7d,price_vs_ma200,0.9803,1.0656,-33.8854,-26.3869,0,0.0
ETH,chop_factor_7d,price_vs_ma200,1.0656,1.1508,-33.8854,-26.3869,0,0.0
ETH,chop_factor_7d,price_vs_ma200,1.1508,1.2361,-33.8854,-26.3869,0,0.0
ETH,chop_factor_7d,price_vs_ma200,1.2361,1.3213,-33.8854,-26.3869,0,0.0
ETH,chop_factor_7d,price_vs_ma200,0.4688,0.5541,-26.3869,-18.8884,0,0.0
ETH,chop_factor_7d,price_vs_ma200,0.5541,0.6393,-26.3869,-18.8884,0,0.0
ETH,chop_factor_7d,price_vs_ma200,0.6393,0.7246,-26.3869,-18.8884,0,0.0
ETH,chop_factor_7d,price_vs_ma200,0.7246,0.8098,-26.3869,-18.8884,2,0.022222
ETH,chop_factor_7d,price_vs_ma200,0.8098,0.8951,-26.3869,-18.8884,0,0.0
ETH,chop_factor_7d,price_vs_ma200,0.8951,0.9803,-26.3869,-18.8884,0,0.0
ETH,chop_factor_7d,price_vs_ma200,0.9803,1.0656,-26.3869,-18.8884,0,0.0
ETH,chop_factor_7d,price_vs_ma200,1.0656,1.1508,-26.3869,-18.8884,0,0.0
ETH,chop_factor_7d,price_vs_ma200,1.1508,1.2361,-26.3869,-18.8884,0,0.0
ETH,chop_factor_7d,price_vs_ma200,1.2361,1.3213,-26.3869,-18.8884,0,0.0
ETH,chop_factor_7d,price_vs_ma200,0.4688,0.5541,-18.8884,-11.3899,0,0.0
ETH,chop_factor_7d,price_vs_ma200,0.5541,0.6393,-18.8884,-11.3899,2,0.022222
ETH,chop_factor_7d,price_vs_ma200,0.6393,0.7246,-18.8884,-11.3899,3,0.033333
ETH,chop_factor_7d,price_vs_ma200,0.7246,0.8098,-18.8884,-11.3899,1,0.011111
