underlying,x_metric,y_metric,x_low,x_high,y_low,y_high,count,occupancy_frac
ETH,iv_rank_6m,price_vs_ma200,0.0445,0.0927,-34.5704,-26.3387,0,0.0
ETH,iv_rank_6m,price_vs_ma200,0.0927,0.1409,-34.5704,-26.3387,0,0.0
ETH,iv_rank_6m,price_vs_ma200,0.1409,0.1892,-34.5704,-26.3387,0,0.0
ETH,iv_rank_6m,price_vs_ma200,0.1892,0.2374,-34.5704,-26.3387,0,0.0
ETH,iv_rank_6m,price_vs_ma200,0.2374,0.2856,-34.5704,-26.3387,0,0.0
ETH,iv_rank_6m,price_vs_ma200,0.2856,0.3338,-34.5704,-26.3387,1,0.011111
ETH,iv_rank_6m,price_vs_ma200,0.3338,0.3821,-34.5704,-26.3387,0,0.0
ETH,iv_rank_6m,price_vs_ma200,0.3821,0.4303,-34.5704,-26.3387,1,0.011111
ETH,iv_rank_6m,price_vs_ma200,0.4303,0.4785,-34.5704,-26.3387,0,0.0
ETH,iv_rank_6m,price_vs_ma200,0.4785,0.5268,-34.5704,-26.3387,0,0.0
ETH,iv_rank_6m,price_vs_ma200,0.0445,0.0927,-26.3387,-18.107,0,0.0
ETH,iv_rank_6m,price_vs_ma200,0.0927,0.1409,-26.3387,-18.107,0,0.0
ETH,iv_rank_6m,price_vs_ma200,0.1409,0.1892,-26.3387,-18.107,2,0.022222
ETH,iv_rank_6m,price_vs_ma200,0.1892,0.2374,-26.3387,-18.107,2,0.022222
ETH,iv_rank_6m,price_vs_ma200,0.2374,0.2856,-26.3387,-18.107,0,0.0
ETH,iv_rank_6m,price_vs_ma200,0.2856,0.3338,-26.3387,-18.107,0,0.0
ETH,iv_rank_6m,price_vs_ma200,0.3338,0.3821,-26.3387,-18.107,0,0.0
ETH,iv_rank_6m,price_vs_ma200,0.3821,0.4303,-26.3387,-18.107,0,0.0
ETH,iv_rank_6m,price_vs_ma200,0.4303,0.4785,-26.3387,-18.107,0,0.0
ETH,iv_rank_6m,price_vs_ma200,0.4785,0.5268,-26.3387,-18.107,0,0.0
ETH,iv_rank_6m,price_vs_ma200,0.0445,0.0927,-18.107,-9.8754,0,0.0
ETH,iv_rank_6m,price_vs_ma200,0.0927,0.1409,-18.107,-9.8754,0,0.0
ETH,iv_rank_6m,price_vs_ma200,0.1409,0.1892,-18.107,-9.8754,0,0.0
ETH,iv_rank_6m,price_vs_ma200,0.1892,0.2374,-18.107,-9.8754,3,0.033333
ETH,iv_rank_6m,price_vs_ma200,0.2374,0.2856,-18.107,-9.8754,0,0.0
ETH,iv_rank_6m,price_vs_ma200,0.2856,0.3338,-18.107,-9.8754,1,0.011111
ETH,iv_rank_6m,price_vs_ma200,0.3338,0.3821,-18.107,-9.8754,2,0.022222
ETH,iv_rank_6m,price_vs_ma200,0.3821,0.4303,-18.107,-9.8754,2,0.022222
ETH,iv_rank_6m,price_vs_ma200,0.4303,0.4785,-18.107,-9.8754,1,0.011111
