underlying,x_metric,y_metric,x_low,x_high,y_low,y_high,count,occupancy_frac
ETH,iv_rank_6m,rsi_14d,0.0445,0.0927,6.0,14.8,0,0.0
ETH,iv_rank_6m,rsi_14d,0.0927,0.1409,6.0,14.8,0,0.0
ETH,iv_rank_6m,rsi_14d,0.1409,0.1892,6.0,14.8,1,0.011111
ETH,iv_rank_6m,rsi_14d,0.1892,0.2374,6.0,14.8,0,0.0
ETH,iv_rank_6m,rsi_14d,0.2374,0.2856,6.0,14.8,0,0.0
ETH,iv_rank_6m,rsi_14d,0.2856,0.3338,6.0,14.8,1,0.011111
ETH,iv_rank_6m,rsi_14d,0.3338,0.3821,6.0,14.8,1,0.011111
ETH,iv_rank_6m,rsi_14d,0.3821,0.4303,6.0,14.8,0,0.0
ETH,iv_rank_6m,rsi_14d,0.4303,0.4785,6.0,14.8,0,0.0
ETH,iv_rank_6m,rsi_14d,0.4785,0.5268,6.0,14.8,1,0.011111
ETH,iv_rank_6m,rsi_14d,0.0445,0.0927,14.8,23.6,1,0.011111
ETH,iv_rank_6m,rsi_14d,0.0927,0.1409,14.8,23.6,0,0.0
ETH,iv_rank_6m,rsi_14d,0.1409,0.1892,14.8,23.6,0,0.0
ETH,iv_rank_6m,rsi_14d,0.1892,0.2374,14.8,23.6,0,0.0
ETH,iv_rank_6m,rsi_14d,0.2374,0.2856,14.8,23.6,2,0.022222
ETH,iv_rank_6m,rsi_14d,0.2856,0.3338,14.8,23.6,0,0.0
ETH,iv_rank_6m,rsi_14d,0.3338,0.3821,14.8,23.6,1,0.011111
ETH,iv_rank_6m,rsi_14d,0.3821,0.4303,14.8,23.6,1,0.011111
ETH,iv_rank_6m,rsi_14d,0.4303,0.4785,14.8,23.6,0,0.0
ETH,iv_rank_6m,rsi_14d,0.4785,0.5268,14.8,23.6,0,0.0
ETH,iv_rank_6m,rsi_14d,0.0445,0.0927,23.6,32.4,1,0.011111
ETH,iv_rank_6m,rsi_14d,0.0927,0.1409,23.6,32.4,1,0.011111
ETH,iv_rank_6m,rsi_14d,0.1409,0.1892,23.6,32.4,1,0.011111
ETH,iv_rank_6m,rsi_14d,0.1892,0.2374,23.6,32.4,1,0.011111
ETH,iv_rank_6m,rsi_14d,0.2374,0.2856,23.6,32.4,1,0.011111
ETH,iv_rank_6m,rsi_14d,0.2856,0.3338,23.6,32.4,2,0.022222
ETH,iv_rank_6m,rsi_14d,0.3338,0.3821,23.6,32.4,1,0.011111
ETH,iv_rank_6m,rsi_14d,0.3821,0.4303,23.6,32.4,1,0.011111
ETH,iv_rank_6m,rsi_14d,0.4303,0.4785,23.6,32.4,2,0.022222
ETH,iv_rank_6m,rsi_14d,0.4785,0.5268,23.6,32.4,0,0.0
ETH,iv_rank_6m,rsi_14d,0.0445,0.0927,32.4,41.2,0,0.0
ETH,iv_rank_6m,rsi_14d,0.0927,0.1409,32.4,41.2,1,0.011111
ETH,iv_rank_6m,rsi_14d,0.1409,0.1892,32.4,41.2,4,0.044444
ETH,iv_rank_6m,rsi_14d,0.1892,0.2374,32.4,41.2,1,0.011111
ETH,iv_rank_6m,rsi_14d,0.2374,0.2856,32.4,41.2,1,0.011111
ETH,iv_rank_6m,rsi_14d,0.2856,0.3338,32.4,41.2,0,0.0
ETH,iv_rank_6m,rsi_14d,0.3338,0.3821,32.4,41.2,2,0.022222
ETH,iv_rank_6m,rsi_14d,0.3821,0.4303,32.4,41.2,2,0.022222
ETH,iv_rank_6m,rsi_14d,0.4303,0.4785,32.4,41.2,0,0.0
ETH,iv_rank_6m,rsi_14d,0.4785,0.5268,32.4,41.2,1,0.011111
ETH,iv_rank_6m,rsi_14d,0.0445,0.0927,41.2,50.0,1,0.011111
ETH,iv_rank_6m,rsi_14d,0.0927,0.1409,41.2,50.0,0,0.0
ETH,iv_rank_6m,rsi_14d,0.1409,0.1892,41.2,50.0,0,0.0
ETH,iv_rank_6m,rsi_14d,0.1892,0.2374,41.2,50.0,3,0.033333
ETH,iv_rank_6m,rsi_14d,0.2374,0.2856,41.2,50.0,1,0.011111
ETH,iv_rank_6m,rsi_14d,0.2856,0.3338,41.2,50.0,5,0.055556
ETH,iv_rank_6m,rsi_14d,0.3338,0.3821,41.2,50.0,2,0.022222
ETH,iv_rank_6m,rsi_14d,0.3821,0.4303,41.2,50.0,3,0.033333
ETH,iv_rank_6m,rsi_14d,0.4303,0.4785,41.2,50.0,0,0.0
ETH,iv_rank_6m,rsi_14d,0.4785,0.5268,41.2,50.0,0,0.0
ETH,iv_rank_6m,rsi_14d,0.0445,0.0927,50.0,58.8,0,0.0
ETH,iv_rank_6m,rsi_14d,0.0927,0.1409,50.0,58.8,0,0.0
ETH,iv_rank_6m,rsi_14d,0.1409,0.1892,50.0,58.8,1,0.011111
