underlying,x_metric,y_metric,x_low,x_high,y_low,y_high,count,occupancy_frac
ETH,iv_rank_6m,skew_25d,0.0445,0.0927,-9.4221,-7.1063,0,0.0
ETH,iv_rank_6m,skew_25d,0.0927,0.1409,-9.4221,-7.1063,0,0.0
ETH,iv_rank_6m,skew_25d,0.1409,0.1892,-9.4221,-7.1063,0,0.0
ETH,iv_rank_6m,skew_25d,0.1892,0.2374,-9.4221,-7.1063,0,0.0
ETH,iv_rank_6m,skew_25d,0.2374,0.2856,-9.4221,-7.1063,1,0.011111
ETH,iv_rank_6m,skew_25d,0.2856,0.3338,-9.4221,-7.1063,0,0.0
ETH,iv_rank_6m,skew_25d,0.3338,0.3821,-9.4221,-7.1063,0,0.0
ETH,iv_rank_6m,skew_25d,0.3821,0.4303,-9.4221,-7.1063,1,0.011111
ETH,iv_rank_6m,skew_25d,0.4303,0.4785,-9.4221,-7.1063,0,0.0
ETH,iv_rank_6m,skew_25d,0.4785,0.5268,-9.4221,-7.1063,0,0.0
ETH,iv_rank_6m,skew_25d,0.0445,0.0927,-7.1063,-4.7905,2,0.022222
ETH,iv_rank_6m,skew_25d,0.0927,0.1409,-7.1063,-4.7905,0,0.0
ETH,iv_rank_6m,skew_25d,0.1409,0.1892,-7.1063,-4.7905,1,0.011111
ETH,iv_rank_6m,skew_25d,0.1892,0.2374,-7.1063,-4.7905,0,0.0
ETH,iv_rank_6m,skew_25d,0.2374,0.2856,-7.1063,-4.7905,0,0.0
ETH,iv_rank_6m,skew_25d,0.2856,0.3338,-7.1063,-4.7905,0,0.0
ETH,iv_rank_6m,skew_25d,0.3338,0.3821,-7.1063,-4.7905,0,0.0
ETH,iv_rank_6m,skew_25d,0.3821,0.4303,-7.1063,-4.7905,0,0.0
ETH,iv_rank_6m,skew_25d,0.4303,0.4785,-7.1063,-4.7905,0,0.0
ETH,iv_rank_6m,skew_25d,0.4785,0.5268,-7.1063,-4.7905,0,0.0
ETH,iv_rank_6m,skew_25d,0.0445,0.0927,-4.7905,-2.4747,0,0.0
ETH,iv_rank_6m,skew_25d,0.0927,0.1409,-4.7905,-2.4747,1,0.011111
ETH,iv_rank_6m,skew_25d,0.1409,0.1892,-4.7905,-2.4747,0,0.0
ETH,iv_rank_6m,skew_25d,0.1892,0.2374,-4.7905,-2.4747,0,0.0
ETH,iv_rank_6m,skew_25d,0.2374,0.2856,-4.7905,-2.4747,0,0.0
ETH,iv_rank_6m,skew_25d,0.2856,0.3338,-4.7905,-2.4747,0,0.0
ETH,iv_rank_6m,skew_25d,0.3338,0.3821,-4.7905,-2.4747,0,0.0
ETH,iv_rank_6m,skew_25d,0.3821,0.4303,-4.7905,-2.4747,2,0.022222
ETH,iv_rank_6m,skew_25d,0.4303,0.4785,-4.7905,-2.4747,0,0.0
ETH,iv_rank_6m,skew_25d,0.4785,0.5268,-4.7905,-2.4747,0,0.0
ETH,iv_rank_6m,skew_25d,0.0445,0.0927,-2.4747,-0.1589,0,0.0
ETH,iv_rank_6m,skew_25d,0.0927,0.1409,-2.4747,-0.1589,1,0.011111
ETH,iv_rank_6m,skew_25d,0.1409,0.1892,-2.4747,-0.1589,3,0.033333
ETH,iv_rank_6m,skew_25d,0.1892,0.2374,-2.4747,-0.1589,0,0.0
ETH,iv_rank_6m,skew_25d,0.2374,0.2856,-2.4747,-0.1589,1,0.011111
ETH,iv_rank_6m,skew_25d,0.2856,0.3338,-2.4747,-0.1589,4,0.044444
ETH,iv_rank_6m,skew_25d,0.3338,0.3821,-2.4747,-0.1589,3,0.033333
ETH,iv_rank_6m,skew_25d,0.3821,0.4303,-2.4747,-0.1589,3,0.033333
ETH,iv_rank_6m,skew_25d,0.4303,0.4785,-2.4747,-0.1589,1,0.011111
ETH,iv_rank_6m,skew_25d,0.4785,0.5268,-2.4747,-0.1589,1,0.011111
ETH,iv_rank_6m,skew_25d,0.0445,0.0927,-0.1589,2.1569,0,0.0
ETH,iv_rank_6m,skew_25d,0.0927,0.1409,-0.1589,2.1569,1,0.011111
ETH,iv_rank_6m,skew_25d,0.1409,0.1892,-0.1589,2.1569,0,0.0
ETH,iv_rank_6m,skew_25d,0.1892,0.2374,-0.1589,2.1569,2,0.022222
ETH,iv_rank_6m,skew_25d,0.2374,0.2856,-0.1589,2.1569,3,0.033333
