underlying,x_metric,y_metric,x_low,x_high,y_low,y_high,count,occupancy_frac
ETH,iv_rank_6m,term_structure_spread,0.0453,0.095,-8.8777,-7.2453,0,0.0
ETH,iv_rank_6m,term_structure_spread,0.095,0.1448,-8.8777,-7.2453,0,0.0
ETH,iv_rank_6m,term_structure_spread,0.1448,0.1945,-8.8777,-7.2453,0,0.0
ETH,iv_rank_6m,term_structure_spread,0.1945,0.2442,-8.8777,-7.2453,0,0.0
ETH,iv_rank_6m,term_structure_spread,0.2442,0.2939,-8.8777,-7.2453,0,0.0
ETH,iv_rank_6m,term_structure_spread,0.2939,0.3436,-8.8777,-7.2453,0,0.0
ETH,iv_rank_6m,term_structure_spread,0.3436,0.3933,-8.8777,-7.2453,0,0.0
ETH,iv_rank_6m,term_structure_spread,0.3933,0.4431,-8.8777,-7.2453,0,0.0
ETH,iv_rank_6m,term_structure_spread,0.4431,0.4928,-8.8777,-7.2453,0,0.0
ETH,iv_rank_6m,term_structure_spread,0.4928,0.5425,-8.8777,-7.2453,1,0.011111
ETH,iv_rank_6m,term_structure_spread,0.0453,0.095,-7.2453,-5.613,0,0.0
ETH,iv_rank_6m,term_structure_spread,0.095,0.1448,-7.2453,-5.613,1,0.011111
ETH,iv_rank_6m,term_structure_spread,0.1448,0.1945,-7.2453,-5.613,0,0.0
ETH,iv_rank_6m,term_structure_spread,0.1945,0.2442,-7.2453,-5.613,0,0.0
ETH,iv_rank_6m,term_structure_spread,0.2442,0.2939,-7.2453,-5.613,1,0.011111
ETH,iv_rank_6m,term_structure_spread,0.2939,0.3436,-7.2453,-5.613,0,0.0
ETH,iv_rank_6m,term_structure_spread,0.3436,0.3933,-7.2453,-5.613,0,0.0
ETH,iv_rank_6m,term_structure_spread,0.3933,0.4431,-7.2453,-5.613,1,0.011111
ETH,iv_rank_6m,term_structure_spread,0.4431,0.4928,-7.2453,-5.613,0,0.0
ETH,iv_rank_6m,term_structure_spread,0.4928,0.5425,-7.2453,-5.613,0,0.0
ETH,iv_rank_6m,term_structure_spread,0.0453,0.095,-5.613,-3.9807,0,0.0
ETH,iv_rank_6m,term_structure_spread,0.095,0.1448,-5.613,-3.9807,1,0.011111
ETH,iv_rank_6m,term_structure_spread,0.1448,0.1945,-5.613,-3.9807,3,0.033333
ETH,iv_rank_6m,term_structure_spread,0.1945,0.2442,-5.613,-3.9807,1,0.011111
ETH,iv_rank_6m,term_structure_spread,0.2442,0.2939,-5.613,-3.9807,0,0.0
ETH,iv_rank_6m,term_structure_spread,0.2939,0.3436,-5.613,-3.9807,0,0.0
ETH,iv_rank_6m,term_structure_spread,0.3436,0.3933,-5.613,-3.9807,4,0.044444
ETH,iv_rank_6m,term_structure_spread,0.3933,0.4431,-5.613,-3.9807,0,0.0
ETH,iv_rank_6m,term_structure_spread,0.4431,0.4928,-5.613,-3.9807,0,0.0
ETH,iv_rank_6m,term_structure_spread,0.4928,0.5425,-5.613,-3.9807,0,0.0
ETH,iv_rank_6m,term_structure_spread,0.0453,0.095,-3.9807,-2.3484,0,0.0
ETH,iv_rank_6m,term_structure_spread,0.095,0.1448,-3.9807,-2.3484,0,0.0
ETH,iv_rank_6m,term_structure_spread,0.1448,0.1945,-3.9807,-2.3484,1,0.011111
ETH,iv_rank_6m,term_structure_spread,0.1945,0.2442,-3.9807,-2.3484,3,0.033333
ETH,iv_rank_6m,term_structure_spread,0.2442,0.2939,-3.9807,-2.3484,1,0.011111
ETH,iv_rank_6m,term_structure_spread,0.2939,0.3436,-3.9807,-2.3484,5,0.055556
ETH,iv_rank_6m,term_structure_spread,0.3436,0.3933,-3.9807,-2.3484,4,0.044444
ETH,iv_rank_6m,term_structure_spread,0.3933,0.4431,-3.9807,-2.3484,1,0.011111
ETH,iv_rank_6m,term_structure_spread,0.4431,0.4928,-3.9807,-2.3484,1,0.011111
ETH,iv_rank_6m,term_structure_spread,0.4928,0.5425,-3.9807,-2.3484,0,0.0
ETH,iv_rank_6m,term_structure_spread,0.0453,0.095,-2.3484,-0.7161,0,0.0
ETH,iv_rank_6m,term_structure_spread,0.095,0.1448,-2.3484,-0.7161,0,0.0
ETH,iv_rank_6m,term_structure_spread,0.1448,0.1945,-2.3484,-0.7161,1,0.011111
ETH,iv_rank_6m,term_structure_spread,0.1945,0.2442,-2.3484,-0.7161,1,0.011111
