underlying,x_metric,y_metric,x_low,x_high,y_low,y_high,count,occupancy_frac
ETH,price_vs_ma200,rsi_14d,-34.5704,-26.3387,6.0,14.8,1,0.011111
ETH,price_vs_ma200,rsi_14d,-26.3387,-18.107,6.0,14.8,0,0.0
ETH,price_vs_ma200,rsi_14d,-18.107,-9.8754,6.0,14.8,0,0.0
ETH,price_vs_ma200,rsi_14d,-9.8754,-1.6437,6.0,14.8,0,0.0
ETH,price_vs_ma200,rsi_14d,-1.6437,6.588,6.0,14.8,1,0.011111
ETH,price_vs_ma200,rsi_14d,6.588,14.8196,6.0,14.8,2,0.022222
ETH,price_vs_ma200,rsi_14d,14.8196,23.0513,6.0,14.8,0,0.0
ETH,price_vs_ma200,rsi_14d,23.0513,31.283,6.0,14.8,0,0.0
ETH,price_vs_ma200,rsi_14d,31.283,39.5146,6.0,14.8,0,0.0
ETH,price_vs_ma200,rsi_14d,39.5146,47.7463,6.0,14.8,0,0.0
ETH,price_vs_ma200,rsi_14d,-34.5704,-26.3387,14.8,23.6,0,0.0
ETH,price_vs_ma200,rsi_14d,-26.3387,-18.107,14.8,23.6,0,0.0
ETH,price_vs_ma200,rsi_14d,-18.107,-9.8754,14.8,23.6,0,0.0
ETH,price_vs_ma200,rsi_14d,-9.8754,-1.6437,14.8,23.6,1,0.011111
ETH,price_vs_ma200,rsi_14d,-1.6437,6.588,14.8,23.6,1,0.011111
ETH,price_vs_ma200,rsi_14d,6.588,14.8196,14.8,23.6,1,0.011111
ETH,price_vs_ma200,rsi_14d,14.8196,23.0513,14.8,23.6,1,0.011111
ETH,price_vs_ma200,rsi_14d,23.0513,31.283,14.8,23.6,1,0.011111
ETH,price_vs_ma200,rsi_14d,31.283,39.5146,14.8,23.6,0,0.0
ETH,price_vs_ma200,rsi_14d,39.5146,47.7463,14.8,23.6,0,0.0
ETH,price_vs_ma200,rsi_14d,-34.5704,-26.3387,23.6,32.4,0,0.0
ETH,price_vs_ma200,rsi_14d,-26.3387,-18.107,23.6,32.4,0,0.0
ETH,price_vs_ma200,rsi_14d,-18.107,-9.8754,23.6,32.4,0,0.0
ETH,price_vs_ma200,rsi_14d,-9.8754,-1.6437,23.6,32.4,1,0.011111
ETH,price_vs_ma200,rsi_14d,-1.6437,6.588,23.6,32.4,2,0.022222
ETH,price_vs_ma200,rsi_14d,6.588,14.8196,23.6,32.4,5,0.055556
ETH,price_vs_ma200,rsi_14d,14.8196,23.0513,23.6,32.4,2,0.022222
ETH,price_vs_ma200,rsi_14d,23.0513,31.283,23.6,32.4,0,0.0
ETH,price_vs_ma200,rsi_14d,31.283,39.5146,23.6,32.4,0,0.0
ETH,price_vs_ma200,rsi_14d,39.5146,47.7463,23.6,32.4,1,0.011111
ETH,price_vs_ma200,rsi_14d,-34.5704,-26.3387,32.4,41.2,1,0.011111
ETH,price_vs_ma200,rsi_14d,-26.3387,-18.107,32.4,41.2,1,0.011111
ETH,price_vs_ma200,rsi_14d,-18.107,-9.8754,32.4,41.2,0,0.0
ETH,price_vs_ma200,rsi_14d,-9.8754,-1.6437,32.4,41.2,2,0.022222
ETH,price_vs_ma200,rsi_14d,-1.6437,6.588,32.4,41.2,1,0.011111
ETH,price_vs_ma200,rsi_14d,6.588,14.8196,32.4,41.2,3,0.033333
ETH,price_vs_ma200,rsi_14d,14.8196,23.0513,32.4,41.2,1,0.011111
ETH,price_vs_ma200,rsi_14d,23.0513,31.283,32.4,41.2,2,0.022222
ETH,price_vs_ma200,rsi_14d,31.283,39.5146,32.4,41.2,0,0.0
ETH,price_vs_ma200,rsi_14d,39.5146,47.7463,32.4,41.2,1,0.011111
ETH,price_vs_ma200,rsi_14d,-34.5704,-26.3387,41.2,50.0,0,0.0
ETH,price_vs_ma200,rsi_14d,-26.3387,-18.107,41.2,50.0,1,0.011111
ETH,price_vs_ma200,rsi_14d,-18.107,-9.8754,41.2,50.0,4,0.044444
ETH,price_vs_ma200,rsi_14d,-9.8754,-1.6437,41.2,50.0,1,0.011111
ETH,price_vs_ma200,rsi_14d,-1.6437,6.588,41.2,50.0,3,0.033333
ETH,price_vs_ma200,rsi_14d,6.588,14.8196,41.2,50.0,2,0.022222
ETH,price_vs_ma200,rsi_14d,14.8196,23.0513,41.2,50.0,2,0.022222
ETH,price_vs_ma200,rsi_14d,23.0513,31.283,41.2,50.0,2,0.022222
ETH,price_vs_ma200,rsi_14d,31.283,39.5146,41.2,50.0,0,0.0
