underlying,x_metric,y_metric,x_low,x_high,y_low,y_high,count,occupancy_frac
ETH,skew_25d,chop_factor_7d,-11.9623,-9.3821,0.4688,0.5541,0,0.0
ETH,skew_25d,chop_factor_7d,-9.3821,-6.8019,0.4688,0.5541,0,0.0
ETH,skew_25d,chop_factor_7d,-6.8019,-4.2217,0.4688,0.5541,0,0.0
ETH,skew_25d,chop_factor_7d,-4.2217,-1.6415,0.4688,0.5541,0,0.0
ETH,skew_25d,chop_factor_7d,-1.6415,0.9387,0.4688,0.5541,1,0.011111
ETH,skew_25d,chop_factor_7d,0.9387,3.5189,0.4688,0.5541,1,0.011111
ETH,skew_25d,chop_factor_7d,3.5189,6.0991,0.4688,0.5541,2,0.022222
ETH,skew_25d,chop_factor_7d,6.0991,8.6793,0.4688,0.5541,0,0.0
ETH,skew_25d,chop_factor_7d,8.6793,11.2595,0.4688,0.5541,0,0.0
ETH,skew_25d,chop_factor_7d,11.2595,13.8397,0.4688,0.5541,0,0.0
ETH,skew_25d,chop_factor_7d,-11.9623,-9.3821,0.5541,0.6393,0,0.0
ETH,skew_25d,chop_factor_7d,-9.3821,-6.8019,0.5541,0.6393,1,0.011111
ETH,skew_25d,chop_factor_7d,-6.8019,-4.2217,0.5541,0.6393,1,0.011111
ETH,skew_25d,chop_factor_7d,-4.2217,-1.6415,0.5541,0.6393,0,0.0
ETH,skew_25d,chop_factor_7d,-1.6415,0.9387,0.5541,0.6393,0,0.0
ETH,skew_25d,chop_factor_7d,0.9387,3.5189,0.5541,0.6393,2,0.022222
ETH,skew_25d,chop_factor_7d,3.5189,6.0991,0.5541,0.6393,3,0.033333
ETH,skew_25d,chop_factor_7d,6.0991,8.6793,0.5541,0.6393,1,0.011111
ETH,skew_25d,chop_factor_7d,8.6793,11.2595,0.5541,0.6393,1,0.011111
ETH,skew_25d,chop_factor_7d,11.2595,13.8397,0.5541,0.6393,0,0.0
ETH,skew_25d,chop_factor_7d,-11.9623,-9.3821,0.6393,0.7246,0,0.0
ETH,skew_25d,chop_factor_7d,-9.3821,-6.8019,0.6393,0.7246,0,0.0
ETH,skew_25d,chop_factor_7d,-6.8019,-4.2217,0.6393,0.7246,2,0.022222
ETH,skew_25d,chop_factor_7d,-4.2217,-1.6415,0.6393,0.7246,0,0.0
ETH,skew_25d,chop_factor_7d,-1.6415,0.9387,0.6393,0.7246,5,0.055556
ETH,skew_25d,chop_factor_7d,0.9387,3.5189,0.6393,0.7246,4,0.044444
ETH,skew_25d,chop_factor_7d,3.5189,6.0991,0.6393,0.7246,1,0.011111
ETH,skew_25d,chop_factor_7d,6.0991,8.6793,0.6393,0.7246,1,0.011111
ETH,skew_25d,chop_factor_7d,8.6793,11.2595,0.6393,0.7246,0,0.0
ETH,skew_25d,chop_factor_7d,11.2595,13.8397,0.6393,0.7246,0,0.0
ETH,skew_25d,chop_factor_7d,-11.9623,-9.3821,0.7246,0.8098,0,0.0
ETH,skew_25d,chop_factor_7d,-9.3821,-6.8019,0.7246,0.8098,0,0.0
ETH,skew_25d,chop_factor_7d,-6.8019,-4.2217,0.7246,0.8098,1,0.011111
ETH,skew_25d,chop_factor_7d,-4.2217,-1.6415,0.7246,0.8098,4,0.044444
ETH,skew_25d,chop_factor_7d,-1.6415,0.9387,0.7246,0.8098,2,0.022222
ETH,skew_25d,chop_factor_7d,0.9387,3.5189,0.7246,0.8098,3,0.033333
ETH,skew_25d,chop_factor_7d,3.5189,6.0991,0.7246,0.8098,3,0.033333
ETH,skew_25d,chop_factor_7d,6.0991,8.6793,0.7246,0.8098,2,0.022222
ETH,skew_25d,chop_factor_7d,8.6793,11.2595,0.7246,0.8098,3,0.033333
ETH,skew_25d,chop_factor_7d,11.2595,13.8397,0.7246,0.8098,1,0.011111
ETH,skew_25d,chop_factor_7d,-11.9623,-9.3821,0.8098,0.8951,0,0.0
ETH,skew_25d,chop_factor_7d,-9.3821,-6.8019,0.8098,0.8951,0,0.0
ETH,skew_25d,chop_factor_7d,-6.8019,-4.2217,0.8098,0.8951,3,0.033333
ETH,skew_25d,chop_factor_7d,-4.2217,-1.6415,0.8098,0.8951,2,0.022222
ETH,skew_25d,chop_factor_7d,-1.6415,0.9387,0.8098,0.8951,0,0.0
ETH,skew_25d,chop_factor_7d,0.9387,3.5189,0.8098,0.8951,4,0.044444
ETH,skew_25d,chop_factor_7d,3.5189,6.0991,0.8098,0.8951,3,0.033333
ETH,skew_25d,chop_factor_7d,6.0991,8.6793,0.8098,0.8951,0,0.0
ETH,skew_25d,chop_factor_7d,8.6793,11.2595,0.8098,0.8951,3,0.033333
