underlying,x_metric,y_metric,x_low,x_high,y_low,y_high,count,occupancy_frac
ETH,skew_25d,price_vs_ma200,-9.4221,-7.1063,-34.5704,-26.3387,1,0.011111
ETH,skew_25d,price_vs_ma200,-7.1063,-4.7905,-34.5704,-26.3387,0,0.0
ETH,skew_25d,price_vs_ma200,-4.7905,-2.4747,-34.5704,-26.3387,0,0.0
ETH,skew_25d,price_vs_ma200,-2.4747,-0.1589,-34.5704,-26.3387,0,0.0
ETH,skew_25d,price_vs_ma200,-0.1589,2.1569,-34.5704,-26.3387,0,0.0
ETH,skew_25d,price_vs_ma200,2.1569,4.4728,-34.5704,-26.3387,0,0.0
ETH,skew_25d,price_vs_ma200,4.4728,6.7886,-34.5704,-26.3387,0,0.0
ETH,skew_25d,price_vs_ma200,6.7886,9.1044,-34.5704,-26.3387,1,0.011111
ETH,skew_25d,price_vs_ma200,9.1044,11.4202,-34.5704,-26.3387,0,0.0
ETH,skew_25d,price_vs_ma200,11.4202,13.736,-34.5704,-26.3387,0,0.0
ETH,skew_25d,price_vs_ma200,-9.4221,-7.1063,-26.3387,-18.107,0,0.0
ETH,skew_25d,price_vs_ma200,-7.1063,-4.7905,-26.3387,-18.107,0,0.0
ETH,skew_25d,price_vs_ma200,-4.7905,-2.4747,-26.3387,-18.107,0,0.0
ETH,skew_25d,price_vs_ma200,-2.4747,-0.1589,-26.3387,-18.107,1,0.011111
ETH,skew_25d,price_vs_ma200,-0.1589,2.1569,-26.3387,-18.107,0,0.0
ETH,skew_25d,price_vs_ma200,2.1569,4.4728,-26.3387,-18.107,1,0.011111
ETH,skew_25d,price_vs_ma200,4.4728,6.7886,-26.3387,-18.107,2,0.022222
ETH,skew_25d,price_vs_ma200,6.7886,9.1044,-26.3387,-18.107,0,0.0
ETH,skew_25d,price_vs_ma200,9.1044,11.4202,-26.3387,-18.107,0,0.0
ETH,skew_25d,price_vs_ma200,11.4202,13.736,-26.3387,-18.107,0,0.0
ETH,skew_25d,price_vs_ma200,-9.4221,-7.1063,-18.107,-9.8754,0,0.0
ETH,skew_25d,price_vs_ma200,-7.1063,-4.7905,-18.107,-9.8754,0,0.0
ETH,skew_25d,price_vs_ma200,-4.7905,-2.4747,-18.107,-9.8754,0,0.0
ETH,skew_25d,price_vs_ma200,-2.4747,-0.1589,-18.107,-9.8754,0,0.0
ETH,skew_25d,price_vs_ma200,-0.1589,2.1569,-18.107,-9.8754,4,0.044444
ETH,skew_25d,price_vs_ma200,2.1569,4.4728,-18.107,-9.8754,1,0.011111
ETH,skew_25d,price_vs_ma200,4.4728,6.7886,-18.107,-9.8754,2,0.022222
ETH,skew_25d,price_vs_ma200,6.7886,9.1044,-18.107,-9.8754,1,0.011111
ETH,skew_25d,price_vs_ma200,9.1044,11.4202,-18.107,-9.8754,1,0.011111
ETH,skew_25d,price_vs_ma200,11.4202,13.736,-18.107,-9.8754,0,0.0
ETH,skew_25d,price_vs_ma200,-9.4221,-7.1063,-9.8754,-1.6437,0,0.0
ETH,skew_25d,price_vs_ma200,-7.1063,-4.7905,-9.8754,-1.6437,1,0.011111
ETH,skew_25d,price_vs_ma200,-4.7905,-2.4747,-9.8754,-1.6437,0,0.0
ETH,skew_25d,price_vs_ma200,-2.4747,-0.1589,-9.8754,-1.6437,4,0.044444
ETH,skew_25d,price_vs_ma200,-0.1589,2.1569,-9.8754,-1.6437,2,0.022222
ETH,skew_25d,price_vs_ma200,2.1569,4.4728,-9.8754,-1.6437,5,0.055556
ETH,skew_25d,price_vs_ma200,4.4728,6.7886,-9.8754,-1.6437,0,0.0
ETH,skew_25d,price_vs_ma200,6.7886,9.1044,-9.8754,-1.6437,1,0.011111
ETH,skew_25d,price_vs_ma200,9.1044,11.4202,-9.8754,-1.6437,0,0.0
ETH,skew_25d,price_vs_ma200,11.4202,13.736,-9.8754,-1.6437,0,0.0
ETH,skew_25d,price_vs_ma200,-9.4221,-7.1063,-1.6437,6.588,1,0.011111
ETH,skew_25d,price_vs_ma200,-7.1063,-4.7905,-1.6437,6.588,0,0.0
ETH,skew_25d,price_vs_ma200,-4.7905,-2.4747,-1.6437,6.588,0,0.0
ETH,skew_25d,price_vs_ma200,-2.4747,-0.1589,-1.6437,6.588,2,0.022222
ETH,skew_25d,price_vs_ma200,-0.1589,2.1569,-1.6437,6.588,3,0.033333
ETH,skew_25d,price_vs_ma200,2.1569,4.4728,-1.6437,6.588,6,0.066667
ETH,skew_25d,price_vs_ma200,4.4728,6.7886,-1.6437,6.588,3,0.033333
ETH,skew_25d,price_vs_ma200,6.7886,9.1044,-1.6437,6.588,0,0.0
ETH,skew_25d,price_vs_ma200,9.1044,11.4202,-1.6437,6.588,0,0.0
ETH,skew_25d,price_vs_ma200,11.4202,13.736,-1.6437,6.588,0,0.0
ETH,skew_25d,price_vs_ma200,-9.4221,-7.1063,6.588,14.8196,0,0.0
ETH,skew_25d,price_vs_ma200,-7.1063,-4.7905,6.588,14.8196,2,0.022222
ETH,skew_25d,price_vs_ma200,-4.7905,-2.4747,6.588,14.8196,2,0.022222
ETH,skew_25d,price_vs_ma200,-2.4747,-0.1589,6.588,14.8196,4,0.044444
ETH,skew_25d,price_vs_ma200,-0.1589,2.1569,6.588,14.8196,4,0.044444
ETH,skew_25d,price_vs_ma200,2.1569,4.4728,6.588,14.8196,2,0.022222
ETH,skew_25d,price_vs_ma200,4.4728,6.7886,6.588,14.8196,4,0.044444
ETH,skew_25d,price_vs_ma200,6.7886,9.1044,6.588,14.8196,2,0.022222
ETH,skew_25d,price_vs_ma200,9.1044,11.4202,6.588,14.8196,1,0.011111
ETH,skew_25d,price_vs_ma200,11.4202,13.736,6.588,14.8196,0,0.0
ETH,skew_25d,price_vs_ma200,-9.4221,-7.1063,14.8196,23.0513,0,0.0
