underlying,x_metric,y_metric,x_low,x_high,y_low,y_high,count,occupancy_frac
ETH,skew_25d,rsi_14d,-11.9623,-9.3821,6.0795,14.7046,0,0.0
ETH,skew_25d,rsi_14d,-9.3821,-6.8019,6.0795,14.7046,0,0.0
ETH,skew_25d,rsi_14d,-6.8019,-4.2217,6.0795,14.7046,0,0.0
ETH,skew_25d,rsi_14d,-4.2217,-1.6415,6.0795,14.7046,0,0.0
ETH,skew_25d,rsi_14d,-1.6415,0.9387,6.0795,14.7046,0,0.0
ETH,skew_25d,rsi_14d,0.9387,3.5189,6.0795,14.7046,3,0.033333
ETH,skew_25d,rsi_14d,3.5189,6.0991,6.0795,14.7046,0,0.0
ETH,skew_25d,rsi_14d,6.0991,8.6793,6.0795,14.7046,0,0.0
ETH,skew_25d,rsi_14d,8.6793,11.2595,6.0795,14.7046,1,0.011111
ETH,skew_25d,rsi_14d,11.2595,13.8397,6.0795,14.7046,0,0.0
ETH,skew_25d,rsi_14d,-11.9623,-9.3821,14.7046,23.3297,0,0.0
ETH,skew_25d,rsi_14d,-9.3821,-6.8019,14.7046,23.3297,0,0.0
ETH,skew_25d,rsi_14d,-6.8019,-4.2217,14.7046,23.3297,0,0.0
ETH,skew_25d,rsi_14d,-4.2217,-1.6415,14.7046,23.3297,1,0.011111
ETH,skew_25d,rsi_14d,-1.6415,0.9387,14.7046,23.3297,1,0.011111
ETH,skew_25d,rsi_14d,0.9387,3.5189,14.7046,23.3297,1,0.011111
ETH,skew_25d,rsi_14d,3.5189,6.0991,14.7046,23.3297,2,0.022222
ETH,skew_25d,rsi_14d,6.0991,8.6793,14.7046,23.3297,0,0.0
ETH,skew_25d,rsi_14d,8.6793,11.2595,14.7046,23.3297,0,0.0
ETH,skew_25d,rsi_14d,11.2595,13.8397,14.7046,23.3297,0,0.0
ETH,skew_25d,rsi_14d,-11.9623,-9.3821,23.3297,31.9548,0,0.0
ETH,skew_25d,rsi_14d,-9.3821,-6.8019,23.3297,31.9548,1,0.011111
ETH,skew_25d,rsi_14d,-6.8019,-4.2217,23.3297,31.9548,1,0.011111
ETH,skew_25d,rsi_14d,-4.2217,-1.6415,23.3297,31.9548,0,0.0
ETH,skew_25d,rsi_14d,-1.6415,0.9387,23.3297,31.9548,1,0.011111
ETH,skew_25d,rsi_14d,0.9387,3.5189,23.3297,31.9548,2,0.022222
ETH,skew_25d,rsi_14d,3.5189,6.0991,23.3297,31.9548,0,0.0
ETH,skew_25d,rsi_14d,6.0991,8.6793,23.3297,31.9548,1,0.011111
ETH,skew_25d,rsi_14d,8.6793,11.2595,23.3297,31.9548,0,0.0
ETH,skew_25d,rsi_14d,11.2595,13.8397,23.3297,31.9548,0,0.0
ETH,skew_25d,rsi_14d,-11.9623,-9.3821,31.9548,40.5799,0,0.0
ETH,skew_25d,rsi_14d,-9.3821,-6.8019,31.9548,40.5799,0,0.0
ETH,skew_25d,rsi_14d,-6.8019,-4.2217,31.9548,40.5799,1,0.011111
ETH,skew_25d,rsi_14d,-4.2217,-1.6415,31.9548,40.5799,0,0.0
ETH,skew_25d,rsi_14d,-1.6415,0.9387,31.9548,40.5799,1,0.011111
ETH,skew_25d,rsi_14d,0.9387,3.5189,31.9548,40.5799,2,0.022222
ETH,skew_25d,rsi_14d,3.5189,6.0991,31.9548,40.5799,2,0.022222
ETH,skew_25d,rsi_14d,6.0991,8.6793,31.9548,40.5799,1,0.011111
ETH,skew_25d,rsi_14d,8.6793,11.2595,31.9548,40.5799,1,0.011111
ETH,skew_25d,rsi_14d,11.2595,13.8397,31.9548,40.5799,0,0.0
ETH,skew_25d,rsi_14d,-11.9623,-9.3821,40.5799,49.205,1,0.011111
ETH,skew_25d,rsi_14d,-9.3821,-6.8019,40.5799,49.205,0,0.0
ETH,skew_25d,rsi_14d,-6.8019,-4.2217,40.5799,49.205,2,0.022222
