underlying,x_metric,y_metric,x_low,x_high,y_low,y_high,count,occupancy_frac
ETH,skew_25d,term_structure_spread,-9.4221,-7.1063,-9.3996,-7.6599,0,0.0
ETH,skew_25d,term_structure_spread,-7.1063,-4.7905,-9.3996,-7.6599,0,0.0
ETH,skew_25d,term_structure_spread,-4.7905,-2.4747,-9.3996,-7.6599,0,0.0
ETH,skew_25d,term_structure_spread,-2.4747,-0.1589,-9.3996,-7.6599,0,0.0
ETH,skew_25d,term_structure_spread,-0.1589,2.1569,-9.3996,-7.6599,0,0.0
ETH,skew_25d,term_structure_spread,2.1569,4.4728,-9.3996,-7.6599,0,0.0
ETH,skew_25d,term_structure_spread,4.4728,6.7886,-9.3996,-7.6599,1,0.011111
ETH,skew_25d,term_structure_spread,6.7886,9.1044,-9.3996,-7.6599,0,0.0
ETH,skew_25d,term_structure_spread,9.1044,11.4202,-9.3996,-7.6599,0,0.0
ETH,skew_25d,term_structure_spread,11.4202,13.736,-9.3996,-7.6599,0,0.0
ETH,skew_25d,term_structure_spread,-9.4221,-7.1063,-7.6599,-5.9201,0,0.0
ETH,skew_25d,term_structure_spread,-7.1063,-4.7905,-7.6599,-5.9201,0,0.0
ETH,skew_25d,term_structure_spread,-4.7905,-2.4747,-7.6599,-5.9201,0,0.0
ETH,skew_25d,term_structure_spread,-2.4747,-0.1589,-7.6599,-5.9201,0,0.0
ETH,skew_25d,term_structure_spread,-0.1589,2.1569,-7.6599,-5.9201,0,0.0
ETH,skew_25d,term_structure_spread,2.1569,4.4728,-7.6599,-5.9201,0,0.0
ETH,skew_25d,term_structure_spread,4.4728,6.7886,-7.6599,-5.9201,3,0.033333
ETH,skew_25d,term_structure_spread,6.7886,9.1044,-7.6599,-5.9201,0,0.0
ETH,skew_25d,term_structure_spread,9.1044,11.4202,-7.6599,-5.9201,0,0.0
ETH,skew_25d,term_structure_spread,11.4202,13.736,-7.6599,-5.9201,0,0.0
ETH,skew_25d,term_structure_spread,-9.4221,-7.1063,-5.9201,-4.1803,0,0.0
ETH,skew_25d,term_structure_spread,-7.1063,-4.7905,-5.9201,-4.1803,1,0.011111
ETH,skew_25d,term_structure_spread,-4.7905,-2.4747,-5.9201,-4.1803,0,0.0
ETH,skew_25d,term_structure_spread,-2.4747,-0.1589,-5.9201,-4.1803,0,0.0
ETH,skew_25d,term_structure_spread,-0.1589,2.1569,-5.9201,-4.1803,1,0.011111
ETH,skew_25d,term_structure_spread,2.1569,4.4728,-5.9201,-4.1803,1,0.011111
ETH,skew_25d,term_structure_spread,4.4728,6.7886,-5.9201,-4.1803,1,0.011111
ETH,skew_25d,term_structure_spread,6.7886,9.1044,-5.9201,-4.1803,1,0.011111
ETH,skew_25d,term_structure_spread,9.1044,11.4202,-5.9201,-4.1803,0,0.0
ETH,skew_25d,term_structure_spread,11.4202,13.736,-5.9201,-4.1803,0,0.0
ETH,skew_25d,term_structure_spread,-9.4221,-7.1063,-4.1803,-2.4406,0,0.0
ETH,skew_25d,term_structure_spread,-7.1063,-4.7905,-4.1803,-2.4406,1,0.011111
ETH,skew_25d,term_structure_spread,-4.7905,-2.4747,-4.1803,-2.4406,1,0.011111
ETH,skew_25d,term_structure_spread,-2.4747,-0.1589,-4.1803,-2.4406,5,0.055556
ETH,skew_25d,term_structure_spread,-0.1589,2.1569,-4.1803,-2.4406,1,0.011111
ETH,skew_25d,term_structure_spread,2.1569,4.4728,-4.1803,-2.4406,1,0.011111
ETH,skew_25d,term_structure_spread,4.4728,6.7886,-4.1803,-2.4406,3,0.033333
ETH,skew_25d,term_structure_spread,6.7886,9.1044,-4.1803,-2.4406,0,0.0
ETH,skew_25d,term_structure_spread,9.1044,11.4202,-4.1803,-2.4406,0,0.0
ETH,skew_25d,term_structure_spread,11.4202,13.736,-4.1803,-2.4406,0,0.0
ETH,skew_25d,term_structure_spread,-9.4221,-7.1063,-2.4406,-0.7008,1,0.011111
ETH,skew_25d,term_structure_spread,-7.1063,-4.7905,-2.4406,-0.7008,0,0.0
ETH,skew_25d,term_structure_spread,-4.7905,-2.4747,-2.4406,-0.7008,0,0.0
ETH,skew_25d,term_structure_spread,-2.4747,-0.1589,-2.4406,-0.7008,1,0.011111
ETH,skew_25d,term_structure_spread,-0.1589,2.1569,-2.4406,-0.7008,4,0.044444
ETH,skew_25d,term_structure_spread,2.1569,4.4728,-2.4406,-0.7008,3,0.033333
ETH,skew_25d,term_structure_spread,4.4728,6.7886,-2.4406,-0.7008,2,0.022222
ETH,skew_25d,term_structure_spread,6.7886,9.1044,-2.4406,-0.7008,2,0.022222
ETH,skew_25d,term_structure_spread,9.1044,11.4202,-2.4406,-0.7008,0,0.0
ETH,skew_25d,term_structure_spread,11.4202,13.736,-2.4406,-0.7008,0,0.0
ETH,skew_25d,term_structure_spread,-9.4221,-7.1063,-0.7008,1.039,1,0.011111
ETH,skew_25d,term_structure_spread,-7.1063,-4.7905,-0.7008,1.039,1,0.011111
ETH,skew_25d,term_structure_spread,-4.7905,-2.4747,-0.7008,1.039,1,0.011111
ETH,skew_25d,term_structure_spread,-2.4747,-0.1589,-0.7008,1.039,3,0.033333
ETH,skew_25d,term_structure_spread,-0.1589,2.1569,-0.7008,1.039,6,0.066667
ETH,skew_25d,term_structure_spread,2.1569,4.4728,-0.7008,1.039,4,0.044444
ETH,skew_25d,term_structure_spread,4.4728,6.7886,-0.7008,1.039,0,0.0
ETH,skew_25d,term_structure_spread,6.7886,9.1044,-0.7008,1.039,2,0.022222
ETH,skew_25d,term_structure_spread,9.1044,11.4202,-0.7008,1.039,0,0.0
ETH,skew_25d,term_structure_spread,11.4202,13.736,-0.7008,1.039,1,0.011111
ETH,skew_25d,term_structure_spread,-9.4221,-7.1063,1.039,2.7787,0,0.0
ETH,skew_25d,term_structure_spread,-7.1063,-4.7905,1.039,2.7787,0,0.0
ETH,skew_25d,term_structure_spread,-4.7905,-2.4747,1.039,2.7787,1,0.011111
ETH,skew_25d,term_structure_spread,-2.4747,-0.1589,1.039,2.7787,4,0.044444
ETH,skew_25d,term_structure_spread,-0.1589,2.1569,1.039,2.7787,3,0.033333
ETH,skew_25d,term_structure_spread,2.1569,4.4728,1.039,2.7787,5,0.055556
