underlying,x_metric,y_metric,x_low,x_high,y_low,y_high,count,occupancy_frac
ETH,term_structure_spread,chop_factor_7d,-8.8777,-7.2453,0.4688,0.5541,0,0.0
ETH,term_structure_spread,chop_factor_7d,-7.2453,-5.613,0.4688,0.5541,0,0.0
ETH,term_structure_spread,chop_factor_7d,-5.613,-3.9807,0.4688,0.5541,0,0.0
ETH,term_structure_spread,chop_factor_7d,-3.9807,-2.3484,0.4688,0.5541,0,0.0
ETH,term_structure_spread,chop_factor_7d,-2.3484,-0.7161,0.4688,0.5541,1,0.011111
ETH,term_structure_spread,chop_factor_7d,-0.7161,0.9162,0.4688,0.5541,1,0.011111
ETH,term_structure_spread,chop_factor_7d,0.9162,2.5485,0.4688,0.5541,1,0.011111
ETH,term_structure_spread,chop_factor_7d,2.5485,4.1808,0.4688,0.5541,0,0.0
ETH,term_structure_spread,chop_factor_7d,4.1808,5.8131,0.4688,0.5541,1,0.011111
ETH,term_structure_spread,chop_factor_7d,5.8131,7.4454,0.4688,0.5541,0,0.0
ETH,term_structure_spread,chop_factor_7d,-8.8777,-7.2453,0.5541,0.6393,1,0.011111
ETH,term_structure_spread,chop_factor_7d,-7.2453,-5.613,0.5541,0.6393,0,0.0
ETH,term_structure_spread,chop_factor_7d,-5.613,-3.9807,0.5541,0.6393,1,0.011111
ETH,term_structure_spread,chop_factor_7d,-3.9807,-2.3484,0.5541,0.6393,3,0.033333
ETH,term_structure_spread,chop_factor_7d,-2.3484,-0.7161,0.5541,0.6393,0,0.0
ETH,term_structure_spread,chop_factor_7d,-0.7161,0.9162,0.5541,0.6393,1,0.011111
ETH,term_structure_spread,chop_factor_7d,0.9162,2.5485,0.5541,0.6393,0,0.0
ETH,term_structure_spread,chop_factor_7d,2.5485,4.1808,0.5541,0.6393,2,0.022222
ETH,term_structure_spread,chop_factor_7d,4.1808,5.8131,0.5541,0.6393,0,0.0
ETH,term_structure_spread,chop_factor_7d,5.8131,7.4454,0.5541,0.6393,1,0.011111
ETH,term_structure_spread,chop_factor_7d,-8.8777,-7.2453,0.6393,0.7246,0,0.0
ETH,term_structure_spread,chop_factor_7d,-7.2453,-5.613,0.6393,0.7246,0,0.0
ETH,term_structure_spread,chop_factor_7d,-5.613,-3.9807,0.6393,0.7246,1,0.011111
ETH,term_structure_spread,chop_factor_7d,-3.9807,-2.3484,0.6393,0.7246,4,0.044444
ETH,term_structure_spread,chop_factor_7d,-2.3484,-0.7161,0.6393,0.7246,2,0.022222
ETH,term_structure_spread,chop_factor_7d,-0.7161,0.9162,0.6393,0.7246,1,0.011111
ETH,term_structure_spread,chop_factor_7d,0.9162,2.5485,0.6393,0.7246,2,0.022222
ETH,term_structure_spread,chop_factor_7d,2.5485,4.1808,0.6393,0.7246,1,0.011111
ETH,term_structure_spread,chop_factor_7d,4.1808,5.8131,0.6393,0.7246,2,0.022222
ETH,term_structure_spread,chop_factor_7d,5.8131,7.4454,0.6393,0.7246,0,0.0
ETH,term_structure_spread,chop_factor_7d,-8.8777,-7.2453,0.7246,0.8098,0,0.0
ETH,term_structure_spread,chop_factor_7d,-7.2453,-5.613,0.7246,0.8098,1,0.011111
ETH,term_structure_spread,chop_factor_7d,-5.613,-3.9807,0.7246,0.8098,1,0.011111
ETH,term_structure_spread,chop_factor_7d,-3.9807,-2.3484,0.7246,0.8098,4,0.044444
ETH,term_structure_spread,chop_factor_7d,-2.3484,-0.7161,0.7246,0.8098,2,0.022222
ETH,term_structure_spread,chop_factor_7d,-0.7161,0.9162,0.7246,0.8098,2,0.022222
ETH,term_structure_spread,chop_factor_7d,0.9162,2.5485,0.7246,0.8098,4,0.044444
ETH,term_structure_spread,chop_factor_7d,2.5485,4.1808,0.7246,0.8098,4,0.044444
ETH,term_structure_spread,chop_factor_7d,4.1808,5.8131,0.7246,0.8098,1,0.011111
ETH,term_structure_spread,chop_factor_7d,5.8131,7.4454,0.7246,0.8098,0,0.0
ETH,term_structure_spread,chop_factor_7d,-8.8777,-7.2453,0.8098,0.8951,0,0.0
ETH,term_structure_spread,chop_factor_7d,-7.2453,-5.613,0.8098,0.8951,1,0.011111
ETH,term_structure_spread,chop_factor_7d,-5.613,-3.9807,0.8098,0.8951,1,0.011111
ETH,term_structure_spread,chop_factor_7d,-3.9807,-2.3484,0.8098,0.8951,1,0.011111
ETH,term_structure_spread,chop_factor_7d,-2.3484,-0.7161,0.8098,0.8951,0,0.0
ETH,term_structure_spread,chop_factor_7d,-0.7161,0.9162,0.8098,0.8951,2,0.022222
ETH,term_structure_spread,chop_factor_7d,0.9162,2.5485,0.8098,0.8951,6,0.066667
ETH,term_structure_spread,chop_factor_7d,2.5485,4.1808,0.8098,0.8951,3,0.033333
ETH,term_structure_spread,chop_factor_7d,4.1808,5.8131,0.8098,0.8951,0,0.0
ETH,term_structure_spread,chop_factor_7d,5.8131,7.4454,0.8098,0.8951,1,0.011111
ETH,term_structure_spread,chop_factor_7d,-8.8777,-7.2453,0.8951,0.9803,0,0.0
ETH,term_structure_spread,chop_factor_7d,-7.2453,-5.613,0.8951,0.9803,1,0.011111
ETH,term_structure_spread,chop_factor_7d,-5.613,-3.9807,0.8951,0.9803,2,0.022222
ETH,term_structure_spread,chop_factor_7d,-3.9807,-2.3484,0.8951,0.9803,0,0.0
ETH,term_structure_spread,chop_factor_7d,-2.3484,-0.7161,0.8951,0.9803,3,0.033333
ETH,term_structure_spread,chop_factor_7d,-0.7161,0.9162,0.8951,0.9803,1,0.011111
ETH,term_structure_spread,chop_factor_7d,0.9162,2.5485,0.8951,0.9803,1,0.011111
ETH,term_structure_spread,chop_factor_7d,2.5485,4.1808,0.8951,0.9803,3,0.033333
ETH,term_structure_spread,chop_factor_7d,4.1808,5.8131,0.8951,0.9803,0,0.0
ETH,term_structure_spread,chop_factor_7d,5.8131,7.4454,0.8951,0.9803,0,0.0
ETH,term_structure_spread,chop_factor_7d,-8.8777,-7.2453,0.9803,1.0656,0,0.0
ETH,term_structure_spread,chop_factor_7d,-7.2453,-5.613,0.9803,1.0656,0,0.0
ETH,term_structure_spread,chop_factor_7d,-5.613,-3.9807,0.9803,1.0656,0,0.0
ETH,term_structure_spread,chop_factor_7d,-3.9807,-2.3484,0.9803,1.0656,1,0.011111
ETH,term_structure_spread,chop_factor_7d,-2.3484,-0.7161,0.9803,1.0656,0,0.0
ETH,term_structure_spread,chop_factor_7d,-0.7161,0.9162,0.9803,1.0656,1,0.011111
ETH,term_structure_spread,chop_factor_7d,0.9162,2.5485,0.9803,1.0656,2,0.022222
ETH,term_structure_spread,chop_factor_7d,2.5485,4.1808,0.9803,1.0656,1,0.011111
ETH,term_structure_spread,chop_factor_7d,4.1808,5.8131,0.9803,1.0656,0,0.0
ETH,term_structure_spread,chop_factor_7d,5.8131,7.4454,0.9803,1.0656,1,0.011111
ETH,term_structure_spread,chop_factor_7d,-8.8777,-7.2453,1.0656,1.1508,0,0.0
ETH,term_structure_spread,chop_factor_7d,-7.2453,-5.613,1.0656,1.1508,0,0.0
ETH,term_structure_spread,chop_factor_7d,-5.613,-3.9807,1.0656,1.1508,1,0.011111
ETH,term_structure_spread,chop_factor_7d,-3.9807,-2.3484,1.0656,1.1508,0,0.0
ETH,term_structure_spread,chop_factor_7d,-2.3484,-0.7161,1.0656,1.1508,1,0.011111
ETH,term_structure_spread,chop_factor_7d,-0.7161,0.9162,1.0656,1.1508,0,0.0
ETH,term_structure_spread,chop_factor_7d,0.9162,2.5485,1.0656,1.1508,3,0.033333
ETH,term_structure_spread,chop_factor_7d,2.5485,4.1808,1.0656,1.1508,1,0.011111
ETH,term_structure_spread,chop_factor_7d,4.1808,5.8131,1.0656,1.1508,0,0.0
ETH,term_structure_spread,chop_factor_7d,5.8131,7.4454,1.0656,1.1508,0,0.0
ETH,term_structure_spread,chop_factor_7d,-8.8777,-7.2453,1.1508,1.2361,0,0.0
ETH,term_structure_spread,chop_factor_7d,-7.2453,-5.613,1.1508,1.2361,0,0.0
ETH,term_structure_spread,chop_factor_7d,-5.613,-3.9807,1.1508,1.2361,2,0.022222
ETH,term_structure_spread,chop_factor_7d,-3.9807,-2.3484,1.1508,1.2361,3,0.033333
ETH,term_structure_spread,chop_factor_7d,-2.3484,-0.7161,1.1508,1.2361,0,0.0
ETH,term_structure_spread,chop_factor_7d,-0.7161,0.9162,1.1508,1.2361,0,0.0
ETH,term_structure_spread,chop_factor_7d,0.9162,2.5485,1.1508,1.2361,0,0.0
ETH,term_structure_spread,chop_factor_7d,2.5485,4.1808,1.1508,1.2361,0,0.0
ETH,term_structure_spread,chop_factor_7d,4.1808,5.8131,1.1508,1.2361,0,0.0
ETH,term_structure_spread,chop_factor_7d,5.8131,7.4454,1.1508,1.2361,0,0.0
ETH,term_structure_spread,chop_factor_7d,-8.8777,-7.2453,1.2361,1.3213,0,0.0
ETH,term_structure_spread,chop_factor_7d,-7.2453,-5.613,1.2361,1.3213,0,0.0
ETH,term_structure_spread,chop_factor_7d,-5.613,-3.9807,1.2361,1.3213,0,0.0
ETH,term_structure_spread,chop_factor_7d,-3.9807,-2.3484,1.2361,1.3213,0,0.0
ETH,term_structure_spread,chop_factor_7d,-2.3484,-0.7161,1.2361,1.3213,1,0.011111
ETH,term_structure_spread,chop_factor_7d,-0.7161,0.9162,1.2361,1.3213,0,0.0
ETH,term_structure_spread,chop_factor_7d,0.9162,2.5485,1.2361,1.3213,0,0.0
ETH,term_structure_spread,chop_factor_7d,2.5485,4.1808,1.2361,1.3213,1,0.011111
ETH,term_structure_spread,chop_factor_7d,4.1808,5.8131,1.2361,1.3213,0,0.0
ETH,term_structure_spread,chop_factor_7d,5.8131,7.4454,1.2361,1.3213,0,0.0
