underlying,x_metric,y_metric,x_low,x_high,y_low,y_high,count,occupancy_frac
ETH,term_structure_spread,price_vs_ma200,-9.3996,-7.6599,-34.5704,-26.3387,0,0.0
ETH,term_structure_spread,price_vs_ma200,-7.6599,-5.9201,-34.5704,-26.3387,0,0.0
ETH,term_structure_spread,price_vs_ma200,-5.9201,-4.1803,-34.5704,-26.3387,0,0.0
ETH,term_structure_spread,price_vs_ma200,-4.1803,-2.4406,-34.5704,-26.3387,0,0.0
ETH,term_structure_spread,price_vs_ma200,-2.4406,-0.7008,-34.5704,-26.3387,2,0.022222
ETH,term_structure_spread,price_vs_ma200,-0.7008,1.039,-34.5704,-26.3387,0,0.0
ETH,term_structure_spread,price_vs_ma200,1.039,2.7787,-34.5704,-26.3387,0,0.0
ETH,term_structure_spread,price_vs_ma200,2.7787,4.5185,-34.5704,-26.3387,0,0.0
ETH,term_structure_spread,price_vs_ma200,4.5185,6.2582,-34.5704,-26.3387,0,0.0
ETH,term_structure_spread,price_vs_ma200,6.2582,7.998,-34.5704,-26.3387,0,0.0
ETH,term_structure_spread,price_vs_ma200,-9.3996,-7.6599,-26.3387,-18.107,0,0.0
ETH,term_structure_spread,price_vs_ma200,-7.6599,-5.9201,-26.3387,-18.107,0,0.0
ETH,term_structure_spread,price_vs_ma200,-5.9201,-4.1803,-26.3387,-18.107,0,0.0
ETH,term_structure_spread,price_vs_ma200,-4.1803,-2.4406,-26.3387,-18.107,1,0.011111
ETH,term_structure_spread,price_vs_ma200,-2.4406,-0.7008,-26.3387,-18.107,1,0.011111
ETH,term_structure_spread,price_vs_ma200,-0.7008,1.039,-26.3387,-18.107,0,0.0
ETH,term_structure_spread,price_vs_ma200,1.039,2.7787,-26.3387,-18.107,2,0.022222
ETH,term_structure_spread,price_vs_ma200,2.7787,4.5185,-26.3387,-18.107,0,0.0
ETH,term_structure_spread,price_vs_ma200,4.5185,6.2582,-26.3387,-18.107,0,0.0
ETH,term_structure_spread,price_vs_ma200,6.2582,7.998,-26.3387,-18.107,0,0.0
ETH,term_structure_spread,price_vs_ma200,-9.3996,-7.6599,-18.107,-9.8754,1,0.011111
ETH,term_structure_spread,price_vs_ma200,-7.6599,-5.9201,-18.107,-9.8754,0,0.0
ETH,term_structure_spread,price_vs_ma200,-5.9201,-4.1803,-18.107,-9.8754,0,0.0
ETH,term_structure_spread,price_vs_ma200,-4.1803,-2.4406,-18.107,-9.8754,1,0.011111
ETH,term_structure_spread,price_vs_ma200,-2.4406,-0.7008,-18.107,-9.8754,2,0.022222
ETH,term_structure_spread,price_vs_ma200,-0.7008,1.039,-18.107,-9.8754,1,0.011111
ETH,term_structure_spread,price_vs_ma200,1.039,2.7787,-18.107,-9.8754,3,0.033333
ETH,term_structure_spread,price_vs_ma200,2.7787,4.5185,-18.107,-9.8754,1,0.011111
ETH,term_structure_spread,price_vs_ma200,4.5185,6.2582,-18.107,-9.8754,0,0.0
ETH,term_structure_spread,price_vs_ma200,6.2582,7.998,-18.107,-9.8754,0,0.0
ETH,term_structure_spread,price_vs_ma200,-9.3996,-7.6599,-9.8754,-1.6437,0,0.0
ETH,term_structure_spread,price_vs_ma200,-7.6599,-5.9201,-9.8754,-1.6437,0,0.0
ETH,term_structure_spread,price_vs_ma200,-5.9201,-4.1803,-9.8754,-1.6437,2,0.022222
ETH,term_structure_spread,price_vs_ma200,-4.1803,-2.4406,-9.8754,-1.6437,2,0.022222
ETH,term_structure_spread,price_vs_ma200,-2.4406,-0.7008,-9.8754,-1.6437,1,0.011111
ETH,term_structure_spread,price_vs_ma200,-0.7008,1.039,-9.8754,-1.6437,3,0.033333
ETH,term_structure_spread,price_vs_ma200,1.039,2.7787,-9.8754,-1.6437,0,0.0
ETH,term_structure_spread,price_vs_ma200,2.7787,4.5185,-9.8754,-1.6437,5,0.055556
ETH,term_structure_spread,price_vs_ma200,4.5185,6.2582,-9.8754,-1.6437,0,0.0
ETH,term_structure_spread,price_vs_ma200,6.2582,7.998,-9.8754,-1.6437,0,0.0
ETH,term_structure_spread,price_vs_ma200,-9.3996,-7.6599,-1.6437,6.588,0,0.0
ETH,term_structure_spread,price_vs_ma200,-7.6599,-5.9201,-1.6437,6.588,1,0.011111
ETH,term_structure_spread,price_vs_ma200,-5.9201,-4.1803,-1.6437,6.588,1,0.011111
ETH,term_structure_spread,price_vs_ma200,-4.1803,-2.4406,-1.6437,6.588,2,0.022222
ETH,term_structure_spread,price_vs_ma200,-2.4406,-0.7008,-1.6437,6.588,4,0.044444
ETH,term_structure_spread,price_vs_ma200,-0.7008,1.039,-1.6437,6.588,3,0.033333
ETH,term_structure_spread,price_vs_ma200,1.039,2.7787,-1.6437,6.588,2,0.022222
ETH,term_structure_spread,price_vs_ma200,2.7787,4.5185,-1.6437,6.588,1,0.011111
ETH,term_structure_spread,price_vs_ma200,4.5185,6.2582,-1.6437,6.588,1,0.011111
ETH,term_structure_spread,price_vs_ma200,6.2582,7.998,-1.6437,6.588,0,0.0
ETH,term_structure_spread,price_vs_ma200,-9.3996,-7.6599,6.588,14.8196,0,0.0
ETH,term_structure_spread,price_vs_ma200,-7.6599,-5.9201,6.588,14.8196,1,0.011111
ETH,term_structure_spread,price_vs_ma200,-5.9201,-4.1803,6.588,14.8196,1,0.011111
ETH,term_structure_spread,price_vs_ma200,-4.1803,-2.4406,6.588,14.8196,4,0.044444
ETH,term_structure_spread,price_vs_ma200,-2.4406,-0.7008,6.588,14.8196,0,0.0
ETH,term_structure_spread,price_vs_ma200,-0.7008,1.039,6.588,14.8196,6,0.066667
ETH,term_structure_spread,price_vs_ma200,1.039,2.7787,6.588,14.8196,3,0.033333
ETH,term_structure_spread,price_vs_ma200,2.7787,4.5185,6.588,14.8196,4,0.044444
ETH,term_structure_spread,price_vs_ma200,4.5185,6.2582,6.588,14.8196,1,0.011111
ETH,term_structure_spread,price_vs_ma200,6.2582,7.998,6.588,14.8196,1,0.011111
ETH,term_structure_spread,price_vs_ma200,-9.3996,-7.6599,14.8196,23.0513,0,0.0
ETH,term_structure_spread,price_vs_ma200,-7.6599,-5.9201,14.8196,23.0513,1,0.011111
ETH,term_structure_spread,price_vs_ma200,-5.9201,-4.1803,14.8196,23.0513,0,0.0
ETH,term_structure_spread,price_vs_ma200,-4.1803,-2.4406,14.8196,23.0513,1,0.011111
ETH,term_structure_spread,price_vs_ma200,-2.4406,-0.7008,14.8196,23.0513,0,0.0
ETH,term_structure_spread,price_vs_ma200,-0.7008,1.039,14.8196,23.0513,4,0.044444
ETH,term_structure_spread,price_vs_ma200,1.039,2.7787,14.8196,23.0513,4,0.044444
ETH,term_structure_spread,price_vs_ma200,2.7787,4.5185,14.8196,23.0513,2,0.022222
ETH,term_structure_spread,price_vs_ma200,4.5185,6.2582,14.8196,23.0513,1,0.011111
ETH,term_structure_spread,price_vs_ma200,6.2582,7.998,14.8196,23.0513,2,0.022222
ETH,term_structure_spread,price_vs_ma200,-9.3996,-7.6599,23.0513,31.283,0,0.0
ETH,term_structure_spread,price_vs_ma200,-7.6599,-5.9201,23.0513,31.283,0,0.0
ETH,term_structure_spread,price_vs_ma200,-5.9201,-4.1803,23.0513,31.283,0,0.0
ETH,term_structure_spread,price_vs_ma200,-4.1803,-2.4406,23.0513,31.283,0,0.0
ETH,term_structure_spread,price_vs_ma200,-2.4406,-0.7008,23.0513,31.283,1,0.011111
ETH,term_structure_spread,price_vs_ma200,-0.7008,1.039,23.0513,31.283,2,0.022222
ETH,term_structure_spread,price_vs_ma200,1.039,2.7787,23.0513,31.283,3,0.033333
