underlying,x_metric,y_metric,x_low,x_high,y_low,y_high,count,occupancy_frac
ETH,term_structure_spread,rsi_14d,-9.3996,-7.6599,6.0,14.8,0,0.0
ETH,term_structure_spread,rsi_14d,-7.6599,-5.9201,6.0,14.8,0,0.0
ETH,term_structure_spread,rsi_14d,-5.9201,-4.1803,6.0,14.8,0,0.0
ETH,term_structure_spread,rsi_14d,-4.1803,-2.4406,6.0,14.8,0,0.0
ETH,term_structure_spread,rsi_14d,-2.4406,-0.7008,6.0,14.8,2,0.022222
ETH,term_structure_spread,rsi_14d,-0.7008,1.039,6.0,14.8,1,0.011111
ETH,term_structure_spread,rsi_14d,1.039,2.7787,6.0,14.8,0,0.0
ETH,term_structure_spread,rsi_14d,2.7787,4.5185,6.0,14.8,1,0.011111
ETH,term_structure_spread,rsi_14d,4.5185,6.2582,6.0,14.8,0,0.0
ETH,term_structure_spread,rsi_14d,6.2582,7.998,6.0,14.8,0,0.0
ETH,term_structure_spread,rsi_14d,-9.3996,-7.6599,14.8,23.6,0,0.0
ETH,term_structure_spread,rsi_14d,-7.6599,-5.9201,14.8,23.6,0,0.0
ETH,term_structure_spread,rsi_14d,-5.9201,-4.1803,14.8,23.6,2,0.022222
ETH,term_structure_spread,rsi_14d,-4.1803,-2.4406,14.8,23.6,0,0.0
ETH,term_structure_spread,rsi_14d,-2.4406,-0.7008,14.8,23.6,0,0.0
ETH,term_structure_spread,rsi_14d,-0.7008,1.039,14.8,23.6,2,0.022222
ETH,term_structure_spread,rsi_14d,1.039,2.7787,14.8,23.6,1,0.011111
ETH,term_structure_spread,rsi_14d,2.7787,4.5185,14.8,23.6,0,0.0
ETH,term_structure_spread,rsi_14d,4.5185,6.2582,14.8,23.6,0,0.0
ETH,term_structure_spread,rsi_14d,6.2582,7.998,14.8,23.6,0,0.0
ETH,term_structure_spread,rsi_14d,-9.3996,-7.6599,23.6,32.4,0,0.0
ETH,term_structure_spread,rsi_14d,-7.6599,-5.9201,23.6,32.4,0,0.0
ETH,term_structure_spread,rsi_14d,-5.9201,-4.1803,23.6,32.4,0,0.0
ETH,term_structure_spread,rsi_14d,-4.1803,-2.4406,23.6,32.4,3,0.033333
ETH,term_structure_spread,rsi_14d,-2.4406,-0.7008,23.6,32.4,2,0.022222
ETH,term_structure_spread,rsi_14d,-0.7008,1.039,23.6,32.4,2,0.022222
ETH,term_structure_spread,rsi_14d,1.039,2.7787,23.6,32.4,2,0.022222
ETH,term_structure_spread,rsi_14d,2.7787,4.5185,23.6,32.4,1,0.011111
ETH,term_structure_spread,rsi_14d,4.5185,6.2582,23.6,32.4,0,0.0
ETH,term_structure_spread,rsi_14d,6.2582,7.998,23.6,32.4,1,0.011111
ETH,term_structure_spread,rsi_14d,-9.3996,-7.6599,32.4,41.2,0,0.0
ETH,term_structure_spread,rsi_14d,-7.6599,-5.9201,32.4,41.2,0,0.0
ETH,term_structure_spread,rsi_14d,-5.9201,-4.1803,32.4,41.2,0,0.0
ETH,term_structure_spread,rsi_14d,-4.1803,-2.4406,32.4,41.2,2,0.022222
ETH,term_structure_spread,rsi_14d,-2.4406,-0.7008,32.4,41.2,4,0.044444
ETH,term_structure_spread,rsi_14d,-0.7008,1.039,32.4,41.2,1,0.011111
ETH,term_structure_spread,rsi_14d,1.039,2.7787,32.4,41.2,3,0.033333
ETH,term_structure_spread,rsi_14d,2.7787,4.5185,32.4,41.2,0,0.0
ETH,term_structure_spread,rsi_14d,4.5185,6.2582,32.4,41.2,1,0.011111
ETH,term_structure_spread,rsi_14d,6.2582,7.998,32.4,41.2,1,0.011111
