underlying,x_metric,y_metric,x_low,x_high,y_low,y_high,count,occupancy_frac
ETH,vrp_30d,adx_14d,-12.0768,-7.1393,7.9028,12.5166,0,0.0
ETH,vrp_30d,adx_14d,-7.1393,-2.2017,7.9028,12.5166,0,0.0
ETH,vrp_30d,adx_14d,-2.2017,2.7359,7.9028,12.5166,0,0.0
ETH,vrp_30d,adx_14d,2.7359,7.6734,7.9028,12.5166,1,0.011111
ETH,vrp_30d,adx_14d,7.6734,12.611,7.9028,12.5166,3,0.033333
ETH,vrp_30d,adx_14d,12.611,17.5485,7.9028,12.5166,2,0.022222
ETH,vrp_30d,adx_14d,17.5485,22.4861,7.9028,12.5166,2,0.022222
ETH,vrp_30d,adx_14d,22.4861,27.4236,7.9028,12.5166,0,0.0
ETH,vrp_30d,adx_14d,27.4236,32.3612,7.9028,12.5166,1,0.011111
ETH,vrp_30d,adx_14d,32.3612,37.2987,7.9028,12.5166,0,0.0
ETH,vrp_30d,adx_14d,-12.0768,-7.1393,12.5166,17.1304,0,0.0
ETH,vrp_30d,adx_14d,-7.1393,-2.2017,12.5166,17.1304,0,0.0
ETH,vrp_30d,adx_14d,-2.2017,2.7359,12.5166,17.1304,1,0.011111
ETH,vrp_30d,adx_14d,2.7359,7.6734,12.5166,17.1304,2,0.022222
ETH,vrp_30d,adx_14d,7.6734,12.611,12.5166,17.1304,1,0.011111
ETH,vrp_30d,adx_14d,12.611,17.5485,12.5166,17.1304,2,0.022222
ETH,vrp_30d,adx_14d,17.5485,22.4861,12.5166,17.1304,1,0.011111
ETH,vrp_30d,adx_14d,22.4861,27.4236,12.5166,17.1304,0,0.0
ETH,vrp_30d,adx_14d,27.4236,32.3612,12.5166,17.1304,0,0.0
ETH,vrp_30d,adx_14d,32.3612,37.2987,12.5166,17.1304,2,0.022222
ETH,vrp_30d,adx_14d,-12.0768,-7.1393,17.1304,21.7442,0,0.0
ETH,vrp_30d,adx_14d,-7.1393,-2.2017,17.1304,21.7442,1,0.011111
ETH,vrp_30d,adx_14d,-2.2017,2.7359,17.1304,21.7442,3,0.033333
ETH,vrp_30d,adx_14d,2.7359,7.6734,17.1304,21.7442,0,0.0
ETH,vrp_30d,adx_14d,7.6734,12.611,17.1304,21.7442,1,0.011111
ETH,vrp_30d,adx_14d,12.611,17.5485,17.1304,21.7442,0,0.0
ETH,vrp_30d,adx_14d,17.5485,22.4861,17.1304,21.7442,2,0.022222
ETH,vrp_30d,adx_14d,22.4861,27.4236,17.1304,21.7442,4,0.044444
ETH,vrp_30d,adx_14d,27.4236,32.3612,17.1304,21.7442,2,0.022222
ETH,vrp_30d,adx_14d,32.3612,37.2987,17.1304,21.7442,1,0.011111
ETH,vrp_30d,adx_14d,-12.0768,-7.1393,21.7442,26.358,1,0.011111
ETH,vrp_30d,adx_14d,-7.1393,-2.2017,21.7442,26.358,1,0.011111
ETH,vrp_30d,adx_14d,-2.2017,2.7359,21.7442,26.358,2,0.022222
ETH,vrp_30d,adx_14d,2.7359,7.6734,21.7442,26.358,1,0.011111
ETH,vrp_30d,adx_14d,7.6734,12.611,21.7442,26.358,2,0.022222
ETH,vrp_30d,adx_14d,12.611,17.5485,21.7442,26.358,2,0.022222
ETH,vrp_30d,adx_14d,17.5485,22.4861,21.7442,26.358,1,0.011111
ETH,vrp_30d,adx_14d,22.4861,27.4236,21.7442,26.358,1,0.011111
ETH,vrp_30d,adx_14d,27.4236,32.3612,21.7442,26.358,0,0.0
ETH,vrp_30d,adx_14d,32.3612,37.2987,21.7442,26.358,0,0.0
ETH,vrp_30d,adx_14d,-12.0768,-7.1393,26.358,30.9717,1,0.011111
ETH,vrp_30d,adx_14d,-7.1393,-2.2017,26.358,30.9717,0,0.0
ETH,vrp_30d,adx_14d,-2.2017,2.7359,26.358,30.9717,1,0.011111
ETH,vrp_30d,adx_14d,2.7359,7.6734,26.358,30.9717,0,0.0
ETH,vrp_30d,adx_14d,7.6734,12.611,26.358,30.9717,4,0.044444
ETH,vrp_30d,adx_14d,12.611,17.5485,26.358,30.9717,2,0.022222
ETH,vrp_30d,adx_14d,17.5485,22.4861,26.358,30.9717,2,0.022222
