underlying,x_metric,y_metric,x_low,x_high,y_low,y_high,count,occupancy_frac
ETH,vrp_30d,chop_factor_7d,-12.0768,-7.1393,0.4688,0.5541,0,0.0
ETH,vrp_30d,chop_factor_7d,-7.1393,-2.2017,0.4688,0.5541,0,0.0
ETH,vrp_30d,chop_factor_7d,-2.2017,2.7359,0.4688,0.5541,0,0.0
ETH,vrp_30d,chop_factor_7d,2.7359,7.6734,0.4688,0.5541,0,0.0
ETH,vrp_30d,chop_factor_7d,7.6734,12.611,0.4688,0.5541,0,0.0
ETH,vrp_30d,chop_factor_7d,12.611,17.5485,0.4688,0.5541,0,0.0
ETH,vrp_30d,chop_factor_7d,17.5485,22.4861,0.4688,0.5541,1,0.011111
ETH,vrp_30d,chop_factor_7d,22.4861,27.4236,0.4688,0.5541,1,0.011111
ETH,vrp_30d,chop_factor_7d,27.4236,32.3612,0.4688,0.5541,1,0.011111
ETH,vrp_30d,chop_factor_7d,32.3612,37.2987,0.4688,0.5541,1,0.011111
ETH,vrp_30d,chop_factor_7d,-12.0768,-7.1393,0.5541,0.6393,0,0.0
ETH,vrp_30d,chop_factor_7d,-7.1393,-2.2017,0.5541,0.6393,0,0.0
ETH,vrp_30d,chop_factor_7d,-2.2017,2.7359,0.5541,0.6393,0,0.0
ETH,vrp_30d,chop_factor_7d,2.7359,7.6734,0.5541,0.6393,0,0.0
ETH,vrp_30d,chop_factor_7d,7.6734,12.611,0.5541,0.6393,0,0.0
ETH,vrp_30d,chop_factor_7d,12.611,17.5485,0.5541,0.6393,1,0.011111
ETH,vrp_30d,chop_factor_7d,17.5485,22.4861,0.5541,0.6393,2,0.022222
ETH,vrp_30d,chop_factor_7d,22.4861,27.4236,0.5541,0.6393,5,0.055556
ETH,vrp_30d,chop_factor_7d,27.4236,32.3612,0.5541,0.6393,1,0.011111
ETH,vrp_30d,chop_factor_7d,32.3612,37.2987,0.5541,0.6393,0,0.0
ETH,vrp_30d,chop_factor_7d,-12.0768,-7.1393,0.6393,0.7246,0,0.0
ETH,vrp_30d,chop_factor_7d,-7.1393,-2.2017,0.6393,0.7246,0,0.0
ETH,vrp_30d,chop_factor_7d,-2.2017,2.7359,0.6393,0.7246,0,0.0
ETH,vrp_30d,chop_factor_7d,2.7359,7.6734,0.6393,0.7246,0,0.0
ETH,vrp_30d,chop_factor_7d,7.6734,12.611,0.6393,0.7246,1,0.011111
ETH,vrp_30d,chop_factor_7d,12.611,17.5485,0.6393,0.7246,2,0.022222
ETH,vrp_30d,chop_factor_7d,17.5485,22.4861,0.6393,0.7246,4,0.044444
ETH,vrp_30d,chop_factor_7d,22.4861,27.4236,0.6393,0.7246,4,0.044444
ETH,vrp_30d,chop_factor_7d,27.4236,32.3612,0.6393,0.7246,0,0.0
ETH,vrp_30d,chop_factor_7d,32.3612,37.2987,0.6393,0.7246,2,0.022222
