underlying,x_metric,y_metric,x_low,x_high,y_low,y_high,count,occupancy_frac
ETH,vrp_30d,iv_rank_6m,-15.5782,-9.971,0.0445,0.0927,3,0.033333
ETH,vrp_30d,iv_rank_6m,-9.971,-4.3638,0.0445,0.0927,0,0.0
ETH,vrp_30d,iv_rank_6m,-4.3638,1.2434,0.0445,0.0927,1,0.011111
ETH,vrp_30d,iv_rank_6m,1.2434,6.8505,0.0445,0.0927,0,0.0
ETH,vrp_30d,iv_rank_6m,6.8505,12.4577,0.0445,0.0927,0,0.0
ETH,vrp_30d,iv_rank_6m,12.4577,18.0649,0.0445,0.0927,0,0.0
ETH,vrp_30d,iv_rank_6m,18.0649,23.6721,0.0445,0.0927,0,0.0
ETH,vrp_30d,iv_rank_6m,23.6721,29.2792,0.0445,0.0927,0,0.0
ETH,vrp_30d,iv_rank_6m,29.2792,34.8864,0.0445,0.0927,0,0.0
ETH,vrp_30d,iv_rank_6m,34.8864,40.4936,0.0445,0.0927,0,0.0
ETH,vrp_30d,iv_rank_6m,-15.5782,-9.971,0.0927,0.1409,0,0.0
ETH,vrp_30d,iv_rank_6m,-9.971,-4.3638,0.0927,0.1409,2,0.022222
ETH,vrp_30d,iv_rank_6m,-4.3638,1.2434,0.0927,0.1409,2,0.022222
ETH,vrp_30d,iv_rank_6m,1.2434,6.8505,0.0927,0.1409,0,0.0
ETH,vrp_30d,iv_rank_6m,6.8505,12.4577,0.0927,0.1409,1,0.011111
ETH,vrp_30d,iv_rank_6m,12.4577,18.0649,0.0927,0.1409,0,0.0
ETH,vrp_30d,iv_rank_6m,18.0649,23.6721,0.0927,0.1409,0,0.0
ETH,vrp_30d,iv_rank_6m,23.6721,29.2792,0.0927,0.1409,0,0.0
ETH,vrp_30d,iv_rank_6m,29.2792,34.8864,0.0927,0.1409,0,0.0
ETH,vrp_30d,iv_rank_6m,34.8864,40.4936,0.0927,0.1409,0,0.0
ETH,vrp_30d,iv_rank_6m,-15.5782,-9.971,0.1409,0.1892,0,0.0
ETH,vrp_30d,iv_rank_6m,-9.971,-4.3638,0.1409,0.1892,2,0.022222
ETH,vrp_30d,iv_rank_6m,-4.3638,1.2434,0.1409,0.1892,0,0.0
ETH,vrp_30d,iv_rank_6m,1.2434,6.8505,0.1409,0.1892,2,0.022222
ETH,vrp_30d,iv_rank_6m,6.8505,12.4577,0.1409,0.1892,3,0.033333
ETH,vrp_30d,iv_rank_6m,12.4577,18.0649,0.1409,0.1892,0,0.0
ETH,vrp_30d,iv_rank_6m,18.0649,23.6721,0.1409,0.1892,0,0.0
ETH,vrp_30d,iv_rank_6m,23.6721,29.2792,0.1409,0.1892,0,0.0
ETH,vrp_30d,iv_rank_6m,29.2792,34.8864,0.1409,0.1892,0,0.0
ETH,vrp_30d,iv_rank_6m,34.8864,40.4936,0.1409,0.1892,0,0.0
ETH,vrp_30d,iv_rank_6m,-15.5782,-9.971,0.1892,0.2374,0,0.0
ETH,vrp_30d,iv_rank_6m,-9.971,-4.3638,0.1892,0.2374,0,0.0
ETH,vrp_30d,iv_rank_6m,-4.3638,1.2434,0.1892,0.2374,3,0.033333
ETH,vrp_30d,iv_rank_6m,1.2434,6.8505,0.1892,0.2374,0,0.0
ETH,vrp_30d,iv_rank_6m,6.8505,12.4577,0.1892,0.2374,4,0.044444
ETH,vrp_30d,iv_rank_6m,12.4577,18.0649,0.1892,0.2374,4,0.044444
ETH,vrp_30d,iv_rank_6m,18.0649,23.6721,0.1892,0.2374,0,0.0
ETH,vrp_30d,iv_rank_6m,23.6721,29.2792,0.1892,0.2374,0,0.0
ETH,vrp_30d,iv_rank_6m,29.2792,34.8864,0.1892,0.2374,0,0.0
ETH,vrp_30d,iv_rank_6m,34.8864,40.4936,0.1892,0.2374,0,0.0
ETH,vrp_30d,iv_rank_6m,-15.5782,-9.971,0.2374,0.2856,0,0.0
ETH,vrp_30d,iv_rank_6m,-9.971,-4.3638,0.2374,0.2856,0,0.0
ETH,vrp_30d,iv_rank_6m,-4.3638,1.2434,0.2374,0.2856,0,0.0
ETH,vrp_30d,iv_rank_6m,1.2434,6.8505,0.2374,0.2856,4,0.044444
ETH,vrp_30d,iv_rank_6m,6.8505,12.4577,0.2374,0.2856,3,0.033333
ETH,vrp_30d,iv_rank_6m,12.4577,18.0649,0.2374,0.2856,4,0.044444
ETH,vrp_30d,iv_rank_6m,18.0649,23.6721,0.2374,0.2856,1,0.011111
ETH,vrp_30d,iv_rank_6m,23.6721,29.2792,0.2374,0.2856,0,0.0
ETH,vrp_30d,iv_rank_6m,29.2792,34.8864,0.2374,0.2856,0,0.0
ETH,vrp_30d,iv_rank_6m,34.8864,40.4936,0.2374,0.2856,0,0.0
ETH,vrp_30d,iv_rank_6m,-15.5782,-9.971,0.2856,0.3338,0,0.0
ETH,vrp_30d,iv_rank_6m,-9.971,-4.3638,0.2856,0.3338,0,0.0
ETH,vrp_30d,iv_rank_6m,-4.3638,1.2434,0.2856,0.3338,0,0.0
ETH,vrp_30d,iv_rank_6m,1.2434,6.8505,0.2856,0.3338,3,0.033333
ETH,vrp_30d,iv_rank_6m,6.8505,12.4577,0.2856,0.3338,2,0.022222
ETH,vrp_30d,iv_rank_6m,12.4577,18.0649,0.2856,0.3338,3,0.033333
ETH,vrp_30d,iv_rank_6m,18.0649,23.6721,0.2856,0.3338,6,0.066667
ETH,vrp_30d,iv_rank_6m,23.6721,29.2792,0.2856,0.3338,2,0.022222
ETH,vrp_30d,iv_rank_6m,29.2792,34.8864,0.2856,0.3338,0,0.0
ETH,vrp_30d,iv_rank_6m,34.8864,40.4936,0.2856,0.3338,0,0.0
ETH,vrp_30d,iv_rank_6m,-15.5782,-9.971,0.3338,0.3821,0,0.0
ETH,vrp_30d,iv_rank_6m,-9.971,-4.3638,0.3338,0.3821,0,0.0
ETH,vrp_30d,iv_rank_6m,-4.3638,1.2434,0.3338,0.3821,0,0.0
ETH,vrp_30d,iv_rank_6m,1.2434,6.8505,0.3338,0.3821,3,0.033333
ETH,vrp_30d,iv_rank_6m,6.8505,12.4577,0.3338,0.3821,3,0.033333
ETH,vrp_30d,iv_rank_6m,12.4577,18.0649,0.3338,0.3821,6,0.066667
ETH,vrp_30d,iv_rank_6m,18.0649,23.6721,0.3338,0.3821,5,0.055556
ETH,vrp_30d,iv_rank_6m,23.6721,29.2792,0.3338,0.3821,0,0.0
ETH,vrp_30d,iv_rank_6m,29.2792,34.8864,0.3338,0.3821,0,0.0
ETH,vrp_30d,iv_rank_6m,34.8864,40.4936,0.3338,0.3821,0,0.0
ETH,vrp_30d,iv_rank_6m,-15.5782,-9.971,0.3821,0.4303,0,0.0
ETH,vrp_30d,iv_rank_6m,-9.971,-4.3638,0.3821,0.4303,0,0.0
ETH,vrp_30d,iv_rank_6m,-4.3638,1.2434,0.3821,0.4303,0,0.0
ETH,vrp_30d,iv_rank_6m,1.2434,6.8505,0.3821,0.4303,0,0.0
ETH,vrp_30d,iv_rank_6m,6.8505,12.4577,0.3821,0.4303,1,0.011111
ETH,vrp_30d,iv_rank_6m,12.4577,18.0649,0.3821,0.4303,3,0.033333
ETH,vrp_30d,iv_rank_6m,18.0649,23.6721,0.3821,0.4303,1,0.011111
ETH,vrp_30d,iv_rank_6m,23.6721,29.2792,0.3821,0.4303,6,0.066667
ETH,vrp_30d,iv_rank_6m,29.2792,34.8864,0.3821,0.4303,1,0.011111
ETH,vrp_30d,iv_rank_6m,34.8864,40.4936,0.3821,0.4303,1,0.011111
ETH,vrp_30d,iv_rank_6m,-15.5782,-9.971,0.4303,0.4785,0,0.0
ETH,vrp_30d,iv_rank_6m,-9.971,-4.3638,0.4303,0.4785,0,0.0
ETH,vrp_30d,iv_rank_6m,-4.3638,1.2434,0.4303,0.4785,0,0.0
ETH,vrp_30d,iv_rank_6m,1.2434,6.8505,0.4303,0.4785,0,0.0
ETH,vrp_30d,iv_rank_6m,6.8505,12.4577,0.4303,0.4785,0,0.0
ETH,vrp_30d,iv_rank_6m,12.4577,18.0649,0.4303,0.4785,1,0.011111
ETH,vrp_30d,iv_rank_6m,18.0649,23.6721,0.4303,0.4785,0,0.0
ETH,vrp_30d,iv_rank_6m,23.6721,29.2792,0.4303,0.4785,2,0.022222
ETH,vrp_30d,iv_rank_6m,29.2792,34.8864,0.4303,0.4785,0,0.0
ETH,vrp_30d,iv_rank_6m,34.8864,40.4936,0.4303,0.4785,0,0.0
ETH,vrp_30d,iv_rank_6m,-15.5782,-9.971,0.4785,0.5268,0,0.0
ETH,vrp_30d,iv_rank_6m,-9.971,-4.3638,0.4785,0.5268,0,0.0
ETH,vrp_30d,iv_rank_6m,-4.3638,1.2434,0.4785,0.5268,0,0.0
ETH,vrp_30d,iv_rank_6m,1.2434,6.8505,0.4785,0.5268,0,0.0
ETH,vrp_30d,iv_rank_6m,6.8505,12.4577,0.4785,0.5268,0,0.0
ETH,vrp_30d,iv_rank_6m,12.4577,18.0649,0.4785,0.5268,0,0.0
