underlying,x_metric,y_metric,x_low,x_high,y_low,y_high,count,occupancy_frac
ETH,vrp_30d,price_vs_ma200,-12.0768,-7.1393,-33.8854,-26.3869,0,0.0
ETH,vrp_30d,price_vs_ma200,-7.1393,-2.2017,-33.8854,-26.3869,1,0.011111
ETH,vrp_30d,price_vs_ma200,-2.2017,2.7359,-33.8854,-26.3869,0,0.0
ETH,vrp_30d,price_vs_ma200,2.7359,7.6734,-33.8854,-26.3869,0,0.0
ETH,vrp_30d,price_vs_ma200,7.6734,12.611,-33.8854,-26.3869,1,0.011111
ETH,vrp_30d,price_vs_ma200,12.611,17.5485,-33.8854,-26.3869,1,0.011111
ETH,vrp_30d,price_vs_ma200,17.5485,22.4861,-33.8854,-26.3869,0,0.0
ETH,vrp_30d,price_vs_ma200,22.4861,27.4236,-33.8854,-26.3869,0,0.0
ETH,vrp_30d,price_vs_ma200,27.4236,32.3612,-33.8854,-26.3869,0,0.0
ETH,vrp_30d,price_vs_ma200,32.3612,37.2987,-33.8854,-26.3869,0,0.0
ETH,vrp_30d,price_vs_ma200,-12.0768,-7.1393,-26.3869,-18.8884,0,0.0
ETH,vrp_30d,price_vs_ma200,-7.1393,-2.2017,-26.3869,-18.8884,0,0.0
ETH,vrp_30d,price_vs_ma200,-2.2017,2.7359,-26.3869,-18.8884,0,0.0
ETH,vrp_30d,price_vs_ma200,2.7359,7.6734,-26.3869,-18.8884,0,0.0
ETH,vrp_30d,price_vs_ma200,7.6734,12.611,-26.3869,-18.8884,0,0.0
ETH,vrp_30d,price_vs_ma200,12.611,17.5485,-26.3869,-18.8884,2,0.022222
ETH,vrp_30d,price_vs_ma200,17.5485,22.4861,-26.3869,-18.8884,0,0.0
ETH,vrp_30d,price_vs_ma200,22.4861,27.4236,-26.3869,-18.8884,0,0.0
ETH,vrp_30d,price_vs_ma200,27.4236,32.3612,-26.3869,-18.8884,0,0.0
ETH,vrp_30d,price_vs_ma200,32.3612,37.2987,-26.3869,-18.8884,0,0.0
ETH,vrp_30d,price_vs_ma200,-12.0768,-7.1393,-18.8884,-11.3899,1,0.011111
