underlying,x_metric,y_metric,x_low,x_high,y_low,y_high,count,occupancy_frac
ETH,vrp_30d,rsi_14d,-15.5782,-9.971,6.0,14.8,0,0.0
ETH,vrp_30d,rsi_14d,-9.971,-4.3638,6.0,14.8,0,0.0
ETH,vrp_30d,rsi_14d,-4.3638,1.2434,6.0,14.8,0,0.0
ETH,vrp_30d,rsi_14d,1.2434,6.8505,6.0,14.8,1,0.011111
ETH,vrp_30d,rsi_14d,6.8505,12.4577,6.0,14.8,1,0.011111
ETH,vrp_30d,rsi_14d,12.4577,18.0649,6.0,14.8,0,0.0
ETH,vrp_30d,rsi_14d,18.0649,23.6721,6.0,14.8,0,0.0
ETH,vrp_30d,rsi_14d,23.6721,29.2792,6.0,14.8,1,0.011111
ETH,vrp_30d,rsi_14d,29.2792,34.8864,6.0,14.8,1,0.011111
ETH,vrp_30d,rsi_14d,34.8864,40.4936,6.0,14.8,0,0.0
ETH,vrp_30d,rsi_14d,-15.5782,-9.971,14.8,23.6,1,0.011111
ETH,vrp_30d,rsi_14d,-9.971,-4.3638,14.8,23.6,0,0.0
ETH,vrp_30d,rsi_14d,-4.3638,1.2434,14.8,23.6,0,0.0
ETH,vrp_30d,rsi_14d,1.2434,6.8505,14.8,23.6,1,0.011111
ETH,vrp_30d,rsi_14d,6.8505,12.4577,14.8,23.6,0,0.0
ETH,vrp_30d,rsi_14d,12.4577,18.0649,14.8,23.6,2,0.022222
ETH,vrp_30d,rsi_14d,18.0649,23.6721,14.8,23.6,1,0.011111
ETH,vrp_30d,rsi_14d,23.6721,29.2792,14.8,23.6,0,0.0
ETH,vrp_30d,rsi_14d,29.2792,34.8864,14.8,23.6,0,0.0
ETH,vrp_30d,rsi_14d,34.8864,40.4936,14.8,23.6,0,0.0
ETH,vrp_30d,rsi_14d,-15.5782,-9.971,23.6,32.4,1,0.011111
ETH,vrp_30d,rsi_14d,-9.971,-4.3638,23.6,32.4,1,0.011111
ETH,vrp_30d,rsi_14d,-4.3638,1.2434,23.6,32.4,1,0.011111
ETH,vrp_30d,rsi_14d,1.2434,6.8505,23.6,32.4,1,0.011111
ETH,vrp_30d,rsi_14d,6.8505,12.4577,23.6,32.4,0,0.0
ETH,vrp_30d,rsi_14d,12.4577,18.0649,23.6,32.4,5,0.055556
ETH,vrp_30d,rsi_14d,18.0649,23.6721,23.6,32.4,0,0.0
ETH,vrp_30d,rsi_14d,23.6721,29.2792,23.6,32.4,2,0.022222
ETH,vrp_30d,rsi_14d,29.2792,34.8864,23.6,32.4,0,0.0
ETH,vrp_30d,rsi_14d,34.8864,40.4936,23.6,32.4,0,0.0
ETH,vrp_30d,rsi_14d,-15.5782,-9.971,32.4,41.2,0,0.0
ETH,vrp_30d,rsi_14d,-9.971,-4.3638,32.4,41.2,0,0.0
ETH,vrp_30d,rsi_14d,-4.3638,1.2434,32.4,41.2,0,0.0
ETH,vrp_30d,rsi_14d,1.2434,6.8505,32.4,41.2,4,0.044444
ETH,vrp_30d,rsi_14d,6.8505,12.4577,32.4,41.2,3,0.033333
ETH,vrp_30d,rsi_14d,12.4577,18.0649,32.4,41.2,1,0.011111
ETH,vrp_30d,rsi_14d,18.0649,23.6721,32.4,41.2,1,0.011111
ETH,vrp_30d,rsi_14d,23.6721,29.2792,32.4,41.2,3,0.033333
ETH,vrp_30d,rsi_14d,29.2792,34.8864,32.4,41.2,0,0.0
ETH,vrp_30d,rsi_14d,34.8864,40.4936,32.4,41.2,0,0.0
ETH,vrp_30d,rsi_14d,-15.5782,-9.971,41.2,50.0,0,0.0
ETH,vrp_30d,rsi_14d,-9.971,-4.3638,41.2,50.0,0,0.0
ETH,vrp_30d,rsi_14d,-4.3638,1.2434,41.2,50.0,2,0.022222
