underlying,x_metric,y_metric,x_low,x_high,y_low,y_high,count,occupancy_frac
ETH,vrp_30d,skew_25d,-15.5782,-9.971,-9.4221,-7.1063,0,0.0
ETH,vrp_30d,skew_25d,-9.971,-4.3638,-9.4221,-7.1063,0,0.0
ETH,vrp_30d,skew_25d,-4.3638,1.2434,-9.4221,-7.1063,0,0.0
ETH,vrp_30d,skew_25d,1.2434,6.8505,-9.4221,-7.1063,0,0.0
ETH,vrp_30d,skew_25d,6.8505,12.4577,-9.4221,-7.1063,0,0.0
ETH,vrp_30d,skew_25d,12.4577,18.0649,-9.4221,-7.1063,1,0.011111
ETH,vrp_30d,skew_25d,18.0649,23.6721,-9.4221,-7.1063,0,0.0
ETH,vrp_30d,skew_25d,23.6721,29.2792,-9.4221,-7.1063,1,0.011111
ETH,vrp_30d,skew_25d,29.2792,34.8864,-9.4221,-7.1063,0,0.0
ETH,vrp_30d,skew_25d,34.8864,40.4936,-9.4221,-7.1063,0,0.0
ETH,vrp_30d,skew_25d,-15.5782,-9.971,-7.1063,-4.7905,2,0.022222
ETH,vrp_30d,skew_25d,-9.971,-4.3638,-7.1063,-4.7905,0,0.0
ETH,vrp_30d,skew_25d,-4.3638,1.2434,-7.1063,-4.7905,0,0.0
ETH,vrp_30d,skew_25d,1.2434,6.8505,-7.1063,-4.7905,0,0.0
ETH,vrp_30d,skew_25d,6.8505,12.4577,-7.1063,-4.7905,1,0.011111
ETH,vrp_30d,skew_25d,12.4577,18.0649,-7.1063,-4.7905,0,0.0
ETH,vrp_30d,skew_25d,18.0649,23.6721,-7.1063,-4.7905,0,0.0
ETH,vrp_30d,skew_25d,23.6721,29.2792,-7.1063,-4.7905,0,0.0
ETH,vrp_30d,skew_25d,29.2792,34.8864,-7.1063,-4.7905,0,0.0
ETH,vrp_30d,skew_25d,34.8864,40.4936,-7.1063,-4.7905,0,0.0
ETH,vrp_30d,skew_25d,-15.5782,-9.971,-4.7905,-2.4747,0,0.0
ETH,vrp_30d,skew_25d,-9.971,-4.3638,-4.7905,-2.4747,1,0.011111
ETH,vrp_30d,skew_25d,-4.3638,1.2434,-4.7905,-2.4747,0,0.0
ETH,vrp_30d,skew_25d,1.2434,6.8505,-4.7905,-2.4747,0,0.0
ETH,vrp_30d,skew_25d,6.8505,12.4577,-4.7905,-2.4747,0,0.0
ETH,vrp_30d,skew_25d,12.4577,18.0649,-4.7905,-2.4747,2,0.022222
ETH,vrp_30d,skew_25d,18.0649,23.6721,-4.7905,-2.4747,0,0.0
ETH,vrp_30d,skew_25d,23.6721,29.2792,-4.7905,-2.4747,0,0.0
ETH,vrp_30d,skew_25d,29.2792,34.8864,-4.7905,-2.4747,0,0.0
ETH,vrp_30d,skew_25d,34.8864,40.4936,-4.7905,-2.4747,0,0.0
ETH,vrp_30d,skew_25d,-15.5782,-9.971,-2.4747,-0.1589,0,0.0
ETH,vrp_30d,skew_25d,-9.971,-4.3638,-2.4747,-0.1589,1,0.011111
ETH,vrp_30d,skew_25d,-4.3638,1.2434,-2.4747,-0.1589,0,0.0
ETH,vrp_30d,skew_25d,1.2434,6.8505,-2.4747,-0.1589,3,0.033333
ETH,vrp_30d,skew_25d,6.8505,12.4577,-2.4747,-0.1589,4,0.044444
ETH,vrp_30d,skew_25d,12.4577,18.0649,-2.4747,-0.1589,3,0.033333
ETH,vrp_30d,skew_25d,18.0649,23.6721,-2.4747,-0.1589,3,0.033333
ETH,vrp_30d,skew_25d,23.6721,29.2792,-2.4747,-0.1589,2,0.022222
ETH,vrp_30d,skew_25d,29.2792,34.8864,-2.4747,-0.1589,1,0.011111
ETH,vrp_30d,skew_25d,34.8864,40.4936,-2.4747,-0.1589,0,0.0
ETH,vrp_30d,skew_25d,-15.5782,-9.971,-0.1589,2.1569,0,0.0
ETH,vrp_30d,skew_25d,-9.971,-4.3638,-0.1589,2.1569,0,0.0
ETH,vrp_30d,skew_25d,-4.3638,1.2434,-0.1589,2.1569,2,0.022222
ETH,vrp_30d,skew_25d,1.2434,6.8505,-0.1589,2.1569,3,0.033333
ETH,vrp_30d,skew_25d,6.8505,12.4577,-0.1589,2.1569,3,0.033333
ETH,vrp_30d,skew_25d,12.4577,18.0649,-0.1589,2.1569,5,0.055556
ETH,vrp_30d,skew_25d,18.0649,23.6721,-0.1589,2.1569,3,0.033333
ETH,vrp_30d,skew_25d,23.6721,29.2792,-0.1589,2.1569,0,0.0
ETH,vrp_30d,skew_25d,29.2792,34.8864,-0.1589,2.1569,1,0.011111
ETH,vrp_30d,skew_25d,34.8864,40.4936,-0.1589,2.1569,1,0.011111
ETH,vrp_30d,skew_25d,-15.5782,-9.971,2.1569,4.4728,1,0.011111
ETH,vrp_30d,skew_25d,-9.971,-4.3638,2.1569,4.4728,2,0.022222
ETH,vrp_30d,skew_25d,-4.3638,1.2434,2.1569,4.4728,1,0.011111
ETH,vrp_30d,skew_25d,1.2434,6.8505,2.1569,4.4728,3,0.033333
ETH,vrp_30d,skew_25d,6.8505,12.4577,2.1569,4.4728,5,0.055556
ETH,vrp_30d,skew_25d,12.4577,18.0649,2.1569,4.4728,3,0.033333
ETH,vrp_30d,skew_25d,18.0649,23.6721,2.1569,4.4728,4,0.044444
ETH,vrp_30d,skew_25d,23.6721,29.2792,2.1569,4.4728,2,0.022222
ETH,vrp_30d,skew_25d,29.2792,34.8864,2.1569,4.4728,0,0.0
ETH,vrp_30d,skew_25d,34.8864,40.4936,2.1569,4.4728,0,0.0
ETH,vrp_30d,skew_25d,-15.5782,-9.971,4.4728,6.7886,0,0.0
ETH,vrp_30d,skew_25d,-9.971,-4.3638,4.4728,6.7886,0,0.0
ETH,vrp_30d,skew_25d,-4.3638,1.2434,4.4728,6.7886,1,0.011111
ETH,vrp_30d,skew_25d,1.2434,6.8505,4.4728,6.7886,3,0.033333
ETH,vrp_30d,skew_25d,6.8505,12.4577,4.4728,6.7886,2,0.022222
ETH,vrp_30d,skew_25d,12.4577,18.0649,4.4728,6.7886,5,0.055556
ETH,vrp_30d,skew_25d,18.0649,23.6721,4.4728,6.7886,2,0.022222
ETH,vrp_30d,skew_25d,23.6721,29.2792,4.4728,6.7886,3,0.033333
ETH,vrp_30d,skew_25d,29.2792,34.8864,4.4728,6.7886,0,0.0
ETH,vrp_30d,skew_25d,34.8864,40.4936,4.4728,6.7886,0,0.0
ETH,vrp_30d,skew_25d,-15.5782,-9.971,6.7886,9.1044,0,0.0
ETH,vrp_30d,skew_25d,-9.971,-4.3638,6.7886,9.1044,0,0.0
ETH,vrp_30d,skew_25d,-4.3638,1.2434,6.7886,9.1044,1,0.011111
