underlying,x_metric,y_metric,x_low,x_high,y_low,y_high,count,occupancy_frac
ETH,vrp_30d,term_structure_spread,-12.0768,-7.1393,-8.8777,-7.2453,0,0.0
ETH,vrp_30d,term_structure_spread,-7.1393,-2.2017,-8.8777,-7.2453,0,0.0
ETH,vrp_30d,term_structure_spread,-2.2017,2.7359,-8.8777,-7.2453,0,0.0
ETH,vrp_30d,term_structure_spread,2.7359,7.6734,-8.8777,-7.2453,0,0.0
ETH,vrp_30d,term_structure_spread,7.6734,12.611,-8.8777,-7.2453,0,0.0
ETH,vrp_30d,term_structure_spread,12.611,17.5485,-8.8777,-7.2453,0,0.0
ETH,vrp_30d,term_structure_spread,17.5485,22.4861,-8.8777,-7.2453,0,0.0
ETH,vrp_30d,term_structure_spread,22.4861,27.4236,-8.8777,-7.2453,0,0.0
ETH,vrp_30d,term_structure_spread,27.4236,32.3612,-8.8777,-7.2453,1,0.011111
ETH,vrp_30d,term_structure_spread,32.3612,37.2987,-8.8777,-7.2453,0,0.0
ETH,vrp_30d,term_structure_spread,-12.0768,-7.1393,-7.2453,-5.613,0,0.0
ETH,vrp_30d,term_structure_spread,-7.1393,-2.2017,-7.2453,-5.613,0,0.0
ETH,vrp_30d,term_structure_spread,-2.2017,2.7359,-7.2453,-5.613,1,0.011111
ETH,vrp_30d,term_structure_spread,2.7359,7.6734,-7.2453,-5.613,0,0.0
ETH,vrp_30d,term_structure_spread,7.6734,12.611,-7.2453,-5.613,0,0.0
ETH,vrp_30d,term_structure_spread,12.611,17.5485,-7.2453,-5.613,1,0.011111
ETH,vrp_30d,term_structure_spread,17.5485,22.4861,-7.2453,-5.613,1,0.011111
ETH,vrp_30d,term_structure_spread,22.4861,27.4236,-7.2453,-5.613,0,0.0
ETH,vrp_30d,term_structure_spread,27.4236,32.3612,-7.2453,-5.613,0,0.0
ETH,vrp_30d,term_structure_spread,32.3612,37.2987,-7.2453,-5.613,0,0.0
ETH,vrp_30d,term_structure_spread,-12.0768,-7.1393,-5.613,-3.9807,0,0.0
ETH,vrp_30d,term_structure_spread,-7.1393,-2.2017,-5.613,-3.9807,3,0.033333
ETH,vrp_30d,term_structure_spread,-2.2017,2.7359,-5.613,-3.9807,1,0.011111
ETH,vrp_30d,term_structure_spread,2.7359,7.6734,-5.613,-3.9807,0,0.0
ETH,vrp_30d,term_structure_spread,7.6734,12.611,-5.613,-3.9807,2,0.022222
ETH,vrp_30d,term_structure_spread,12.611,17.5485,-5.613,-3.9807,1,0.011111
ETH,vrp_30d,term_structure_spread,17.5485,22.4861,-5.613,-3.9807,1,0.011111
ETH,vrp_30d,term_structure_spread,22.4861,27.4236,-5.613,-3.9807,1,0.011111
ETH,vrp_30d,term_structure_spread,27.4236,32.3612,-5.613,-3.9807,0,0.0
ETH,vrp_30d,term_structure_spread,32.3612,37.2987,-5.613,-3.9807,0,0.0
ETH,vrp_30d,term_structure_spread,-12.0768,-7.1393,-3.9807,-2.3484,0,0.0
ETH,vrp_30d,term_structure_spread,-7.1393,-2.2017,-3.9807,-2.3484,1,0.011111
ETH,vrp_30d,term_structure_spread,-2.2017,2.7359,-3.9807,-2.3484,2,0.022222
ETH,vrp_30d,term_structure_spread,2.7359,7.6734,-3.9807,-2.3484,1,0.011111
ETH,vrp_30d,term_structure_spread,7.6734,12.611,-3.9807,-2.3484,2,0.022222
ETH,vrp_30d,term_structure_spread,12.611,17.5485,-3.9807,-2.3484,3,0.033333
ETH,vrp_30d,term_structure_spread,17.5485,22.4861,-3.9807,-2.3484,3,0.033333
ETH,vrp_30d,term_structure_spread,22.4861,27.4236,-3.9807,-2.3484,3,0.033333
ETH,vrp_30d,term_structure_spread,27.4236,32.3612,-3.9807,-2.3484,1,0.011111
ETH,vrp_30d,term_structure_spread,32.3612,37.2987,-3.9807,-2.3484,0,0.0
ETH,vrp_30d,term_structure_spread,-12.0768,-7.1393,-2.3484,-0.7161,0,0.0
ETH,vrp_30d,term_structure_spread,-7.1393,-2.2017,-2.3484,-0.7161,1,0.011111
ETH,vrp_30d,term_structure_spread,-2.2017,2.7359,-2.3484,-0.7161,2,0.022222
ETH,vrp_30d,term_structure_spread,2.7359,7.6734,-2.3484,-0.7161,0,0.0
ETH,vrp_30d,term_structure_spread,7.6734,12.611,-2.3484,-0.7161,1,0.011111
ETH,vrp_30d,term_structure_spread,12.611,17.5485,-2.3484,-0.7161,2,0.022222
ETH,vrp_30d,term_structure_spread,17.5485,22.4861,-2.3484,-0.7161,2,0.022222
ETH,vrp_30d,term_structure_spread,22.4861,27.4236,-2.3484,-0.7161,1,0.011111
ETH,vrp_30d,term_structure_spread,27.4236,32.3612,-2.3484,-0.7161,0,0.0
ETH,vrp_30d,term_structure_spread,32.3612,37.2987,-2.3484,-0.7161,1,0.011111
ETH,vrp_30d,term_structure_spread,-12.0768,-7.1393,-0.7161,0.9162,0,0.0
ETH,vrp_30d,term_structure_spread,-7.1393,-2.2017,-0.7161,0.9162,1,0.011111
ETH,vrp_30d,term_structure_spread,-2.2017,2.7359,-0.7161,0.9162,0,0.0
ETH,vrp_30d,term_structure_spread,2.7359,7.6734,-0.7161,0.9162,0,0.0
ETH,vrp_30d,term_structure_spread,7.6734,12.611,-0.7161,0.9162,2,0.022222
ETH,vrp_30d,term_structure_spread,12.611,17.5485,-0.7161,0.9162,2,0.022222
ETH,vrp_30d,term_structure_spread,17.5485,22.4861,-0.7161,0.9162,1,0.011111
ETH,vrp_30d,term_structure_spread,22.4861,27.4236,-0.7161,0.9162,1,0.011111
ETH,vrp_30d,term_structure_spread,27.4236,32.3612,-0.7161,0.9162,1,0.011111
ETH,vrp_30d,term_structure_spread,32.3612,37.2987,-0.7161,0.9162,1,0.011111
ETH,vrp_30d,term_structure_spread,-12.0768,-7.1393,0.9162,2.5485,2,0.022222
ETH,vrp_30d,term_structure_spread,-7.1393,-2.2017,0.9162,2.5485,0,0.0
ETH,vrp_30d,term_structure_spread,-2.2017,2.7359,0.9162,2.5485,4,0.044444
ETH,vrp_30d,term_structure_spread,2.7359,7.6734,0.9162,2.5485,2,0.022222
ETH,vrp_30d,term_structure_spread,7.6734,12.611,0.9162,2.5485,3,0.033333
ETH,vrp_30d,term_structure_spread,12.611,17.5485,0.9162,2.5485,3,0.033333
ETH,vrp_30d,term_structure_spread,17.5485,22.4861,0.9162,2.5485,2,0.022222
ETH,vrp_30d,term_structure_spread,22.4861,27.4236,0.9162,2.5485,2,0.022222
ETH,vrp_30d,term_structure_spread,27.4236,32.3612,0.9162,2.5485,1,0.011111
ETH,vrp_30d,term_structure_spread,32.3612,37.2987,0.9162,2.5485,0,0.0
ETH,vrp_30d,term_structure_spread,-12.0768,-7.1393,2.5485,4.1808,1,0.011111
ETH,vrp_30d,term_structure_spread,-7.1393,-2.2017,2.5485,4.1808,0,0.0
ETH,vrp_30d,term_structure_spread,-2.2017,2.7359,2.5485,4.1808,2,0.022222
ETH,vrp_30d,term_structure_spread,2.7359,7.6734,2.5485,4.1808,3,0.033333
ETH,vrp_30d,term_structure_spread,7.6734,12.611,2.5485,4.1808,2,0.022222
ETH,vrp_30d,term_structure_spread,12.611,17.5485,2.5485,4.1808,5,0.055556
ETH,vrp_30d,term_structure_spread,17.5485,22.4861,2.5485,4.1808,1,0.011111
ETH,vrp_30d,term_structure_spread,22.4861,27.4236,2.5485,4.1808,2,0.022222
ETH,vrp_30d,term_structure_spread,27.4236,32.3612,2.5485,4.1808,0,0.0
ETH,vrp_30d,term_structure_spread,32.3612,37.2987,2.5485,4.1808,0,0.0
ETH,vrp_30d,term_structure_spread,-12.0768,-7.1393,4.1808,5.8131,0,0.0
ETH,vrp_30d,term_structure_spread,-7.1393,-2.2017,4.1808,5.8131,0,0.0
ETH,vrp_30d,term_structure_spread,-2.2017,2.7359,4.1808,5.8131,0,0.0
ETH,vrp_30d,term_structure_spread,2.7359,7.6734,4.1808,5.8131,0,0.0
ETH,vrp_30d,term_structure_spread,7.6734,12.611,4.1808,5.8131,1,0.011111
ETH,vrp_30d,term_structure_spread,12.611,17.5485,4.1808,5.8131,0,0.0
ETH,vrp_30d,term_structure_spread,17.5485,22.4861,4.1808,5.8131,2,0.022222
ETH,vrp_30d,term_structure_spread,22.4861,27.4236,4.1808,5.8131,0,0.0
ETH,vrp_30d,term_structure_spread,27.4236,32.3612,4.1808,5.8131,0,0.0
ETH,vrp_30d,term_structure_spread,32.3612,37.2987,4.1808,5.8131,1,0.011111
ETH,vrp_30d,term_structure_spread,-12.0768,-7.1393,5.8131,7.4454,0,0.0
ETH,vrp_30d,term_structure_spread,-7.1393,-2.2017,5.8131,7.4454,0,0.0
ETH,vrp_30d,term_structure_spread,-2.2017,2.7359,5.8131,7.4454,0,0.0
ETH,vrp_30d,term_structure_spread,2.7359,7.6734,5.8131,7.4454,0,0.0
ETH,vrp_30d,term_structure_spread,7.6734,12.611,5.8131,7.4454,1,0.011111
ETH,vrp_30d,term_structure_spread,12.611,17.5485,5.8131,7.4454,1,0.011111
ETH,vrp_30d,term_structure_spread,17.5485,22.4861,5.8131,7.4454,0,0.0
ETH,vrp_30d,term_structure_spread,22.4861,27.4236,5.8131,7.4454,1,0.011111
ETH,vrp_30d,term_structure_spread,27.4236,32.3612,5.8131,7.4454,0,0.0
ETH,vrp_30d,term_structure_spread,32.3612,37.2987,5.8131,7.4454,0,0.0
